shot_id,cohort,era,block,gasa_pro_max,rank,gap_to_next
165965,external,earlier,C,2.8703300000511436,116,0.0017741720926456317
155537,external,earlier,A,2.872104172143789,117,0.0014445616569944697
165955,external,earlier,B,2.8735487338007837,118,0.003996106474692951
155537,external,earlier,C,2.8775448402754766,119,0.0191593771552081
155537,external,earlier,B,2.8967042174306847,120,0.023578462662269484
160720,development,earlier,A,2.920282680092954,121,0.0011485819625982607
160719,external,earlier,B,2.9214312620555525,122,0.010304774557441387
160720,development,earlier,C,2.931736036612994,123,0.0042764695084884785
160719,external,earlier,C,2.9360125061214823,124,0.027555198364995537
160720,development,earlier,B,2.963567704486478,125,0.011368635137854799
165955,external,earlier,C,2.9749363396243327,126,0.019157351383736643
160719,external,earlier,A,2.9940936910080693,127,0.003803803467919753
160721,external,earlier,B,2.997897494475989,128,0.018206097630644624
195651,external,later,B,3.0161035921066337,129,0.01129863751116389
195638,development,later,B,3.0274022296177976,130,0.00038063208119254455
195651,external,later,C,3.02778286169899,131,0.0012366829497878484
195638,development,later,C,3.029019544648778,132,0.05651698729178012
195274,external,later,B,3.085536531940558,133,0.05553242069964526
195652,external,later,A,3.1410689526402034,134,0.2965745443366701
195655,development,later,B,3.4376434969768734,135,0.06556520103110897
165031,external,earlier,C,3.5032086980079824,136,0.047469268688342225
165022,development,earlier,A,3.5506779666963246,137,0.0867263219883263
165861,development,earlier,A,3.637404288684651,138,0.15058072167079617
165022,development,earlier,C,3.787985010355447,139,0.014519082735015232
195651,external,later,A,3.8025040930904623,140,0.021150530215712227
165022,development,earlier,B,3.8236546233061746,141,0.038286275728755204
160717,external,earlier,A,3.8619408990349298,142,0.01993997326181729
160717,external,earlier,B,3.881880872296747,143,0.012137828925248062
160717,external,earlier,C,3.894018701221995,144,0.09824319658164526
195655,development,later,C,3.9922618978036404,145,0.02896258228896098
195652,external,later,C,4.021224480092601,146,0.002714430072001228
195652,external,later,B,4.023938910164603,147,0.06045768019037201
165860,external,earlier,B,4.084396590354975,148,0.02860872004805337
165860,external,earlier,A,4.113005310403028,149,0.37713719786647104
165028,development,earlier,A,4.490142508269499,150,0.05661121148203474
165860,external,earlier,C,4.546753719751534,151,0.08584268913650828
195645,external,later,A,4.632596408888042,152,0.04574045743720401
165043,external,earlier,C,4.678336866325246,153,0.01162879797808447
165026,external,earlier,A,4.6899656643033305,154,0.03373747877088373
165028,development,earlier,B,4.723703143074214,155,0.007668471303013291
165026,external,earlier,B,4.7313716143772275,156,0.0006076644943115994
165043,external,earlier,B,4.731979278871539,157,0.0020142046073807762
165026,external,earlier,C,4.73399348347892,158,7.956841093825773e-05
165043,external,earlier,A,4.734073051889858,159,0.003266003361397374
165031,external,earlier,B,4.7373390552512555,160,0.0012992946681293915
165861,development,earlier,B,4.738638349919385,161,0.00021708441225865016
165027,external,earlier,B,4.738855434331644,162,0.0042316813753418
165029,external,earlier,B,4.743087115706985,163,0.005045587966776566
165861,development,earlier,C,4.748132703673762,164,0.008062065631199822
165042,development,earlier,C,4.756194769304962,165,0.00040824604204825476
165029,external,earlier,C,4.75660301534701,166,0.000737012074608856
165042,development,earlier,A,4.757340027421619,167,0.0035899878320408973
165042,development,earlier,B,4.76093001525366,168,0.024032779271325744
165027,external,earlier,A,4.7849627945249855,169,0.0019225719327788937
165027,external,earlier,C,4.786885366457764,170,0.006439389618892122
165029,external,earlier,A,4.7933247560766565,171,0.016368552947769288
165028,development,earlier,C,4.809693309024426,172,0.11603688772580512
195655,development,later,A,4.925730196750231,173,0.577573991006914
195648,external,later,A,5.503304187757145,174,0.4194495776877698
187022,external,earlier,C,5.922753765444915,175,0.014520898803375815
187019,external,earlier,C,5.9372746642482905,176,0.056895254290729724
195648,external,later,B,5.99416991853902,177,0.001088740997549742
195645,external,later,C,5.99525865953657,178,0.00018496934361866835
195648,external,later,C,5.995443628880189,179,0.013259850933295958
195645,external,later,B,6.008703479813485,180,0.29091218292504895
195650,development,later,B,6.299615662738534,181,0.047448851739117615
195650,development,later,C,6.347064514477651,182,1.1001834158882735
195650,development,later,A,7.447247930365925,183,0.22380958310587307
195649,external,later,A,7.671057513471798,184,0.30994594520332086
195649,external,later,C,7.981003458675119,185,0.0008543420477664654
195649,external,later,B,7.981857800722885,186,
