shot_id,cohort,era,block,pc1,pc2,cluster_pc1_sign,nn_distance_to_development
165029,external,earlier,B,1.6918093066148583,-0.09550198430041501,1,0.8965393082887497
165029,external,earlier,C,1.6694628859833698,-0.106259426772244,1,0.861507425860716
165031,external,earlier,A,0.4423009931528832,0.5766914242104118,1,1.2460552016536732
165031,external,earlier,B,1.2487780099966819,0.18320227575266743,1,0.4001013248899872
165031,external,earlier,C,0.8565023406864537,0.5059039104497878,1,0.37472899118053266
165043,external,earlier,A,1.772445567889984,-1.5979274052418844,1,0.9753954677038523
165043,external,earlier,B,1.7872677735747282,-1.2542014084704212,1,1.009041399174102
165043,external,earlier,C,1.228127988969741,-1.7510480022636523,1,1.0100898606777535
165860,external,earlier,A,1.482578564036003,0.7951458263645661,1,0.55509548792517
165860,external,earlier,B,1.6725544935969752,0.6701066548282825,1,0.4500358667066172
165860,external,earlier,C,1.7741740403169948,0.6078294248967727,1,0.3345368559044617
165955,external,earlier,A,0.35438361227336196,0.8916241638845519,1,1.1911436080467095
165955,external,earlier,B,0.6245685951118864,0.06948752452607211,1,1.3331427068090191
165955,external,earlier,C,0.5820243704001827,0.09981491880517301,1,1.320870279842024
165965,external,earlier,A,0.6816798453329846,0.6764021927270774,1,1.1507664141576721
165965,external,earlier,B,1.1113507812659829,0.8124503055660133,1,0.6064693517944804
165965,external,earlier,C,0.8467449700099208,1.4052253965542487,1,1.879876539853751
170394,external,earlier,A,1.2122046663041959,0.9617994863028295,1,0.39640806181306243
170394,external,earlier,B,0.41433839076578727,1.4875835757780518,1,1.0597450094486853
170394,external,earlier,C,0.4168824094485315,1.4750334947944446,1,1.0578621903385375
170411,external,earlier,A,0.906396422947582,1.1047700972635557,1,0.12137795523838729
170411,external,earlier,B,0.9073324710347611,1.1455581795230292,1,0.17204565871633648
170411,external,earlier,C,1.0519307575613979,1.0446303058468944,1,0.09445219551008223
186997,external,earlier,A,1.0623169913103703,2.246785164424064,1,1.9219286194720595
186997,external,earlier,B,1.4233347729519414,2.574811089902425,1,1.8931304777075089
186997,external,earlier,C,1.6680673781279283,2.8249828560640196,1,1.9362971362385588
187018,external,earlier,A,-3.7957185902280353,-3.543443930806255,0,3.0658395405196965
187018,external,earlier,B,-4.958516339344662,-2.939234045243086,0,3.455531849741476
187018,external,earlier,C,-4.303923438431106,-2.360353544109945,0,3.39416833527724
187019,external,earlier,A,-1.232336512972669,0.9570588755042665,0,2.0926769350607426
187019,external,earlier,B,-1.6428949588062631,-0.7953962711766126,0,3.8407062769250837
187019,external,earlier,C,-1.0888499355748706,-0.3706320298334029,0,4.512862543771685
187021,external,earlier,A,-4.1011429342010235,-2.2621686716430824,0,2.000025502912778
187021,external,earlier,B,-5.101453616746718,-2.275698040398239,0,2.106768913010755
187021,external,earlier,C,-4.174106775163659,-3.5378318840384155,0,2.1432238935276398
187022,external,earlier,A,-1.0374950245763264,0.36819428655618736,0,2.159955974861545
187022,external,earlier,B,-1.6919877722472343,0.21717631783356114,0,2.6411407245260112
187022,external,earlier,C,-0.9199732778202205,-0.7122442370588714,0,4.540743531359287
189646,external,later,A,-2.090119679958525,2.549355539942346,0,0.2490298710684825
189646,external,later,B,-3.711698244810385,2.3217859818996143,0,0.17190021628099295
189646,external,later,C,-2.096575771942458,2.064513533952274,0,0.4704323109876479
189649,external,later,A,-3.543733629536787,1.0240870560405333,0,0.20360612765553163
189649,external,later,B,-5.063041967965174,0.8787084729346852,0,0.7850706154575532
189649,external,later,C,-3.315009147203266,0.7036178638430163,0,0.27309650689523696
189650,external,later,A,-2.0861547830866676,2.545250555127143,0,0.12893110200984773
189650,external,later,B,-3.62953616654028,2.449052375396135,0,0.1831294850003518
189650,external,later,C,-1.9736567396120879,2.2063674066152816,0,0.3773828689836429
189652,external,later,A,-0.9892387640473188,3.4647806600271007,0,1.6245320240058148
189652,external,later,B,-2.0563494992473,3.656811791551778,0,2.1752518504414184
189652,external,later,C,-0.7914412279003723,3.33896438110542,0,1.6973490377009908
195261,external,later,A,-0.5690409738826075,1.2537621013290539,0,0.18819213133511126
195261,external,later,B,-0.8843214301667254,0.9221778496356251,0,0.675679476670499
195261,external,later,C,-0.3773473398303295,1.3614742215674687,0,0.2071514736816775
195265,external,later,A,-0.9312391194507873,0.6734002582785027,0,0.6970888419545646
195265,external,later,B,-0.5751155100433267,1.104930154081793,0,0.08047498213919341
195265,external,later,C,-0.4461626087804954,1.16038777492868,0,0.17144778821835444
195266,external,later,A,-0.9479285101650237,0.6464812824793554,0,0.7431901645156365
195266,external,later,B,-0.8834639395095525,0.7467577503742977,0,0.6021033219821139
195266,external,later,C,-0.8773939467792542,0.7604711347536746,0,0.5927788976591583
195268,external,later,A,0.0004467667818077985,1.564566660886958,1,0.6130285498947399
195268,external,later,B,1.9289898932484257,3.436675825337133,1,1.2212653175413308
195268,external,later,C,1.3782047380769977,2.9455266217740173,1,0.08855087522915095
195269,external,later,A,-0.26161480343091054,1.1959454337823285,0,0.3231087062858461
195269,external,later,B,-0.372356855073219,1.1038737755671575,0,0.3934176992858342
195269,external,later,C,-0.5551405597801838,0.9259246925422009,0,0.2958179532285738
195274,external,later,A,-0.3221611488997069,0.7699254881064111,0,0.12633468867102624
195274,external,later,B,0.9085992320829579,0.7683362433030098,1,1.6125299676721967
195274,external,later,C,-0.4460224475919276,0.9551832361093631,0,0.1726078951378989
195626,external,later,A,0.39846566890983276,0.8148416330308339,1,1.501307752023774
195626,external,later,B,0.6285060141057275,0.6829253464144828,1,1.227170636665659
195626,external,later,C,0.5417206127053528,0.9372254625709131,1,1.3607506755385326
195642,external,later,A,1.1692667366160758,-0.5298326675773622,1,0.8579940931599574
195642,external,later,B,1.650464965746045,-0.4697888603026405,1,1.250483873281036
195642,external,later,C,1.7241679384838928,-0.5130782816541245,1,1.2140172309558024
195645,external,later,A,2.7526175068149445,-1.4220368090965922,1,1.5139941048280483
195645,external,later,B,3.4023770523888337,-1.641457083316959,1,1.7712809371525324
195645,external,later,C,3.6427904988409283,-1.8156479709554216,1,2.2037480955929127
195648,external,later,A,1.7739439243725137,-3.2412504692868294,1,0.7987787453697763
195648,external,later,B,2.02019747747491,-3.5099769227901194,1,1.3100920733512744
195648,external,later,C,2.1217824746288736,-3.5611315574550435,1,1.4994953178390509
195649,external,later,A,3.8999337286455478,-2.2586686345069356,1,2.3088408094502055
195649,external,later,B,4.396867870353406,-2.2895148646554837,1,2.8050402637198943
195649,external,later,C,4.242199144696526,-2.523084818832701,1,2.7254152065327317
195651,external,later,A,2.0627310737815927,-0.8091244695570863,1,1.8499501708806128
195651,external,later,B,2.1762184058466727,-0.2871823943609562,1,2.3881276104469755
195651,external,later,C,1.979237105927523,-0.6220052788890701,1,2.2061259592792153
195652,external,later,A,1.5012284592293652,-2.3474826706168157,1,1.2493431464662457
195652,external,later,B,1.8755582039800518,-1.8702938626735632,1,1.9880938285093661
195652,external,later,C,2.035241938465794,-2.4291894646780476,1,1.4433391861729157
195659,external,later,A,0.7573901557280969,-1.13666362819007,1,2.053414540244163
195659,external,later,B,0.5554393878500596,-2.178966485804869,1,1.32657119962221
195659,external,later,C,0.9411810349239922,-1.8607885755059614,1,1.676362741595784
