coordinate_id,constructor,ordered_operands,first_rejecting_class,rejection_reason,value_min,value_max,denominator_category,signal_families
"PROD(fs03da,pinj_21l)",C2,fs03da|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-2.617684473675318e+17,3.878315836965738e+22,none,filterscope_dalpha|neutral_beams
"PROD(fs03da,pinj_21r)",C2,fs03da|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,4.993733927071279e+22,none,filterscope_dalpha|neutral_beams
"PROD(fs03da,pinj_33l)",C2,fs03da|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-2.664791490579294e+19,1.2420005758806672e+23,none,filterscope_dalpha|neutral_beams
"PROD(fs05da,pinj_15r)",C2,fs05da|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-6.2190775618021065e+19,4.451441486268188e+22,none,filterscope_dalpha|neutral_beams
"PROD(fs05da,pinj_21l)",C2,fs05da|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-6.994452094963359e+19,5.225258232459046e+22,none,filterscope_dalpha|neutral_beams
"PROD(fs05da,pinj_21r)",C2,fs05da|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-5.3108470706329895e+19,3.969407200136053e+22,none,filterscope_dalpha|neutral_beams
"PROD(fs05da,pinj_33l)",C2,fs05da|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-1.4657839849848986e+20,5.658054579027569e+22,none,filterscope_dalpha|neutral_beams
"PROD(gasa,pinj_15r)",C2,gasa|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-4058.385056434638,12666670.975950137,none,gas_injection|neutral_beams
"PROD(gasa,pinj_21l)",C2,gasa|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-64.48472390349657,13772718.131420135,none,gas_injection|neutral_beams
"PROD(gasa,pinj_21r)",C2,gasa|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,9517217.800677236,none,gas_injection|neutral_beams
"PROD(gasa,pinj_33l)",C2,gasa|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-21492.37837804545,15879670.03963478,none,gas_injection|neutral_beams
"PROD(gasb,pinj_15r)",C2,gasb|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-1845927.5215482875,6535378.371210617,none,gas_injection|neutral_beams
"PROD(gasb,pinj_21l)",C2,gasb|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-214267.2960650695,21760530.51905483,none,gas_injection|neutral_beams
"PROD(gasb,pinj_21r)",C2,gasb|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-71475.6293456915,19713215.600479286,none,gas_injection|neutral_beams
"PROD(gasb,pinj_33l)",C2,gasb|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-2047180.9424017593,17562481.191584956,none,gas_injection|neutral_beams
"PROD(gasc,pinj_15r)",C2,gasc|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-166738.02940537917,186718.43652093902,none,gas_injection|neutral_beams
"PROD(gasc,pinj_21l)",C2,gasc|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-101366.05698967112,334121.1531063351,none,gas_injection|neutral_beams
"PROD(gasc,pinj_21r)",C2,gasc|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-112962.736434167,306795.3119122715,none,gas_injection|neutral_beams
"PROD(gasc,pinj_33l)",C2,gasc|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-195452.32792256537,261807.2611133052,none,gas_injection|neutral_beams
"PROD(gasd,pinj_15r)",C2,gasd|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-200568.97459515376,489025.1807547423,none,gas_injection|neutral_beams
"PROD(gasd,pinj_21l)",C2,gasd|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-208339.81809345717,649491.614061532,none,gas_injection|neutral_beams
"PROD(gasd,pinj_21r)",C2,gasd|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-184814.81120462003,596709.7736833683,none,gas_injection|neutral_beams
"PROD(gasd,pinj_33l)",C2,gasd|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-1343625.4082177714,997070.2707990947,none,gas_injection|neutral_beams
"PROD(pinj,pinj_15r)",C2,pinj|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,25843403026428.152,none,neutral_beams
"PROD(pinj,pinj_21l)",C2,pinj|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-162084459.18373463,33124781424982.42,none,neutral_beams
"PROD(pinj,pinj_21r)",C2,pinj|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,24531453207396.645,none,neutral_beams
"PROD(pinj,pinj_33l)",C2,pinj|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,33410299918501.62,none,neutral_beams
"PROD(pinj_15l,pinj_15r)",C2,pinj_15l|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,3207537177011.0015,none,neutral_beams
"PROD(pinj_15l,pinj_21l)",C2,pinj_15l|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-23255044.79976111,4258085015604.294,none,neutral_beams
"PROD(pinj_15l,pinj_21r)",C2,pinj_15l|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,3180680214847.6704,none,neutral_beams
"PROD(pinj_15l,pinj_33l)",C2,pinj_15l|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,4555061030793.328,none,neutral_beams
"PROD(pinj_15r,pinj_15r)",C2,pinj_15r|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,3246999359735.4805,none,neutral_beams
"PROD(pinj_15r,pinj_21l)",C2,pinj_15r|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-22514955.26933364,3897611646383.566,none,neutral_beams
"PROD(pinj_15r,pinj_21r)",C2,pinj_15r|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,2965170412474.79,none,neutral_beams
"PROD(pinj_15r,pinj_30l)",C2,pinj_15r|pinj_30l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,4633146820654.04,none,neutral_beams
"PROD(pinj_15r,pinj_30r)",C2,pinj_15r|pinj_30r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-25813451.762460638,3493938586393.0503,none,neutral_beams
