coordinate_id,constructor,ordered_operands,operand_roles,primitive_ancestors,n_ancestors,depth,output_dimension,unit_expression,temporal_resolution_rule,temporal_resolution_bound_ms,provenance_lineage,target_independence,aliasing_flag,upsample_flag,uncalibrated_flag,primary_or_sensitivity,numerical_realization_id,domain_predicate
ID(cerqrott12),C0,cerqrott12,level,cerqrott12,1,0,m s^-1,m/s,inherit,9.973614775725594,cerqrott12:cer_rotation_ti,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,NONE,
ID(cerqrott13),C0,cerqrott13,level,cerqrott13,1,0,m s^-1,m/s,inherit,9.973614775725594,cerqrott13:cer_rotation_ti,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,NONE,
ID(cerqtit3),C0,cerqtit3,level,cerqtit3,1,0,eV,eV,inherit,10.0,cerqtit3:cer_rotation_ti,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,NONE,
ID(cerqtit6),C0,cerqtit6,level,cerqtit6,1,0,eV,eV,inherit,9.98003992015968,cerqtit6:cer_rotation_ti,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,NONE,
ID(cerqtit8),C0,cerqtit8,level,cerqtit8,1,0,eV,eV,inherit,9.973614775725594,cerqtit8:cer_rotation_ti,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,NONE,
ID(cerqtit10),C0,cerqtit10,level,cerqtit10,1,0,eV,eV,inherit,9.973614775725594,cerqtit10:cer_rotation_ti,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,NONE,
ID(cerqtit11),C0,cerqtit11,level,cerqtit11,1,0,eV,eV,inherit,9.973614775725594,cerqtit11:cer_rotation_ti,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,NONE,
ID(cerqtit12),C0,cerqtit12,level,cerqtit12,1,0,eV,eV,inherit,9.973614775725594,cerqtit12:cer_rotation_ti,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,NONE,
ID(cerqtit13),C0,cerqtit13,level,cerqtit13,1,0,eV,eV,inherit,9.973614775725594,cerqtit13:cer_rotation_ti,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,NONE,
DOT(bt),C1,bt,rate,bt,1,1,(T) T^-1,T/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.4999999999999999,bt:magnetics,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
