coordinate_id,constructor,ordered_operands,class_B,class_A,class_C,class_G,class_F,class_D_finite,class_D_constant,class_E_denominator,class_H_leakage,value_min,value_max,admissible,first_rejecting_class,rejection_reason
DOT(ece2),C1,ece2,True,True,True,True,True,True,False,,True,-384689.1822023924,195183.60669223272,True,,
DOT(ece3),C1,ece3,True,True,True,True,True,True,False,,True,-186355.72401887117,100847.9824362169,True,,
DOT(ece4),C1,ece4,True,True,True,True,True,True,False,,True,-190032.22780614937,84019.98025779339,True,,
DOT(ece5),C1,ece5,True,True,True,True,True,True,False,,True,-277174.14746663626,111511.46350376328,True,,
DOT(ece6),C1,ece6,True,True,True,True,True,True,False,,True,-212449.65600710319,119687.53893912991,True,,
DOT(ece7),C1,ece7,True,True,True,True,True,True,False,,True,-222550.67759653955,110624.38748660116,True,,
DOT(ece8),C1,ece8,True,True,True,True,True,True,False,,True,-247058.41224987485,117766.86218024732,True,,
DOT(ece9),C1,ece9,True,True,True,True,True,True,False,,True,-229988.1710534777,132562.20250777452,True,,
DOT(ece10),C1,ece10,True,True,True,True,True,True,False,,True,-241136.65966392096,143823.144936112,True,,
DOT(ece11),C1,ece11,True,True,True,True,True,True,False,,True,-202185.43993286265,134974.51674009408,True,,
DOT(ece12),C1,ece12,True,True,True,True,True,True,False,,True,-193305.05746791972,123292.39349427941,True,,
DOT(ece13),C1,ece13,True,True,True,True,True,True,False,,True,-181092.7629480156,127364.46038041028,True,,
DOT(ece14),C1,ece14,True,True,True,True,True,True,False,,True,-169782.92793036762,137704.87095655466,True,,
DOT(ece15),C1,ece15,True,True,True,True,True,True,False,,True,-132091.72798668907,123165.86896224823,True,,
DOT(ece16),C1,ece16,True,True,True,True,True,True,False,,True,-182476.02246629182,103839.94233344443,True,,
DOT(ece18),C1,ece18,True,True,True,True,True,True,False,,True,-193058.0585779973,154806.78352022747,True,,
DOT(ece19),C1,ece19,True,True,True,True,True,True,False,,True,-158116.45517704237,190007.1375675805,True,,
DOT(ece20),C1,ece20,True,True,True,True,True,True,False,,True,-160855.77442397107,142477.36296259038,True,,
DOT(ece21),C1,ece21,True,True,True,True,True,True,False,,True,-185673.4233833428,140923.69076897705,True,,
DOT(ece22),C1,ece22,True,True,True,True,True,True,False,,True,-185620.48612988018,142951.20992735977,True,,
DOT(ece25),C1,ece25,True,True,True,True,True,True,False,,True,-138182.29261541594,142549.2650888114,True,,
DOT(ece27),C1,ece27,True,True,True,True,True,True,False,,True,-119886.34772010773,93670.18454691127,True,,
DOT(ece28),C1,ece28,True,True,True,True,True,True,False,,True,-1057949.289591043,389162.07583917375,True,,
DOT(ece29),C1,ece29,True,True,True,True,True,True,False,,True,-98538.74242531828,118749.34033423854,True,,
DOT(ece30),C1,ece30,True,True,True,True,True,True,False,,True,-106552.2541977037,86826.79185057216,True,,
DOT(ece31),C1,ece31,True,True,True,True,True,True,False,,True,-143820.53124226475,84662.85502007589,True,,
DOT(ece33),C1,ece33,True,True,True,True,True,True,False,,True,-924512.4404398084,1546727.1998207865,True,,
DOT(ece35),C1,ece35,True,True,True,True,True,True,False,,True,-94327.01325590571,184770.5441907594,True,,
DOT(ece36),C1,ece36,True,True,True,True,True,True,False,,True,-76001.59712462584,30701.28107217874,True,,
DOT(ece37),C1,ece37,True,True,True,True,True,True,False,,True,-70450.84841965834,26604.642053076474,True,,
