coordinate_id,constructor,search_stratum,round_robin_order,J_search
"PROD(bt,cerqtit8)",C2,"C2:{CER,MAG}",6,0.6882211533061783
"PROD(pinj_30l,cerqtit6)",C2,"C2:{CER,NBI}",7,0.6237718125496285
"PROD(prmtan_neped,ece39)",C2,"C2:{DEN,ECE}",8,0.5871829640357059
"PROD(prmtan_neped,gasc)",C2,"C2:{DEN,GAS}",9,0.6600236227272983
"PROD(ip,prmtan_neped)",C2,"C2:{DEN,MAG}",10,0.47011695903472867
"PROD(prmtan_neped,pinj_30l)",C2,"C2:{DEN,NBI}",11,0.5676781577681631
"PROD(ece37,ece39)",C2,"C2:{ECE,ECE}",12,0.8164280776819858
"PROD(fs05da,ece1)",C2,"C2:{ECE,FS}",13,0.6843528495067678
"PROD(gasc,ece39)",C2,"C2:{ECE,GAS}",14,0.8654228831474791
"PROD(ip,ece39)",C2,"C2:{ECE,MAG}",15,0.7350013741978805
"PROD(pinj,ece36)",C2,"C2:{ECE,NBI}",16,0.6230657494278685
"PROD(ip,gasc)",C2,"C2:{GAS,MAG}",17,0.8787671921283798
"PROD(gasc,pinj)",C2,"C2:{GAS,NBI}",18,0.710670168322051
"PROD(bt,bt)",C2,"C2:{MAG,MAG}",19,0.7120908875840534
"PROD(ip,pinj)",C2,"C2:{MAG,NBI}",20,0.5353957225585172
"PROD(pinj,pinj_30l)",C2,"C2:{NBI,NBI}",21,0.5857393009062484
"PROD(cerqtit8,cerqtit10)",C2,"C2:{CER,CER}",22,0.8023034554190571
"PROD(prmtan_neped,cerqtit8)",C2,"C2:{CER,DEN}",23,0.5845441281664061
"PROD(ece37,cerqtit8)",C2,"C2:{CER,ECE}",24,0.7949826530238334
"PROD(fs04,cerqrott10)",C2,"C2:{CER,FS}",25,0.7415085083322024
"PROD(gasc,cerqtit8)",C2,"C2:{CER,GAS}",26,0.7953324171877331
"PROD(bt,cerqtit6)",C2,"C2:{CER,MAG}",27,0.689220218173284
"PROD(pinj_30l,cerqtit8)",C2,"C2:{CER,NBI}",28,0.6251738547163334
"PROD(prmtan_neped,ece38)",C2,"C2:{DEN,ECE}",29,0.5937463071171034
"PROD(bt,prmtan_neped)",C2,"C2:{DEN,MAG}",30,0.47288446008461965
"PROD(prmtan_neped,pinj_15l)",C2,"C2:{DEN,NBI}",31,0.5946365450860426
