coordinate_id,constructor,ordered_operands,operand_roles,family_signature,role_semantics,search_stratum,primitive_ancestors,J_search,rank_status,NRMSE_160715,NRMSE_160720,NRMSE_161138,NRMSE_165022,NRMSE_165028,NRMSE_165042,NRMSE_165861,NRMSE_170396,NRMSE_187017,NRMSE_187020,NRMSE_187024,NRMSE_189647,NRMSE_189651,NRMSE_195264,NRMSE_195267,NRMSE_195273,NRMSE_195638,NRMSE_195647,NRMSE_195650,NRMSE_195655,within_stratum_rank,global_rank_reference_only
LEVEL_RATE(ece31|bt),C6,ece31|bt,level|rate,ECE|MAG,(level_family | rate_family),C6:ECE|MAG,bt|ece31,1.0191814718323737,FULL_RANK,0.835321191171508,1.438486377133178,1.0037872948671438,0.6601547741899851,0.8177155857749753,0.7891545865717234,0.9521749734120176,0.6905140212869653,1.6428151791556662,1.0753528367438532,1.2318576248243007,1.1561127220325391,1.3071607533172465,1.1108350302263437,1.166699981693979,0.7278183074096752,0.7925360943926605,0.9033474617334273,1.0309658003797482,1.0508188403305418,61,7530
LEVEL_RATE(cerqtit13|gasd),C6,cerqtit13|gasd,level|rate,CER|GAS,(level_family | rate_family),C6:CER|GAS,cerqtit13|gasd,1.0191832531352936,FULL_RANK,0.8353824634471542,1.4388447496285377,1.0003428040272486,0.6599671936453272,0.8183490060663384,0.7877612781839242,0.952276530727393,0.6933330816230313,1.6441091434017014,1.0729229429222285,1.2317989160670126,1.1569603111617852,1.3073030934530117,1.1105791307921782,1.1671485815187188,0.7283202925862522,0.7922018299927888,0.9044574008274496,1.0310573855199034,1.0505489271138908,26,7531
LEVEL_RATE(ece18|ece15),C6,ece18|ece15,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE,ece15|ece18,1.0191835502912998,FULL_RANK,0.8337733353077964,1.4354762603751692,1.0322149351693024,0.6577042900524426,0.8146602055744823,0.7848627156410269,0.9678178318636125,0.6935437558360262,1.6032561740659756,1.06600453143108,1.2194060513636384,1.160000145316687,1.3100238718305521,1.112400425712882,1.1828281301515962,0.7249963916404152,0.793317597611329,0.9043766724333443,1.0342295010969556,1.0527781833516825,785,7532
LEVEL_RATE(cerqtit11|ece5),C6,cerqtit11|ece5,level|rate,CER|ECE,(level_family | rate_family),C6:CER|ECE,cerqtit11|ece5,1.0191841172761245,FULL_RANK,0.8368345206692663,1.445319957750402,1.0121382047410645,0.6597736320933959,0.8198566818716065,0.7870566884134088,0.9514149657806579,0.6951068238876599,1.6389213786810515,1.062874196910596,1.2238708165183552,1.1543964026479294,1.3021822723932717,1.111900670982435,1.1706376718183993,0.7322367749804833,0.7930865352787984,0.9037017389995493,1.031976726386867,1.0503956847172924,275,7533
LEVEL_RATE(ece29|ece14),C6,ece29|ece14,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE,ece14|ece29,1.0191845301607692,FULL_RANK,0.8325753246477801,1.4345669302562305,1.016778420465205,0.6578396906200908,0.8137729834281022,0.785872711284359,0.9777095458229521,0.6930849676938332,1.6153557381878372,1.0654513134963042,1.2177405536271226,1.1591343965629097,1.3105656427369639,1.1099592850098439,1.1837169781621213,0.7237230392231696,0.7959516468200345,0.9064625701280183,1.0329514848147374,1.0504773802277712,786,7534
RATE_OVER_LEVEL(pinj_30l|ece8),C7,pinj_30l|ece8,rate|level_denominator,NBI|ECE,(rate_family | denominator_level_family),C7:NBI|ECE,ece8|pinj_30l,1.0191865828408766,FULL_RANK,0.8346763637691081,1.437773182825817,1.0029207786323662,0.6588617777923725,0.8174664266358578,0.7868555002125671,0.9514987651467722,0.6893654374233509,1.6447793630520362,1.0743859625356926,1.2332646584063476,1.1559665363179987,1.3068865677966617,1.1106522598243902,1.1667352520596717,0.7273444430938686,0.7934874702062569,0.9057086467206915,1.0331184999203893,1.0519837644453134,163,7535
LEVEL_RATE(cerqtit11|ece4),C6,cerqtit11|ece4,level|rate,CER|ECE,(level_family | rate_family),C6:CER|ECE,cerqtit11|ece4,1.0191876814741458,FULL_RANK,0.8376398650535507,1.4425100178145118,1.0048895416687442,0.6598170857829141,0.8219237479726463,0.7870336731258504,0.9546000277283552,0.6944011920389164,1.6426632361468874,1.0663812834529938,1.2244850391726085,1.1469688849352144,1.3076832271374126,1.1113678080132512,1.1703093064317762,0.7328417779198536,0.7927849342475476,0.9034200329029524,1.0315959875593796,1.0504369603775494,276,7536
LEVEL_RATE(cerqtit10|pinj_30l),C6,cerqtit10|pinj_30l,level|rate,CER|NBI,(level_family | rate_family),C6:CER|NBI,cerqtit10|pinj_30l,1.0191881501375613,FULL_RANK,0.8356130855392955,1.4386676328491037,1.004306751661928,0.6600580895878873,0.8183690397558948,0.78778286854809,0.9523659227055125,0.6964070185769963,1.642657500426978,1.0708041302499212,1.2325958726430868,1.1542131886640927,1.3042810263673381,1.1099521126795455,1.1671852366253903,0.7277966117455185,0.7935524264558769,0.9045247814978364,1.0315777255422158,1.0510519806287186,68,7537
LEVEL_RATE(ece5|gasd),C6,ece5|gasd,level|rate,ECE|GAS,(level_family | rate_family),C6:ECE|GAS,ece5|gasd,1.0191886986967245,FULL_RANK,0.8353618023707781,1.4396352620022046,0.9986878355561749,0.6601257908371954,0.8181567509896711,0.7877436488367134,0.9523495063098344,0.6944837842447532,1.6455431733725803,1.072488378938752,1.2320282049655762,1.1569655578928135,1.307545728772444,1.110771720215296,1.1670772151065254,0.7279820914928169,0.7918750905561526,0.903960082106909,1.0306331453665853,1.0503592040007097,89,7538
LEVEL_RATE(pinj|ece4),C6,pinj|ece4,level|rate,NBI|ECE,(level_family | rate_family),C6:NBI|ECE,ece4|pinj,1.0191891024063642,FULL_RANK,0.8365621727497562,1.4382130884221718,0.9856706181830776,0.6597685108931773,0.8214118814471444,0.7879476428338137,0.9580830116226545,0.6936143064642964,1.642662703361857,1.0644890631150579,1.2221452056774702,1.144057795677299,1.3068617565382328,1.1283601333611555,1.180388085419668,0.7352090097785786,0.792890158072835,0.9036313193596665,1.0313502380881403,1.0504653470612304,31,7539
