coordinate_id,constructor,search_stratum,within_stratum_rank,round_robin_order,J_search,status
DOT(cerqrott10),C1,C1:CER,11,33,1.0208939986170373,IN_EXPANSION_SHORTLIST
DOT(ece14),C1,C1:ECE,11,34,1.0148164501651094,IN_EXPANSION_SHORTLIST
DOT(cerqrott12),C1,C1:CER,12,35,1.021209863455237,IN_EXPANSION_SHORTLIST
DOT(ece1),C1,C1:ECE,12,36,1.0151005899601881,IN_EXPANSION_SHORTLIST
DOT(cerqrott13),C1,C1:CER,13,37,1.02132084150174,IN_EXPANSION_SHORTLIST
DOT(ece10),C1,C1:ECE,13,38,1.0153214668957535,IN_EXPANSION_SHORTLIST
DOT(cerqrott11),C1,C1:CER,14,39,1.0213712592516764,IN_EXPANSION_SHORTLIST
DOT(ece30),C1,C1:ECE,14,40,1.0155015704733934,IN_EXPANSION_SHORTLIST
DOT(ece5),C1,C1:ECE,15,41,1.0164789027171035,IN_EXPANSION_SHORTLIST
DOT(ece2),C1,C1:ECE,16,42,1.016488882880312,IN_EXPANSION_SHORTLIST
DOT(ece4),C1,C1:ECE,17,43,1.0165173242211645,IN_EXPANSION_SHORTLIST
DOT(ece19),C1,C1:ECE,18,44,1.0166102703896467,IN_EXPANSION_SHORTLIST
DOT(ece11),C1,C1:ECE,19,45,1.0170670006812452,IN_EXPANSION_SHORTLIST
DOT(ece3),C1,C1:ECE,20,46,1.0173647731991733,IN_EXPANSION_SHORTLIST
DOT(ece35),C1,C1:ECE,21,47,1.017386042565724,IN_EXPANSION_SHORTLIST
DOT(ece22),C1,C1:ECE,22,48,1.0176530906956576,IN_EXPANSION_SHORTLIST
DOT(ece9),C1,C1:ECE,23,49,1.017730626556166,IN_EXPANSION_SHORTLIST
DOT(ece6),C1,C1:ECE,24,50,1.0179995252306386,IN_EXPANSION_SHORTLIST
DOT(ece8),C1,C1:ECE,25,51,1.0183185171732492,IN_EXPANSION_SHORTLIST
DOT(ece12),C1,C1:ECE,26,52,1.0192231776261775,IN_EXPANSION_SHORTLIST
DOT(ece7),C1,C1:ECE,27,53,1.0193651518795988,IN_EXPANSION_SHORTLIST
DOT(ece13),C1,C1:ECE,28,54,1.021223291346582,IN_EXPANSION_SHORTLIST
DOT(ece18),C1,C1:ECE,29,55,1.0296700810912083,IN_EXPANSION_SHORTLIST
DOT(ece27),C1,C1:ECE,30,56,1.0297475256718536,IN_EXPANSION_SHORTLIST
DOT(ece16),C1,C1:ECE,31,57,1.0317150764388212,IN_EXPANSION_SHORTLIST
DOT(ece31),C1,C1:ECE,32,58,1.051457776406102,IN_EXPANSION_SHORTLIST
DOT(ece28),C1,C1:ECE,33,59,1.052633237160902,IN_EXPANSION_SHORTLIST
"PROD(cerqtit8,cerqtit10)",C2,"C2:{CER,CER}",1,1,0.8698054757791398,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,cerqtit6)",C2,"C2:{CER,DEN}",1,2,0.6275946806488888,IN_EXPANSION_SHORTLIST
"PROD(ece39,cerqtit10)",C2,"C2:{CER,ECE}",1,3,0.8747680170434308,IN_EXPANSION_SHORTLIST
"PROD(fs03da,cerqtit11)",C2,"C2:{CER,FS}",1,4,0.5932943345816499,IN_EXPANSION_SHORTLIST
"PROD(gasa,cerqtit6)",C2,"C2:{CER,GAS}",1,5,0.8465407924424714,IN_EXPANSION_SHORTLIST
"PROD(bt,cerqtit6)",C2,"C2:{CER,MAG}",1,6,0.7564033656258248,IN_EXPANSION_SHORTLIST
"PROD(pinj,cerqrott6)",C2,"C2:{CER,NBI}",1,7,0.6754318612129437,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,prmtan_neped)",C2,"C2:{DEN,DEN}",1,8,0.6481679926972337,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,ece39)",C2,"C2:{DEN,ECE}",1,9,0.6291568166734135,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,fs04)",C2,"C2:{DEN,FS}",1,10,0.637479626949421,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,gasc)",C2,"C2:{DEN,GAS}",1,11,0.707272452907957,IN_EXPANSION_SHORTLIST
"PROD(ip,prmtan_neped)",C2,"C2:{DEN,MAG}",1,12,0.49365425933189744,IN_EXPANSION_SHORTLIST
"PROD(prmtan_neped,pinj)",C2,"C2:{DEN,NBI}",1,13,0.576427064502931,IN_EXPANSION_SHORTLIST
"PROD(ece37,ece39)",C2,"C2:{ECE,ECE}",1,14,0.8891823015990046,IN_EXPANSION_SHORTLIST
"PROD(fs03da,ece39)",C2,"C2:{ECE,FS}",1,15,0.5743174894052181,IN_EXPANSION_SHORTLIST
"PROD(gasa,ece1)",C2,"C2:{ECE,GAS}",1,16,0.9197731688614612,IN_EXPANSION_SHORTLIST
"PROD(ip,ece39)",C2,"C2:{ECE,MAG}",1,17,0.8103913114762195,IN_EXPANSION_SHORTLIST
"PROD(pinj,ece36)",C2,"C2:{ECE,NBI}",1,18,0.6983938192487688,IN_EXPANSION_SHORTLIST
"PROD(fs04,fs03da)",C2,"C2:{FS,FS}",1,19,0.8226356796167755,IN_EXPANSION_SHORTLIST
"PROD(fs04,gasc)",C2,"C2:{FS,GAS}",1,20,0.890914650746774,IN_EXPANSION_SHORTLIST
"PROD(ip,fs03da)",C2,"C2:{FS,MAG}",1,21,0.6752820607988902,IN_EXPANSION_SHORTLIST
"PROD(fs04,pinj)",C2,"C2:{FS,NBI}",1,22,0.6186350186409635,IN_EXPANSION_SHORTLIST
"PROD(gasa,gasa)",C2,"C2:{GAS,GAS}",1,23,0.9039380164236673,IN_EXPANSION_SHORTLIST
"PROD(bt,gasd)",C2,"C2:{GAS,MAG}",1,24,0.864115888066937,IN_EXPANSION_SHORTLIST
"PROD(gasc,pinj)",C2,"C2:{GAS,NBI}",1,25,0.770369708426711,IN_EXPANSION_SHORTLIST
"PROD(bt,bt)",C2,"C2:{MAG,MAG}",1,26,0.74549733895133,IN_EXPANSION_SHORTLIST
