shot_id,signal_id,native_median_dt_ms,time_start_ms,time_end_ms,n_native_samples
159310,ece37,0.19999999999998863,0.0,5089.6,25449
159310,ece38,0.19999999999998863,0.0,5089.6,25449
159310,ece39,0.19999999999998863,0.0,5089.6,25449
159310,ece4,0.19999999999998863,0.0,5089.6,25449
159310,ece40,0.19999999999998863,0.0,5089.6,25449
159310,ece5,0.19999999999998863,0.0,5089.6,25449
159310,ece6,0.19999999999998863,0.0,5089.6,25449
159310,ece7,0.19999999999998863,0.0,5089.6,25449
159310,ece8,0.19999999999998863,0.0,5089.6,25449
159310,ece9,0.19999999999998863,0.0,5089.6,25449
159310,fs03da,0.01999999999998181,0.04999925568699837,5089.989999255688,254498
159310,fs04,0.01999999999998181,0.04999925568699837,5089.989999255688,254498
159310,fs04da,0.01999999999998181,0.04999925568699837,5089.989999255688,254498
159310,fs05da,0.01999999999998181,0.04999925568699837,5089.989999255688,254498
159310,gasa,2.0000000000004547,0.0,5090.0,2546
159310,gasb,2.0000000000004547,0.0,5090.0,2546
159310,gasc,2.0000000000004547,0.0,5090.0,2546
159310,gasd,2.0000000000004547,0.0,5090.0,2546
159310,ip,1.0,1.1102230246251565e-13,5089.0,5090
159310,kappa,20.0,100.0,5060.0,249
159310,li,20.0,100.0,5060.0,249
159310,pcbcoil,0.9999999974752427,0.0,5089.999987148985,5091
159310,pcdiamag3,0.9999999974752427,0.0,5089.999987148985,5091
159310,pinj,0.09999999999990905,0.0,5089.900000000001,50900
159310,pinj_15l,0.09999999999990905,0.0,5089.900000000001,50900
159310,pinj_15r,0.09999999999990905,0.0,5089.900000000001,50900
159310,pinj_21l,0.09999999999990905,0.0,5089.900000000001,50900
159310,pinj_21r,0.09999999999990905,0.0,5089.900000000001,50900
159310,pinj_30l,0.09999999999990905,0.0,5089.900000000001,50900
159310,pinj_30r,0.09999999999990905,0.0,5089.900000000001,50900
159310,pinj_33l,0.09999999999990905,0.0,5089.900000000001,50900
159310,pinj_33r,0.09999999999990905,0.0,5089.900000000001,50900
159310,prmtan_neped,9.4200439453125,300.4909973144531,5086.115234375,547
159310,prmtan_teped,10.0,300.4909973144531,5086.115234375,520
159310,q95,20.0,100.0,5060.0,249
159310,rmaxis,20.0,100.0,5060.0,249
159310,rsurf,20.0,100.0,5060.0,249
159310,tinj,0.09999999999990905,0.0,5089.900000000001,50900
159310,tribot,20.0,100.0,5060.0,249
159310,tritop,20.0,100.0,5060.0,249
159310,volume,20.0,100.0,5060.0,249
159310,vsurf,20.0,100.0,5060.0,249
159310,zcur,20.0,100.0,5060.0,249
159310,zmaxis,20.0,100.0,5060.0,249
159310,zsurf,20.0,100.0,5060.0,249
160715,aminor,20.0,100.0,4880.0,240
160715,area,20.0,100.0,4880.0,240
160715,betan,20.0,100.0,4880.0,240
160715,bt,1.0,0.0,4899.0,4900
160715,cerqrott10,10.0,600.0,4890.0,430
160715,cerqrott11,10.0,600.0,4890.0,430
160715,cerqrott12,10.0,600.0,4890.0,430
160715,cerqrott13,10.0,600.0,4890.0,430
160715,cerqrott3,10.0,400.0,4890.0,450
160715,cerqrott6,10.0,400.0,4890.0,450
160715,cerqrott8,10.0,600.0,4890.0,430
160715,cerqtit10,10.0,600.0,4890.0,430
160715,cerqtit11,10.0,600.0,4890.0,430
160715,cerqtit12,10.0,600.0,4890.0,430
160715,cerqtit13,10.0,600.0,4890.0,430
160715,cerqtit3,10.0,400.0,4890.0,450
160715,cerqtit6,10.0,400.0,4890.0,450
160715,cerqtit8,10.0,600.0,4890.0,430
160715,density,1.0,100.3175048828125,4898.3175048828125,4799
160715,drsep,20.0,100.0,4880.0,240
160715,ece1,0.19999999999998863,0.0,4899.8,24500
160715,ece10,0.19999999999998863,0.0,4899.8,24500
160715,ece11,0.19999999999998863,0.0,4899.8,24500
160715,ece12,0.19999999999998863,0.0,4899.8,24500
160715,ece13,0.19999999999998863,0.0,4899.8,24500
160715,ece14,0.19999999999998863,0.0,4899.8,24500
160715,ece15,0.19999999999998863,0.0,4899.8,24500
160715,ece16,0.19999999999998863,0.0,4899.8,24500
160715,ece17,0.19999999999998863,0.0,4899.8,24500
160715,ece18,0.19999999999998863,0.0,4899.8,24500
160715,ece19,0.19999999999998863,0.0,4899.8,24500
160715,ece2,0.19999999999998863,0.0,4899.8,24500
160715,ece20,0.19999999999998863,0.0,4899.8,24500
160715,ece21,0.19999999999998863,0.0,4899.8,24500
160715,ece22,0.19999999999998863,0.0,4899.8,24500
160715,ece23,0.19999999999998863,0.0,4899.8,24500
160715,ece24,0.19999999999998863,0.0,4899.8,24500
160715,ece25,0.19999999999998863,0.0,4899.8,24500
160715,ece26,0.19999999999998863,0.0,4899.8,24500
160715,ece27,0.19999999999998863,0.0,4899.8,24500
160715,ece28,0.19999999999998863,0.0,4899.8,24500
160715,ece29,0.19999999999998863,0.0,4899.8,24500
160715,ece3,0.19999999999998863,0.0,4899.8,24500
160715,ece30,0.19999999999998863,0.0,4899.8,24500
160715,ece31,0.19999999999998863,0.0,4899.8,24500
160715,ece32,0.19999999999998863,0.0,4899.8,24500
160715,ece33,0.19999999999998863,0.0,4899.8,24500
160715,ece34,0.19999999999998863,0.0,4899.8,24500
160715,ece35,0.19999999999998863,0.0,4899.8,24500
160715,ece36,0.19999999999998863,0.0,4899.8,24500
160715,ece37,0.19999999999998863,0.0,4899.8,24500
160715,ece38,0.19999999999998863,0.0,4899.8,24500
160715,ece39,0.19999999999998863,0.0,4899.8,24500
160715,ece4,0.19999999999998863,0.0,4899.8,24500
160715,ece40,0.19999999999998863,0.0,4899.8,24500
160715,ece5,0.19999999999998863,0.0,4899.8,24500
160715,ece6,0.19999999999998863,0.0,4899.8,24500
160715,ece7,0.19999999999998863,0.0,4899.8,24500
160715,ece8,0.19999999999998863,0.0,4899.8,24500
160715,ece9,0.19999999999998863,0.0,4899.8,24500
160715,fs03da,0.01999999999998181,0.04999925568699837,4899.9899992556875,244998
160715,fs04,0.01999999999998181,0.04999925568699837,4899.9899992556875,244998
160715,fs04da,0.01999999999998181,0.04999925568699837,4899.9899992556875,244998
160715,fs05da,0.01999999999998181,0.04999925568699837,4899.9899992556875,244998
160715,gasa,2.0000000000004547,0.0,4900.0,2451
160715,gasb,2.0000000000004547,0.0,4900.0,2451
160715,gasc,2.0000000000004547,0.0,4900.0,2451
160715,gasd,2.0000000000004547,0.0,4900.0,2451
160715,ip,1.0,1.1102230246251565e-13,4899.0,4900
160715,kappa,20.0,100.0,4880.0,240
160715,li,20.0,100.0,4880.0,240
160715,pcbcoil,0.9999999974752427,0.0,4899.999987628689,4901
160715,pcdiamag3,0.9999999974752427,0.0,4899.999987628689,4901
160715,pinj,0.09999999999990905,0.0,4899.900000000001,49000
