coordinate_id,constructor,ordered_operands,operand_roles,family_signature,role_semantics,search_stratum
LEVEL_RATE(ece14|pinj_30l),C6,ece14|pinj_30l,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI
LEVEL_RATE(ece14|pinj_30r),C6,ece14|pinj_30r,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI
LEVEL_RATE(ece14|pinj_33r),C6,ece14|pinj_33r,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI
LEVEL_RATE(ece14|tinj),C6,ece14|tinj,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI
LEVEL_RATE(ece14|ece1),C6,ece14|ece1,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece2),C6,ece14|ece2,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece3),C6,ece14|ece3,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece4),C6,ece14|ece4,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece5),C6,ece14|ece5,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece6),C6,ece14|ece6,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece7),C6,ece14|ece7,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece8),C6,ece14|ece8,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece9),C6,ece14|ece9,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece10),C6,ece14|ece10,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece11),C6,ece14|ece11,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece12),C6,ece14|ece12,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece13),C6,ece14|ece13,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece14),C6,ece14|ece14,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece15),C6,ece14|ece15,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece16),C6,ece14|ece16,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece18),C6,ece14|ece18,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece19),C6,ece14|ece19,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece20),C6,ece14|ece20,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece21),C6,ece14|ece21,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece22),C6,ece14|ece22,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece25),C6,ece14|ece25,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece27),C6,ece14|ece27,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece28),C6,ece14|ece28,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece14|ece29),C6,ece14|ece29,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
