coordinate_id,constructor,operands,first_rejecting_class,rejection_reason,value_min,value_max
"PROD(pinj_15r,cerqtit3)",C2,pinj_15r|cerqtit3,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,14163053356.540817
"PROD(pinj_15r,cerqtit6)",C2,pinj_15r|cerqtit6,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,6611298599.896616
"PROD(pinj_15r,cerqtit8)",C2,pinj_15r|cerqtit8,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,5414870336.8737135
"PROD(pinj_15r,cerqtit10)",C2,pinj_15r|cerqtit10,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,4813429255.509611
"PROD(pinj_15r,cerqtit11)",C2,pinj_15r|cerqtit11,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,4457275302.244789
"PROD(pinj_15r,cerqtit12)",C2,pinj_15r|cerqtit12,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,4091659890.991595
"PROD(pinj_15r,cerqtit13)",C2,pinj_15r|cerqtit13,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,3899972394.324218
"PROD(pinj_21l,pinj_21r)",C2,pinj_21l|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-23571342.86925719,3774710773432.5347
"PROD(pinj_21l,pinj_30l)",C2,pinj_21l|pinj_30l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-31515078.27362523,6010967440555.0625
"PROD(pinj_21l,pinj_30r)",C2,pinj_21l|pinj_30r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-24480820.32651885,4663251277284.576
"PROD(pinj_21l,pinj_33l)",C2,pinj_21l|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-41624784.56115656,4716706752802.64
"PROD(pinj_21l,pinj_33r)",C2,pinj_21l|pinj_33r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-47673086.27718821,5236206092796.036
"PROD(pinj_21l,tinj)",C2,pinj_21l|tinj,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-4144272.9867227143,22274377.6403787
"PROD(pinj_21l,ece1)",C2,pinj_21l|ece1,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-7616.13590883254,2623361300.609483
"PROD(pinj_21l,ece2)",C2,pinj_21l|ece2,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-118290.39899739895,13311779655.930897
"PROD(pinj_21l,ece3)",C2,pinj_21l|ece3,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-58565.80312394663,6524360367.4506645
"PROD(pinj_21l,ece4)",C2,pinj_21l|ece4,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-57311.28309834157,6457950411.116368
"PROD(pinj_21l,ece5)",C2,pinj_21l|ece5,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-52924.38482155011,6372467213.580015
"PROD(pinj_21l,ece6)",C2,pinj_21l|ece6,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-66463.674223521,7510814951.214093
"PROD(pinj_21l,ece7)",C2,pinj_21l|ece7,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-78278.81577681267,8945939605.906292
"PROD(pinj_21l,ece8)",C2,pinj_21l|ece8,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-87906.32203327745,9680943381.93532
"PROD(pinj_21l,ece9)",C2,pinj_21l|ece9,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-77196.39036896703,7873400057.35691
"PROD(pinj_21l,ece10)",C2,pinj_21l|ece10,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-84679.94433680485,8383996532.735326
"PROD(pinj_21l,ece11)",C2,pinj_21l|ece11,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-95252.48425229442,10505331089.0897
"PROD(pinj_21l,ece12)",C2,pinj_21l|ece12,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-97947.10077588564,11006738698.43242
"PROD(pinj_21l,ece13)",C2,pinj_21l|ece13,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-98031.23591888836,11075598861.195951
"PROD(pinj_21l,ece14)",C2,pinj_21l|ece14,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-102622.41225210008,11510214014.283558
"PROD(pinj_21l,ece15)",C2,pinj_21l|ece15,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-98994.61231742887,11021843693.533213
"PROD(pinj_21l,ece16)",C2,pinj_21l|ece16,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-99942.32824894268,11078768056.655865
"PROD(pinj_21l,ece17)",C2,pinj_21l|ece17,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-132714.25015679575,14943852509.682938
"PROD(pinj_21l,ece18)",C2,pinj_21l|ece18,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-126019.79490801651,14147098934.852121
"PROD(pinj_21l,ece19)",C2,pinj_21l|ece19,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-115209.19542511663,12980498777.718502
"PROD(pinj_21l,ece20)",C2,pinj_21l|ece20,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-109410.59265744791,12302817723.304012
"PROD(pinj_21l,ece21)",C2,pinj_21l|ece21,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-111905.38998749827,12594770657.83287
"PROD(pinj_21l,ece22)",C2,pinj_21l|ece22,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-109328.8521422976,12287070862.833565
"PROD(pinj_21l,ece23)",C2,pinj_21l|ece23,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-106634.36798909806,11881003581.577124
"PROD(pinj_21l,ece24)",C2,pinj_21l|ece24,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-107019.55994098354,11770924410.204058
"PROD(pinj_21l,ece25)",C2,pinj_21l|ece25,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-112634.32820000926,12361952147.382889
"PROD(pinj_21l,ece26)",C2,pinj_21l|ece26,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-111709.35753455813,12256768548.067196
"PROD(pinj_21l,ece27)",C2,pinj_21l|ece27,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-115760.29047675073,12671473725.200373
"PROD(pinj_21l,ece28)",C2,pinj_21l|ece28,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-127635.85748477459,14006818368.677357
"PROD(pinj_21l,ece29)",C2,pinj_21l|ece29,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-105223.21007675174,11534804273.15884
"PROD(pinj_21l,ece30)",C2,pinj_21l|ece30,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-116296.40663605114,12408481027.565487
"PROD(pinj_21l,ece31)",C2,pinj_21l|ece31,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-93826.21137781543,10006913159.820538
"PROD(pinj_21l,ece32)",C2,pinj_21l|ece32,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-102896.74102033222,11024515459.304024
"PROD(pinj_21l,ece33)",C2,pinj_21l|ece33,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-1075442.4064522565,119670191644.60672
"PROD(pinj_21l,ece34)",C2,pinj_21l|ece34,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-743182.1207169858,83861727240.80667
"PROD(pinj_21l,ece35)",C2,pinj_21l|ece35,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-99382.20808551395,11825433785.757896
"PROD(pinj_21l,ece36)",C2,pinj_21l|ece36,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-67144.74815410022,9931129659.21153
