coordinate_id,constructor,operands,primitive_ancestors,n_ancestors,depth,output_dimension,unit_expression,temporal_propagation,temporal_resolution_bound_ms,provenance_lineage,aliasing_flag,upsample_flag,uncalibrated_flag,primary_or_sensitivity,domain_predicate,exact_dependency_member
ID(cerqtit13),C0,cerqtit13,cerqtit13,1,0,eV,eV,inherit,9.973614775725594,cerqtit13:cer_rotation_ti,True,False,False,PRIMARY,,
DOT(bt),C1,bt,bt,1,1,(T) T^-1,T/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.4999999999999999,bt:magnetics,True,False,False,PRIMARY,,
DOT(ip),C1,ip,ip,1,1,(A) T^-1,A/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.4999593727147152,ip:magnetics,True,False,False,PRIMARY,,
DOT(gasa),C1,gasa,gasa,1,1,(V) T^-1,V/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.5,gasa:gas_injection,False,False,False,PRIMARY,,
DOT(gasb),C1,gasb,gasb,1,1,(V) T^-1,V/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.5,gasb:gas_injection,False,False,False,PRIMARY,,
DOT(gasc),C1,gasc,gasc,1,1,(V) T^-1,V/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.5,gasc:gas_injection,False,False,False,PRIMARY,,
DOT(gasd),C1,gasd,gasd,1,1,(V) T^-1,V/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.5,gasd:gas_injection,False,False,False,PRIMARY,,
DOT(pinj),C1,pinj,pinj,1,1,(W) T^-1,W/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.1,pinj:neutral_beams,False,False,False,PRIMARY,,
DOT(pinj_15l),C1,pinj_15l,pinj_15l,1,1,(W) T^-1,W/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.1,pinj_15l:neutral_beams,False,False,False,PRIMARY,,
DOT(pinj_30l),C1,pinj_30l,pinj_30l,1,1,(W) T^-1,W/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.1,pinj_30l:neutral_beams,False,False,False,PRIMARY,,
DOT(pinj_30r),C1,pinj_30r,pinj_30r,1,1,(W) T^-1,W/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.1,pinj_30r:neutral_beams,False,False,False,PRIMARY,,
DOT(pinj_33r),C1,pinj_33r,pinj_33r,1,1,(W) T^-1,W/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.1,pinj_33r:neutral_beams,False,False,False,PRIMARY,,
DOT(tinj),C1,tinj,tinj,1,1,(N m) T^-1,N m/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.1,tinj:neutral_beams,False,False,False,PRIMARY,,
DOT(ece1),C1,ece1,ece1,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece1:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece2),C1,ece2,ece2,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece2:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece3),C1,ece3,ece3,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece3:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece4),C1,ece4,ece4,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece4:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece5),C1,ece5,ece5,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece5:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece6),C1,ece6,ece6,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece6:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece7),C1,ece7,ece7,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece7:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece8),C1,ece8,ece8,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece8:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece9),C1,ece9,ece9,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece9:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece10),C1,ece10,ece10,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece10:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece11),C1,ece11,ece11,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece11:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece12),C1,ece12,ece12,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece12:ece_te_profile,False,False,False,PRIMARY,,
DOT(ece13),C1,ece13,ece13,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece13:ece_te_profile,False,False,False,PRIMARY,,
