representation,learner,trajectory,rmse,r2,n
C0_center,MLP(seed=2),traj_025,1.2043927057003527,0.9824659567786227,2141
C0_center,MLP(seed=2),traj_029,1.0929858523668672,0.9838964077723421,2146
C0_center,MLP(seed=2),traj_033,1.268882325795263,0.9819321077633881,2114
C0_center,MLP(seed=2),traj_042,1.663817870971011,0.963135074090208,2098
C0_center,MLP(seed=2),traj_047,1.2821780039476618,0.9802101840878783,2126
C0_center,MLP(seed=3),traj_001,1.4629663219281714,0.9744579397119568,2110
C0_center,MLP(seed=3),traj_009,1.2246184618937719,0.9811438882296669,2116
C0_center,MLP(seed=3),traj_016,1.3373054538227738,0.979141785120597,2151
C0_center,MLP(seed=3),traj_025,1.2151412258999728,0.9821515975361258,2141
C0_center,MLP(seed=3),traj_029,1.1433150172275584,0.9823792049546092,2146
C0_center,MLP(seed=3),traj_033,1.3098690239187052,0.9807460189860444,2114
C0_center,MLP(seed=3),traj_042,1.602634281782854,0.9657964918290082,2098
C0_center,MLP(seed=3),traj_047,1.3214378446374604,0.9789797154485154,2126
C0_center,MLP(seed=4),traj_001,1.4297333859002979,0.9756051930545581,2110
C0_center,MLP(seed=4),traj_009,1.1996779792192156,0.9819041114263375,2116
C0_center,MLP(seed=4),traj_016,1.306332334906037,0.9800967838566139,2151
C0_center,MLP(seed=4),traj_025,1.1890689673253034,0.9829092969099675,2141
C0_center,MLP(seed=4),traj_029,1.1273797783754,0.9828669703949444,2146
C0_center,MLP(seed=4),traj_033,1.310808601668391,0.9807183870624226,2114
C0_center,MLP(seed=4),traj_042,1.5717305519452867,0.9671028718615906,2098
C0_center,MLP(seed=4),traj_047,1.2962425887130336,0.9797736423371491,2126
C0_matched,STLSQ,traj_001,9.177691656253232,-0.005203966365024293,2110
C0_matched,STLSQ,traj_009,8.927955527794563,-0.002200408794462483,2116
C0_matched,STLSQ,traj_016,9.283967779962689,-0.005271001367227246,2151
C0_matched,STLSQ,traj_025,9.102514831705504,-0.0015407634341206844,2141
C0_matched,STLSQ,traj_029,8.585445161360326,0.006382295943139327,2146
C0_matched,STLSQ,traj_033,9.427288703348086,0.0026710867361083857,2114
C0_matched,STLSQ,traj_042,8.687758359674792,-0.005118489273235882,2098
C0_matched,STLSQ,traj_047,9.129718286400005,-0.0033671162100707974,2126
C0_matched,MLP(seed=0),traj_001,0.32715873718693467,0.998722666463467,2110
C0_matched,MLP(seed=0),traj_009,0.25950440346708514,0.9991532796408842,2116
C0_matched,MLP(seed=0),traj_016,0.28003981485168244,0.9990853488823761,2151
C0_matched,MLP(seed=0),traj_025,0.26586395494950327,0.9991455930713888,2141
C0_matched,MLP(seed=0),traj_029,0.2736826684183643,0.998990309488255,2146
C0_matched,MLP(seed=0),traj_033,0.29311755612862633,0.999035841448729,2114
C0_matched,MLP(seed=0),traj_042,0.40025598366418863,0.9978665745954826,2098
C0_matched,MLP(seed=0),traj_047,0.28217797792579513,0.9990415017065439,2126
C0_matched,MLP(seed=1),traj_001,0.24246996735587842,0.9992983780353084,2110
C0_matched,MLP(seed=1),traj_009,0.19101995574937766,0.9995412162580937,2116
