realization_id,filename,sha256,theta0,omega_init,omega0,omega0_squared,energy_initial,normalized_energy_fraction,sample_count,t_start,t_end,dt,max_abs_energy_drift,max_rel_energy_drift,rms_energy_drift
010,pendulum_010.parquet,bf5bf5abd7b5c1b1f4a78fbd54cd499d348b5371c2a32c0cb055477b3f1be3b2,-1.0239716350653247,0.2038873745830585,1.35,1.8225000000000002,0.8956259088897701,0.24571355525096572,3001,0.0,30.0,0.01,2.616573624436569e-12,2.921502826643446e-12,4.837994128483709e-13
011,pendulum_011.parquet,ef79e87be2a1794b8cca99e290087ed5fc2ed5ae3d1e9435169557991c18ccd7,0.8221593684372586,0.8215519496487123,1.35,1.8225000000000002,0.9195059363610846,0.2522650031168956,3001,0.0,30.0,0.01,2.5941471193391408e-12,2.821240208198541e-12,4.957144690831053e-13
012,pendulum_012.parquet,af515c5896c5a2498f1c49a477cc47f7156d9b249136fb04bf0d2169d29f08ce,1.1441644663301669,-0.6076037581070105,1.35,1.8225000000000002,1.2529280514135515,0.34373883440701,3001,0.0,30.0,0.01,3.780087354243733e-12,3.017002732103447e-12,7.323666687802233e-13
013,pendulum_013.parquet,2feb33b397c3a18fb8565f35e2c8a7f280f86743e00bd82f395f92a4d4bc63d1,-1.215231760381206,-0.4252407057666411,1.35,1.8225000000000002,1.2784667239147307,0.35074532892036503,3001,0.0,30.0,0.01,3.896216682619524e-12,3.0475698817479654e-12,7.599388815943992e-13
014,pendulum_014.parquet,64883aed7fe13f28605852a0b461d85071985910031aa9e6a33f9f57b8f36811,1.2893205749811214,0.06672690852731833,1.35,1.8225000000000002,1.3184838059995478,0.3617239522632504,3001,0.0,30.0,0.01,3.8977709948539996e-12,2.9562524599223908e-12,7.95768515421991e-13
015,pendulum_015.parquet,a1f41710642f4aa50efffbb072b14becdef8bb700c0474a3f7dd2ecfa099ff36,-1.1746865027994648,0.6798538602841631,1.35,1.8225000000000002,1.350421240951911,0.3704859371610181,3001,0.0,30.0,0.01,3.995470621021013e-12,2.9586846680555832e-12,8.311484800445742e-13
016,pendulum_016.parquet,2da3433eb97e543b4917b3e155195af405528e2d11532483b35632a353bbfd2a,-1.3302544866762533,-0.8323736969484761,1.35,1.8225000000000002,1.734750812900235,0.47592614894382296,3001,0.0,30.0,0.01,5.695666160931978e-12,3.2832762599544227e-12,1.3187908724954241e-12
017,pendulum_017.parquet,9d05bb20aac37f03f444fec4e4b96dc511a9c62ba287fd212807b8d8a956bc5b,1.311107491327172,-0.9162973798101375,1.35,1.8225000000000002,1.7743191981788577,0.48678167302574965,3001,0.0,30.0,0.01,6.312950162623565e-12,3.5579562961969356e-12,1.236179116959738e-12
018,pendulum_018.parquet,9a70fac0f35ae88f280d8e93226267b623a79b79148377b8c126b2ea8b51fa2c,1.5469681294991822,0.2886822697870195,1.35,1.8225000000000002,1.8207459462647644,0.4995187781247638,3001,0.0,30.0,0.01,7.505773780280833e-12,4.122361933952854e-12,1.3261033154649932e-12
019,pendulum_019.parquet,9f55a44ac199f3fee3c6164c45e1f36bcf3b55545fd7941a4fd86378d6d1d4b8,-1.545509076148055,0.3930441354125813,1.35,1.8225000000000002,1.8536607433091286,0.5085489007706799,3001,0.0,30.0,0.01,6.5427663287209725e-12,3.529646054348068e-12,1.3162401138542444e-12
020,pendulum_020.parquet,abee93d0cf8227de762036907cd24793ee510c4b6f26351f1c2063abc892cf77,1.850499436872329,-0.03365514203198483,1.35,1.8225000000000002,2.326204471924131,0.6381905272768534,3001,0.0,30.0,0.01,1.113420466936077e-11,4.786425614662781e-12,1.8340842030208424e-12
021,pendulum_021.parquet,5e7b8c91a37f146b76fa74009340d0b390b4d90668e39013bc1689340a1d2931,-1.7384932362160894,-0.6348041048862925,1.35,1.8225000000000002,2.3281852665518947,0.63873395515827,3001,0.0,30.0,0.01,8.711698029628678e-12,3.741840546277031e-12,1.8758096128985937e-12
022,pendulum_022.parquet,069b7a7186e0001a21fdb25766e29d09cdb8462584e4864a78ac537157caf087,-1.7642406754488165,0.6251368624216374,1.35,1.8225000000000002,2.368255690749585,0.6497272128256748,3001,0.0,30.0,0.01,9.277023593767808e-12,3.9172390168865184e-12,2.8056991791327244e-12
023,pendulum_023.parquet,179b7a1f695add38764d74e113534bfd2161766e624f62ecd174c60fb0f5b7f4,1.7688361268610113,0.6618359069113386,1.35,1.8225000000000002,2.400086292900834,0.658459888312986,3001,0.0,30.0,0.01,1.34781075189494e-11,5.615676219149293e-12,2.3411332362107223e-12
024,pendulum_024.parquet,4b9d58959600180dfff23135fe2a7950994b54d8f3643ccacf137f8292d9383d,-1.9118456303499827,0.8909378173256013,1.35,1.8225000000000002,2.8289678699575322,0.7761228724163325,3001,0.0,30.0,0.01,1.0812684081429325e-11,3.822130394712345e-12,2.2903639493369713e-12
025,pendulum_025.parquet,c38ffa55e3c4f39ac3d766a870beea3fc1c0a88b490d1802a7a933e646e39eec,1.8754942033091457,-0.9972390992507923,1.35,1.8225000000000002,2.866501990127095,0.7864202990746487,3001,0.0,30.0,0.01,1.219691014853197e-11,4.254980526977127e-12,2.7817195218220013e-12
026,pendulum_026.parquet,c12e80bdc373112b1d28c4459ac980a77c2b264893886be9472903fd0e6ea173,1.8637510358332867,1.0414515015135535,1.35,1.8225000000000002,2.8911163651374316,0.7931732140294736,3001,0.0,30.0,0.01,1.0982326159592048e-11,3.79864549625971e-12,3.0860386726213295e-12
027,pendulum_027.parquet,cabf402668b66036b13716b4bf98e0899bc64450e6a2900719c00435ead4a6d4,-1.9505871255737124,-0.9184227986797211,1.35,1.8225000000000002,2.9198986880359565,0.8010695989124709,3001,0.0,30.0,0.01,1.2073453348193652e-11,4.13488776088829e-12,2.986466300358158e-12
028,pendulum_028.parquet,75d7802939eb67d8ab8cfa9fd9d58f8ab51c518c4f4c9ee7027be332ee392f43,2.3926979644044475,-0.4307813872960967,1.35,1.8225000000000002,3.250161563343371,0.8916766977622416,3001,0.0,30.0,0.01,1.4199308395745902e-11,4.368800786979765e-12,3.3056973244090465e-12
029,pendulum_029.parquet,2284c5967ce5316141190d5fc65197c195a68fa95ee5254506d239143f94969e,-2.0980372991830976,-1.0238019907158238,1.35,1.8225000000000002,3.2635777944443616,0.8953574196006477,3001,0.0,30.0,0.01,1.4860113140002795e-11,4.553319723310838e-12,3.1596265268679705e-12
030,pendulum_030.parquet,5a0a6ff5f70818051600018b23981fad597638251dc85ecbf9b05a2dc436c473,-2.118783816440945,1.0046993838475362,1.35,1.8225000000000002,3.2766790841408047,0.8989517377615375,3001,0.0,30.0,0.01,1.1231460206317934e-11,3.427696127056945e-12,2.9117150851734806e-12
031,pendulum_031.parquet,a9fb8ec2704eb6df677c6aac0062e916997d944b3315ab8895ebb57bbf8f5f6c,2.2827697220001153,0.7304303406022556,1.35,1.8225000000000002,3.2799564321749703,0.8998508730246831,3001,0.0,30.0,0.01,2.1164847652244134e-11,6.452783166454904e-12,4.6874657068610516e-12
