coordinate_id,constructor
"PROD(pinj_15l,ece6)",C2
"PROD(pinj_15l,ece7)",C2
"PROD(pinj_15l,ece8)",C2
"PROD(pinj_15l,ece9)",C2
"PROD(pinj_15l,ece10)",C2
"PROD(pinj_15l,ece11)",C2
"PROD(pinj_15l,ece12)",C2
"PROD(pinj_15l,ece13)",C2
"PROD(pinj_15l,ece14)",C2
"PROD(pinj_15l,ece15)",C2
"PROD(pinj_15l,ece16)",C2
"PROD(pinj_15l,ece18)",C2
"PROD(pinj_15l,ece19)",C2
"PROD(pinj_15l,ece20)",C2
"PROD(pinj_15l,ece21)",C2
"PROD(pinj_15l,ece22)",C2
"PROD(pinj_15l,ece25)",C2
"PROD(pinj_15l,ece27)",C2
"PROD(pinj_15l,ece28)",C2
"PROD(pinj_15l,ece29)",C2
"PROD(pinj_15l,ece30)",C2
"PROD(pinj_15l,ece31)",C2
"PROD(pinj_15l,ece33)",C2
"PROD(pinj_15l,ece35)",C2
"PROD(pinj_15l,ece36)",C2
"PROD(pinj_15l,ece37)",C2
"PROD(pinj_15l,ece38)",C2
"PROD(pinj_15l,ece39)",C2
"PROD(pinj_15l,cerqrott3)",C2
"PROD(pinj_15l,cerqrott6)",C2
"PROD(pinj_15l,cerqrott8)",C2
"PROD(pinj_15l,cerqrott10)",C2
"PROD(pinj_15l,cerqrott11)",C2
"PROD(pinj_15l,cerqrott12)",C2
"PROD(pinj_15l,cerqtit3)",C2
"PROD(pinj_15l,cerqtit6)",C2
"PROD(pinj_15l,cerqtit8)",C2
"PROD(pinj_15l,cerqtit10)",C2
"PROD(pinj_15l,cerqtit11)",C2
"PROD(pinj_15l,cerqtit12)",C2
"PROD(pinj_30l,pinj_30l)",C2
"PROD(pinj_30l,pinj_33r)",C2
"PROD(pinj_30l,tinj)",C2
"PROD(pinj_30l,ece1)",C2
"PROD(pinj_30l,ece2)",C2
"PROD(pinj_30l,ece3)",C2
"PROD(pinj_30l,ece4)",C2
"PROD(pinj_30l,ece5)",C2
"PROD(pinj_30l,ece6)",C2
"PROD(pinj_30l,ece7)",C2
"PROD(pinj_30l,ece8)",C2
"PROD(pinj_30l,ece9)",C2
"PROD(pinj_30l,ece10)",C2
"PROD(pinj_30l,ece11)",C2
"PROD(pinj_30l,ece12)",C2
"PROD(pinj_30l,ece13)",C2
"PROD(pinj_30l,ece14)",C2
"PROD(pinj_30l,ece15)",C2
"PROD(pinj_30l,ece16)",C2
"PROD(pinj_30l,ece18)",C2
"PROD(pinj_30l,ece19)",C2
"PROD(pinj_30l,ece20)",C2
"PROD(pinj_30l,ece21)",C2
"PROD(pinj_30l,ece22)",C2
"PROD(pinj_30l,ece25)",C2
"PROD(pinj_30l,ece27)",C2
"PROD(pinj_30l,ece28)",C2
"PROD(pinj_30l,ece29)",C2
"PROD(pinj_30l,ece30)",C2
"PROD(pinj_30l,ece31)",C2
"PROD(pinj_30l,ece33)",C2
"PROD(pinj_30l,ece35)",C2
"PROD(pinj_30l,ece36)",C2
"PROD(pinj_30l,ece37)",C2
"PROD(pinj_30l,ece38)",C2
"PROD(pinj_30l,ece39)",C2
"PROD(pinj_30l,cerqrott3)",C2
"PROD(pinj_30l,cerqrott6)",C2
"PROD(pinj_30l,cerqrott8)",C2
"PROD(pinj_30l,cerqrott10)",C2
"PROD(pinj_30l,cerqrott11)",C2
"PROD(pinj_30l,cerqrott12)",C2
"PROD(pinj_30l,cerqtit3)",C2
"PROD(pinj_30l,cerqtit6)",C2
"PROD(pinj_30l,cerqtit8)",C2
"PROD(pinj_30l,cerqtit10)",C2
"PROD(pinj_30l,cerqtit11)",C2
"PROD(pinj_30l,cerqtit12)",C2
"PROD(pinj_33r,pinj_33r)",C2
"PROD(pinj_33r,tinj)",C2
"PROD(pinj_33r,ece1)",C2
"PROD(pinj_33r,ece2)",C2
"PROD(pinj_33r,ece3)",C2
"PROD(pinj_33r,ece4)",C2
"PROD(pinj_33r,ece5)",C2
"PROD(pinj_33r,ece6)",C2
"PROD(pinj_33r,ece7)",C2
"PROD(pinj_33r,ece8)",C2
"PROD(pinj_33r,ece9)",C2
"PROD(pinj_33r,ece10)",C2
"PROD(pinj_33r,ece11)",C2
"PROD(pinj_33r,ece12)",C2
"PROD(pinj_33r,ece13)",C2
"PROD(pinj_33r,ece14)",C2
"PROD(pinj_33r,ece15)",C2
"PROD(pinj_33r,ece16)",C2
"PROD(pinj_33r,ece18)",C2
"PROD(pinj_33r,ece19)",C2
"PROD(pinj_33r,ece20)",C2
"PROD(pinj_33r,ece21)",C2
"PROD(pinj_33r,ece22)",C2
"PROD(pinj_33r,ece25)",C2
"PROD(pinj_33r,ece27)",C2
"PROD(pinj_33r,ece28)",C2
"PROD(pinj_33r,ece29)",C2
"PROD(pinj_33r,ece30)",C2
"PROD(pinj_33r,ece31)",C2
"PROD(pinj_33r,ece33)",C2
"PROD(pinj_33r,ece35)",C2
"PROD(pinj_33r,ece36)",C2
"PROD(pinj_33r,ece37)",C2
"PROD(pinj_33r,ece38)",C2
"PROD(pinj_33r,ece39)",C2
"PROD(pinj_33r,cerqrott3)",C2
"PROD(pinj_33r,cerqrott6)",C2
"PROD(pinj_33r,cerqrott8)",C2
"PROD(pinj_33r,cerqrott10)",C2
"PROD(pinj_33r,cerqrott11)",C2
"PROD(pinj_33r,cerqrott12)",C2
"PROD(pinj_33r,cerqtit3)",C2
"PROD(pinj_33r,cerqtit6)",C2
"PROD(pinj_33r,cerqtit8)",C2
"PROD(pinj_33r,cerqtit10)",C2
"PROD(pinj_33r,cerqtit11)",C2
"PROD(pinj_33r,cerqtit12)",C2
"PROD(tinj,ece1)",C2
"PROD(tinj,ece2)",C2
"PROD(tinj,ece3)",C2
"PROD(tinj,ece4)",C2
"PROD(tinj,ece5)",C2
"PROD(tinj,ece6)",C2
"PROD(tinj,ece7)",C2
"PROD(tinj,ece8)",C2
"PROD(tinj,ece9)",C2
"PROD(tinj,ece10)",C2
"PROD(tinj,ece11)",C2
"PROD(tinj,ece12)",C2
"PROD(tinj,ece13)",C2
"PROD(tinj,ece14)",C2
"PROD(tinj,ece15)",C2
"PROD(tinj,ece16)",C2
"PROD(tinj,ece18)",C2
"PROD(tinj,ece19)",C2
"PROD(tinj,ece20)",C2
"PROD(tinj,ece21)",C2
"PROD(tinj,ece22)",C2
"PROD(tinj,ece25)",C2
"PROD(tinj,ece27)",C2
"PROD(tinj,ece28)",C2
"PROD(tinj,ece29)",C2
"PROD(tinj,ece30)",C2
"PROD(tinj,ece31)",C2
"PROD(tinj,ece33)",C2
"PROD(tinj,ece35)",C2
"PROD(tinj,ece36)",C2
"PROD(tinj,ece37)",C2
"PROD(tinj,ece38)",C2
"PROD(tinj,ece39)",C2
"PROD(tinj,cerqrott3)",C2
"PROD(tinj,cerqrott6)",C2
"PROD(tinj,cerqrott8)",C2
"PROD(tinj,cerqrott10)",C2
"PROD(tinj,cerqrott11)",C2
"PROD(tinj,cerqrott12)",C2
"PROD(tinj,cerqtit3)",C2
"PROD(tinj,cerqtit6)",C2
"PROD(tinj,cerqtit8)",C2
"PROD(tinj,cerqtit10)",C2
"PROD(tinj,cerqtit11)",C2
"PROD(tinj,cerqtit12)",C2
"PROD(ece1,ece1)",C2
"PROD(ece1,ece2)",C2
"PROD(ece1,ece3)",C2
"PROD(ece1,ece4)",C2
"PROD(ece1,ece5)",C2
"PROD(ece1,ece6)",C2
"PROD(ece1,ece7)",C2
"PROD(ece1,ece8)",C2
"PROD(ece1,ece9)",C2
"PROD(ece1,ece10)",C2
"PROD(ece1,ece11)",C2
"PROD(ece1,ece12)",C2
"PROD(ece1,ece13)",C2
"PROD(ece1,ece14)",C2
"PROD(ece1,ece15)",C2
"PROD(ece1,ece16)",C2
"PROD(ece1,ece18)",C2
"PROD(ece1,ece19)",C2
"PROD(ece1,ece20)",C2
"PROD(ece1,ece21)",C2
"PROD(ece1,ece22)",C2
"PROD(ece1,ece25)",C2
"PROD(ece1,ece27)",C2
"PROD(ece1,ece28)",C2
"PROD(ece1,ece29)",C2
"PROD(ece1,ece30)",C2
"PROD(ece1,ece31)",C2
"PROD(ece1,ece33)",C2
"PROD(ece1,ece35)",C2
"PROD(ece1,ece36)",C2
"PROD(ece1,ece37)",C2
"PROD(ece1,ece38)",C2
"PROD(ece1,ece39)",C2
"PROD(ece1,cerqrott3)",C2
"PROD(ece1,cerqrott6)",C2
"PROD(ece1,cerqrott8)",C2
"PROD(ece1,cerqrott10)",C2
"PROD(ece1,cerqrott11)",C2
"PROD(ece1,cerqrott12)",C2
"PROD(ece1,cerqtit3)",C2
"PROD(ece1,cerqtit6)",C2
"PROD(ece1,cerqtit8)",C2
"PROD(ece1,cerqtit10)",C2
"PROD(ece1,cerqtit11)",C2
"PROD(ece1,cerqtit12)",C2
"PROD(ece2,ece2)",C2
"PROD(ece2,ece3)",C2
"PROD(ece2,ece4)",C2
"PROD(ece2,ece5)",C2
"PROD(ece2,ece6)",C2
"PROD(ece2,ece7)",C2
"PROD(ece2,ece8)",C2
"PROD(ece2,ece9)",C2
"PROD(ece2,ece10)",C2
"PROD(ece2,ece11)",C2
"PROD(ece2,ece12)",C2
"PROD(ece2,ece13)",C2
"PROD(ece2,ece14)",C2
"PROD(ece2,ece15)",C2
"PROD(ece2,ece16)",C2
"PROD(ece2,ece18)",C2
"PROD(ece2,ece19)",C2
"PROD(ece2,ece20)",C2
"PROD(ece2,ece21)",C2
"PROD(ece2,ece22)",C2
"PROD(ece2,ece25)",C2
"PROD(ece2,ece27)",C2
"PROD(ece2,ece28)",C2
"PROD(ece2,ece29)",C2
"PROD(ece2,ece30)",C2
"PROD(ece2,ece31)",C2
"PROD(ece2,ece33)",C2
"PROD(ece2,ece35)",C2
"PROD(ece2,ece36)",C2
"PROD(ece2,ece37)",C2
"PROD(ece2,ece38)",C2
"PROD(ece2,ece39)",C2
"PROD(ece2,cerqrott3)",C2
"PROD(ece2,cerqrott6)",C2
"PROD(ece2,cerqrott8)",C2
"PROD(ece2,cerqrott10)",C2
"PROD(ece2,cerqrott11)",C2
"PROD(ece2,cerqrott12)",C2
"PROD(ece2,cerqtit3)",C2
"PROD(ece2,cerqtit6)",C2
"PROD(ece2,cerqtit8)",C2
"PROD(ece2,cerqtit10)",C2
"PROD(ece2,cerqtit11)",C2
"PROD(ece2,cerqtit12)",C2
"PROD(ece3,ece3)",C2
"PROD(ece3,ece4)",C2
"PROD(ece3,ece5)",C2
"PROD(ece3,ece6)",C2
"PROD(ece3,ece7)",C2
"PROD(ece3,ece8)",C2
"PROD(ece3,ece9)",C2
"PROD(ece3,ece10)",C2
"PROD(ece3,ece11)",C2
"PROD(ece3,ece12)",C2
"PROD(ece3,ece13)",C2
"PROD(ece3,ece14)",C2
"PROD(ece3,ece15)",C2
"PROD(ece3,ece16)",C2
"PROD(ece3,ece18)",C2
"PROD(ece3,ece19)",C2
"PROD(ece3,ece20)",C2
"PROD(ece3,ece21)",C2
"PROD(ece3,ece22)",C2
"PROD(ece3,ece25)",C2
"PROD(ece3,ece27)",C2
"PROD(ece3,ece28)",C2
"PROD(ece3,ece29)",C2
"PROD(ece3,ece30)",C2
"PROD(ece3,ece31)",C2
"PROD(ece3,ece33)",C2
"PROD(ece3,ece35)",C2
"PROD(ece3,ece36)",C2
"PROD(ece3,ece37)",C2
"PROD(ece3,ece38)",C2
"PROD(ece3,ece39)",C2
"PROD(ece3,cerqrott3)",C2
"PROD(ece3,cerqrott6)",C2
"PROD(ece3,cerqrott8)",C2
"PROD(ece3,cerqrott10)",C2
"PROD(ece3,cerqrott11)",C2
"PROD(ece3,cerqrott12)",C2
