canonical_run_id,realization_index,shot,n_samples,mse,rmse,mae,r2,residual_mean,residual_std,coefficient_fit_type
D3D-SIR-62-ALIGNED-V1,22,165955,1000,0.0011688616783587828,0.03418861913501016,0.01956433068642631,0.9988311383216412,-4.3837156127324307e-16,0.03418861913501016,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,23,165965,1000,0.001367858820829164,0.03698457544476026,0.023629598994585527,0.9986321411791709,-1.7399415241925454e-15,0.03698457544476026,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,24,170394,1000,0.01741734917020235,0.13197480505839873,0.08137016988115253,0.9825826508297977,2.353672812205332e-16,0.13197480505839873,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,25,170396,1000,0.011784689357860447,0.10855730909459965,0.0608760378846776,0.9882153106421395,9.485745522397338e-16,0.10855730909459965,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,26,170411,1000,0.006149521393385182,0.07841888416309672,0.04203372355769716,0.9938504786066148,-2.8773650129210184e-15,0.07841888416309672,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,27,186997,1000,0.003965988082494224,0.06297609135611883,0.0340304473197433,0.9960340119175057,-1.9479973190072996e-15,0.06297609135611881,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,28,187017,1000,0.002436806823223874,0.04936402357206991,0.03144552068716688,0.9975631931767761,4.512390461286486e-15,0.04936402357206991,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,29,187018,1000,0.00255089519297688,0.05050638764529572,0.030272819952343454,0.9974491048070231,-9.909850717804147e-16,0.050506387645295726,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,30,187019,1000,0.001808321670572261,0.04252436561046221,0.02680876086174217,0.9981916783294278,3.569922135682191e-15,0.04252436561046221,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,31,187020,1000,0.004465113801203317,0.066821507025832,0.034555249717300236,0.9955348861987967,6.539213615042172e-16,0.066821507025832,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,32,187021,1000,0.0030500414513860686,0.05522718036787745,0.030485164082033226,0.9969499585486139,2.2208901384601633e-15,0.055227180367877445,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,33,187022,1000,0.0018256271712675846,0.04272735858051121,0.02554850413016073,0.9981743728287324,4.6703196865394145e-15,0.0427273585805112,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,34,187024,1000,0.007235765405841953,0.0850633023450298,0.03613118949998534,0.9927642345941581,-3.5207392556912964e-15,0.0850633023450298,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,35,189646,1000,0.0006698042846533743,0.02588057736321534,0.016147673820817766,0.9993301957153466,-1.8753887331968144e-15,0.02588057736321534,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,36,189647,1000,0.0033661022871699017,0.058018120334684245,0.029270634343291756,0.9966338977128301,8.597567102697212e-16,0.058018120334684245,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,37,189649,1000,0.002806888151137808,0.052980073151495444,0.03148837580911855,0.9971931118488622,-6.608047442568932e-16,0.052980073151495444,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,38,189650,1000,0.0036926440511006894,0.06076712969279271,0.0330299958282161,0.9963073559488993,6.674660824046441e-16,0.060767129692792715,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,39,189651,1000,0.00260185406490554,0.05100837249810603,0.0274471781617268,0.9973981459350945,-1.4417356197782284e-15,0.05100837249810603,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,40,189652,1000,0.001962753172952513,0.044302970249775725,0.025962311263369155,0.9980372468270475,-1.766364832178624e-15,0.044302970249775725,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,41,195261,1000,0.00043349362993575397,0.0208205098385163,0.013554177484392985,0.9995665063700643,2.795097486796294e-15,0.0208205098385163,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,42,195264,1000,0.0016054536364377117,0.040068112464124284,0.023375148480891176,0.9983945463635623,-2.7447488726295433e-15,0.040068112464124284,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,43,195265,1000,0.0011951606158455994,0.03457109509179018,0.02012361240241048,0.9988048393841544,7.904787935331115e-16,0.03457109509179018,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,44,195266,1000,0.0009538742793387838,0.030884855177558852,0.018196861913057076,0.9990461257206612,-1.836530927334934e-15,0.030884855177558856,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,45,195267,1000,0.0010823715481941836,0.03289941562086147,0.019789208515935033,0.9989176284518058,-9.332534744999067e-16,0.03289941562086147,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,46,195268,1000,0.0013148834788713432,0.03626132207837082,0.020221796787072113,0.9986851165211287,2.3633317525195706e-15,0.03626132207837082,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,47,195269,1000,0.0018007837691144748,0.04243564267351768,0.025314191984453373,0.9981992162308855,8.019140906867506e-16,0.04243564267351768,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,48,195273,1000,0.0024362531085788904,0.049358414769711666,0.02571477415585378,0.9975637468914211,1.821875983409882e-16,0.049358414769711666,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,49,195274,1000,0.0010876237329075277,0.03297914087582525,0.019537775572684546,0.9989123762670925,-1.9172441412251826e-15,0.03297914087582525,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,50,195626,1000,0.004811974542875216,0.06936839729210426,0.03879823149588716,0.9951880254571248,-2.283728761653947e-15,0.06936839729210426,per_discharge_calibrated_1_8*
D3D-SIR-62-ALIGNED-V1,51,195638,1000,0.003618461860558785,0.060153652096599966,0.03258701476980373,0.9963815381394412,-1.2094769630266455e-15,0.06015365209659996,per_discharge_calibrated_1_8*
