primitive_id,signal_index,full_status,hard_status,semantic_group,redundancy_eligible_group,representative,witness_R_med,witness_R_10,witness_sign_consistency,witness_n_valid_cells,mathematical_type_block,broad_scientific_family,scientific_dimension_class,canonical_unit,origin_class,provenance_status,uncalibrated_flag,upstream_upsampled_flag,aliasing_flag,derivative_primary_eligible,product_ratio_operand_eligible
ece35,76,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece36,77,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece37,78,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece38,79,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece39,80,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece40,81,IN_P_FULL,REDUNDANCY_DEFERRED,X_ECE,True,ece39,0.994571228666767,0.9838725535745592,1.0,60,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
cerqrott3,82,IN_P_FULL,IN_P_HARD,X_CER_v,True,,,,,-1,X_CER_v,cer_rotation_ti,velocity,m/s,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,True,True,True
cerqrott6,83,IN_P_FULL,IN_P_HARD,X_CER_v,True,,,,,-1,X_CER_v,cer_rotation_ti,velocity,m/s,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,True,True,True
cerqrott8,84,IN_P_FULL,IN_P_HARD,X_CER_v,True,,,,,-1,X_CER_v,cer_rotation_ti,velocity,m/s,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,True,True,True
cerqrott10,85,IN_P_FULL,IN_P_HARD,X_CER_v,True,,,,,-1,X_CER_v,cer_rotation_ti,velocity,m/s,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,True,True,True
cerqrott11,86,IN_P_FULL,IN_P_HARD,X_CER_v,True,,,,,-1,X_CER_v,cer_rotation_ti,velocity,m/s,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,True,True,True
cerqrott12,87,IN_P_FULL,IN_P_HARD,X_CER_v,True,,,,,-1,X_CER_v,cer_rotation_ti,velocity,m/s,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,True,True,True
cerqrott13,88,IN_P_FULL,IN_P_HARD,X_CER_v,True,,,,,-1,X_CER_v,cer_rotation_ti,velocity,m/s,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,True,True,True
cerqtit3,89,IN_P_FULL,IN_P_HARD,X_CER_Ti,True,,,,,-1,X_CER_Ti,cer_rotation_ti,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,True,True,True
cerqtit6,90,IN_P_FULL,IN_P_HARD,X_CER_Ti,True,,,,,-1,X_CER_Ti,cer_rotation_ti,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,True,True,True
cerqtit8,91,IN_P_FULL,IN_P_HARD,X_CER_Ti,True,,,,,-1,X_CER_Ti,cer_rotation_ti,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,True,True,True
cerqtit10,92,IN_P_FULL,IN_P_HARD,X_CER_Ti,True,,,,,-1,X_CER_Ti,cer_rotation_ti,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,True,True,True
cerqtit11,93,IN_P_FULL,IN_P_HARD,X_CER_Ti,True,,,,,-1,X_CER_Ti,cer_rotation_ti,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,True,True,True
cerqtit12,94,IN_P_FULL,IN_P_HARD,X_CER_Ti,True,,,,,-1,X_CER_Ti,cer_rotation_ti,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,True,True,True
cerqtit13,95,IN_P_FULL,IN_P_HARD,X_CER_Ti,True,,,,,-1,X_CER_Ti,cer_rotation_ti,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,True,True,True
