regime,representation,learner,trajectory,rmse,nrmse,n
clean,C*_compact,STLSQ,conf_003,2.9668826343598255e-05,3.8006508328573187e-06,2247
clean,C*_compact,STLSQ,conf_004,3.36329505996098e-05,3.824431549385336e-06,2256
clean,C*_compact,STLSQ,conf_005,3.1244129417804884e-05,3.6812751215207924e-06,2188
clean,C*_compact,STLSQ,conf_006,3.4475048689110053e-05,3.8079086698149338e-06,2257
clean,C*_compact,STLSQ,conf_007,3.2687113103101274e-05,4.19506303609983e-06,2225
clean,C*_compact,STLSQ,conf_008,3.064759453262785e-05,3.6245199251502653e-06,2263
clean,C*_compact,STLSQ,conf_009,3.2641109847552225e-05,3.7296744120722964e-06,2241
clean,C*_compact,STLSQ,conf_010,3.2840847147810096e-05,3.982633755731145e-06,2262
clean,C*_compact,STLSQ,conf_011,3.357984029380064e-05,3.846744094469283e-06,2249
clean,C*_compact,STLSQ,conf_012,3.357072726477319e-05,3.663731442096433e-06,2243
clean,C*_compact,STLSQ,conf_013,3.291883764200364e-05,3.701726078501026e-06,2287
clean,C*_compact,STLSQ,conf_014,3.328114655477448e-05,4.097803722999354e-06,2247
clean,C*_compact,STLSQ,conf_015,3.8180574726302164e-05,4.082479792356001e-06,2221
clean,C*_compact,STLSQ,conf_016,3.1635715390125277e-05,3.7951767847413357e-06,2286
clean,C*_compact,STLSQ,conf_017,3.1979070920875767e-05,3.687360128962236e-06,2272
clean,C*_compact,STLSQ,conf_018,3.3900542288892696e-05,3.6679630393233283e-06,2285
clean,C*_compact,STLSQ,conf_019,3.311536558911064e-05,3.5507583894370386e-06,2249
clean,C*_compact,STLSQ,conf_020,3.3986603543302646e-05,3.9227282646862955e-06,2286
clean,C*_compact,STLSQ,conf_021,3.0357506675960595e-05,3.5640999781252444e-06,2290
clean,C*_compact,STLSQ,conf_022,2.9831703284519894e-05,3.447473485271127e-06,2303
clean,C*_compact,STLSQ,conf_023,3.507343440905525e-05,3.786864305228573e-06,2246
clean,C*_robust,STLSQ,conf_000,1.5285204928035807e-05,1.7331590096370169e-06,2067
