shot,signal,rel_scatter_ip_removed,abs_corr_with_ip_form
186997,pinj,,0.650175636531329
186997,density,,0.7074746569046049
187017,q95,0.030185412241376382,0.9835860551532912
187017,betan,0.4167161892106765,0.7333511747531003
187017,li,,0.8980732718379076
187017,kappa,,0.13003492457942215
187017,pcdiamag3,,0.27894327926578855
187017,pinj,,0.9137358023075058
187017,density,,0.6756285902911363
187018,q95,0.032376961406405294,0.9857935833062237
187018,betan,0.392144002178359,0.7549755036533111
187018,li,,0.7945264300410485
187018,kappa,,0.04545022869060055
187018,pcdiamag3,,0.3655148082515819
187018,pinj,,0.9012725628856175
187018,density,,0.6607629020597194
187019,q95,0.03456045654569821,0.9864723211835027
187019,betan,0.42780510918208503,0.7367752472019644
187019,li,,0.6062139157073405
187019,kappa,,0.03586601396553143
187019,pcdiamag3,,0.3731520351355313
187019,pinj,,0.8843949503795144
187019,density,,0.7746135313154915
187020,q95,0.03394218764487873,0.9613386916755383
187020,betan,0.39429486138366837,0.6414277344929736
187020,li,,0.652726463963246
187020,kappa,,0.2357548527638206
187020,pcdiamag3,,0.35305800695123174
187020,pinj,,0.746151472625219
187020,density,,0.6360922266698867
187021,q95,0.03293413924700004,0.973574977959834
187021,betan,0.3768457802487518,0.6423606073560811
187021,li,,0.768028581162132
187021,kappa,,0.2512549179484512
187021,pcdiamag3,,0.0555662852675143
187021,pinj,,0.7560555199443441
187021,density,,0.6410819951171792
187022,q95,0.03837209369652823,0.9674498289625132
187022,betan,0.4321862039101883,0.6315232479021857
187022,li,,0.5013132927414866
187022,kappa,,0.1317647122670714
187022,pcdiamag3,,0.4680436655788928
187022,pinj,,0.7419116331273229
187022,density,,0.6623176253204565
187024,q95,0.0421780155200862,0.8271214028180472
187024,betan,0.34122987282622197,0.5845098528489132
187024,li,,0.4693109173275491
187024,kappa,,0.6173706582604827
187024,pcdiamag3,,0.4598580512855529
187024,pinj,,0.5930461783090548
187024,density,,0.6840451369292438
189646,q95,0.08597734366636231,0.7156155270009823
189646,betan,0.5693965786136738,0.48010290702108865
189646,li,,0.5852946573370633
189646,kappa,,0.04600796775378179
189646,pcdiamag3,,0.0008166514273414368
189646,pinj,,0.5367242173432081
189646,density,,0.5956544245368467
189647,q95,0.051095998719629214,0.9740867502380209
189647,betan,0.5826646719406012,0.551514588466792
189647,li,,0.6306036907608676
189647,kappa,,0.1177598420591739
189647,pcdiamag3,,0.012007291940706755
189647,pinj,,0.6245293637920816
189647,density,,0.6905832300735777
189649,q95,0.06810883453926951,0.88120479472707
189649,betan,0.5591202776824178,0.5610821395774063
189649,li,,0.7325572478670421
189649,kappa,,0.04425541086870012
189649,pcdiamag3,,0.02623247666543087
189649,pinj,,0.6442095741018092
189649,density,,0.698017553258883
189650,q95,0.07868975872880662,0.889157085400588
189650,betan,0.6156610168826449,0.5958858380878931
189650,li,,0.635553248177531
189650,kappa,,0.18417510267641912
189650,pcdiamag3,,0.07187021474394409
189650,pinj,,0.7005579409913474
189650,density,,0.7689343254193859
189651,q95,0.05527878696671324,0.9790521901379774
189651,betan,0.5984400555315346,0.5972739040094934
189651,li,,0.5748578579944423
189651,kappa,,0.2775167112395985
189651,pcdiamag3,,0.18408334796460202
189651,pinj,,0.7241488306068332
189651,density,,0.7609012664352252
189652,q95,0.05682920889126959,0.9821489225470648
189652,betan,0.6380238521849072,0.5957319256188314
189652,li,,0.4799314383387313
189652,kappa,,0.23391429451797957
189652,pcdiamag3,,0.0886052146770283
189652,pinj,,0.6639314754238971
189652,density,,0.7672849772882742
195261,q95,0.06909720277571517,0.689493619832097
195261,betan,0.4342566655705087,0.5526477902340933
195261,li,,0.5159197758392347
195261,kappa,,0.48921941333161767
195261,pcdiamag3,,0.4369185725743168
195261,pinj,,0.4709845066900647
195261,density,,0.6248834326569845
195264,q95,0.08077508632954297,0.5482151024614805
195264,betan,0.45199701353474214,0.5251870345120628
195264,li,,0.3312570040202785
195264,kappa,,0.20405187885238885
195264,pcdiamag3,,0.4001576181166902
195264,pinj,,0.45440960580418294
195264,density,,0.5444516277481095
195265,q95,0.07923569189911726,0.6266442254458086
195265,betan,0.4514834359510876,0.528223755907083
195265,li,,0.4494977169926021
195265,kappa,,0.421415727879985
195265,pcdiamag3,,0.4124213357165357
195265,pinj,,0.4522587553856348
195265,density,,0.5440096780116891
