realization_index,shot,retained_rank,n_directions_removed,relative_coefficient_change,max_abs_coefficient_change,relative_prediction_change,prediction_correlation,rmse,rmse_canonical,absolute_rmse_change,relative_rmse_change,r2,r2_change,n_sign_changes,reconstruction_label,sensitivity_class
21,165861,4,3,0.5310872896962128,0.4723083210917097,0.08126962332652803,0.9966921532370782,0.08841941038530901,0.034947201403708425,0.053472208981600586,1.5300855815002357,0.9921820078671143,-0.006596685246934353,0,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
22,165955,7,0,4.663933865267212e-15,3.219646771412954e-15,5.147469590576823e-15,0.9999999999999997,0.03418861913501015,0.03418861913501016,6.938893903907228e-18,2.0295917411889246e-16,0.9988311383216412,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
22,165955,6,1,0.15717380057864283,0.09698541698317042,0.010079487771435214,0.9999492006728464,0.035641815334464026,0.03418861913501016,0.001453196199453867,0.042505261581790785,0.998729660999664,-0.00010147732197718362,0,STABLE_RECONSTRUCTION,LARGE_COEFFICIENT_MOVEMENT_STABLE_RECONSTRUCTION
22,165955,5,2,0.47499723795171717,0.38782085634512214,0.054109542040576594,0.9985350056258225,0.06397876190779735,0.03418861913501016,0.029790142772787187,0.87134676762304,0.9959067180247454,-0.002924420296895769,1,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
22,165955,4,3,0.5273505535918801,0.35274728548070317,0.11914858966988988,0.9928764341949485,0.12388968676457554,0.03418861913501016,0.08970106762956538,2.6237113372533436,0.9846513455133754,-0.014179792808265756,1,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
23,165965,7,0,2.765498953171741e-15,1.847889449733707e-15,2.257147637686916e-15,1.0,0.036984575444760255,0.03698457544476026,6.938893903907228e-18,1.8761588636513872e-16,0.9986321411791709,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
23,165965,6,1,0.050822866143895286,0.03288097353307812,0.0028084789095454625,0.9999960562153308,0.03709090974288046,0.03698457544476026,0.00010633429812019479,0.002875098519895452,0.9986242644144455,-7.876764725356367e-06,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
23,165965,5,2,0.49819349022878545,0.3758424251654152,0.05647672836205033,0.9984039158344286,0.06747678649950682,0.03698457544476026,0.03049221105474656,0.82445751203197,0.9954468832837,-0.003185257895470861,1,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
23,165965,4,3,0.5871752090221396,0.43457198874797215,0.16306205058598588,0.9866158156337735,0.167094945603207,0.03698457544476026,0.13011037015844673,3.5179630587560635,0.9720792791538613,-0.026552862025309598,1,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
24,170394,7,0,1.7803868771880378e-15,3.608224830031759e-15,1.9886712276788882e-15,1.0,0.13197480505839881,0.13197480505839873,8.326672684688674e-17,6.309289626155588e-16,0.9825826508297977,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
