feature,display_name,left_out_realization_index,left_out_shot,tau2_REML,tau2_interval_low
r[q95]/r[kappa],q95 / kappa,28,187017,2.392744418010943e-05,0.0
r[q95]/r[kappa],q95 / kappa,29,187018,2.3947805944943727e-05,0.0
r[q95]/r[kappa],q95 / kappa,30,187019,2.4036618614600312e-05,0.0
r[q95]/r[kappa],q95 / kappa,31,187020,2.169230077553673e-05,0.0
r[q95]/r[kappa],q95 / kappa,32,187021,2.3676224513862767e-05,0.0
r[q95]/r[kappa],q95 / kappa,33,187022,2.4016583222372413e-05,0.0
r[q95]/r[kappa],q95 / kappa,34,187024,2.259886366689419e-05,0.0
r[q95]/r[kappa],q95 / kappa,35,189646,2.5670809345369088e-05,0.0
r[q95]/r[kappa],q95 / kappa,36,189647,2.1949975902763832e-05,0.0
r[q95]/r[kappa],q95 / kappa,37,189649,2.3945554482374886e-05,0.0
r[q95]/r[kappa],q95 / kappa,38,189650,2.3736969528720922e-05,0.0
r[q95]/r[kappa],q95 / kappa,39,189651,2.3745971523873706e-05,0.0
r[q95]/r[kappa],q95 / kappa,40,189652,2.5675539366074096e-05,0.0
r[q95]/r[kappa],q95 / kappa,41,195261,2.7438850197381807e-05,0.0
r[q95]/r[kappa],q95 / kappa,42,195264,2.565560025625628e-05,0.0
r[q95]/r[kappa],q95 / kappa,43,195265,1.6863735763812497e-05,0.0
r[q95]/r[kappa],q95 / kappa,44,195266,2.5641898269665787e-05,0.0
r[q95]/r[kappa],q95 / kappa,45,195267,2.3936879967050164e-05,0.0
r[q95]/r[kappa],q95 / kappa,46,195268,2.0323534738408262e-05,0.0
r[q95]/r[kappa],q95 / kappa,47,195269,2.4014120682499063e-05,0.0
r[q95]/r[kappa],q95 / kappa,48,195273,2.4021631285363e-05,0.0
r[q95]/r[kappa],q95 / kappa,49,195274,2.2020965200038356e-05,0.0
r[q95]/r[kappa],q95 / kappa,50,195626,2.3878381751830055e-05,0.0
r[q95]/r[kappa],q95 / kappa,51,195638,2.401166474427783e-05,0.0
r[q95]/r[kappa],q95 / kappa,52,195642,2.401365146718687e-05,0.0
r[q95]/r[kappa],q95 / kappa,53,195645,2.4016853326305943e-05,0.0
r[q95]/r[kappa],q95 / kappa,54,195647,2.3993346458914464e-05,0.0
r[q95]/r[kappa],q95 / kappa,55,195648,2.3960459785101872e-05,0.0
r[q95]/r[kappa],q95 / kappa,56,195649,2.403147466306774e-05,0.0
r[q95]/r[kappa],q95 / kappa,57,195650,2.4004168406354257e-05,0.0
r[q95]/r[kappa],q95 / kappa,58,195651,2.3704902634317302e-05,0.0
r[q95]/r[kappa],q95 / kappa,59,195652,2.3718182699506378e-05,0.0
r[q95]/r[kappa],q95 / kappa,60,195655,2.3968393539840152e-05,0.0
r[q95]/r[kappa],q95 / kappa,61,195659,2.4037072716948474e-05,0.0
d[pcdiamag3]/d[betan],D_betaN W_dia,0,155537,0.07044758204094147,0.03745765807684465
d[pcdiamag3]/d[betan],D_betaN W_dia,1,159310,0.06829607556228404,0.03633449705994955
d[pcdiamag3]/d[betan],D_betaN W_dia,2,160715,0.07072046774298738,0.037600068187476285
d[pcdiamag3]/d[betan],D_betaN W_dia,3,160717,0.07024464171960348,0.03451620891798314
d[pcdiamag3]/d[betan],D_betaN W_dia,4,160719,0.07072196229530504,0.037600848117393046
d[pcdiamag3]/d[betan],D_betaN W_dia,5,160720,0.07027326356441595,0.037366681640609564
d[pcdiamag3]/d[betan],D_betaN W_dia,6,160721,0.07068203563710415,0.03758001234524184
d[pcdiamag3]/d[betan],D_betaN W_dia,7,161136,0.06983672886419857,0.03713883680552694
d[pcdiamag3]/d[betan],D_betaN W_dia,8,161138,0.06964522467260251,0.03703887485128269
d[pcdiamag3]/d[betan],D_betaN W_dia,9,161145,0.06976850939571269,0.03710322797637505
d[pcdiamag3]/d[betan],D_betaN W_dia,10,161414,0.06875262677972184,0.03657288659327116
d[pcdiamag3]/d[betan],D_betaN W_dia,11,165017,0.06987890583725803,0.03716085179225506
d[pcdiamag3]/d[betan],D_betaN W_dia,12,165022,0.06727779037758584,0.035802690142989015
d[pcdiamag3]/d[betan],D_betaN W_dia,13,165026,0.06867209706481393,0.03653083990064541
d[pcdiamag3]/d[betan],D_betaN W_dia,14,165027,0.07043953812028378,0.0374534600636476
d[pcdiamag3]/d[betan],D_betaN W_dia,15,165028,0.06986220973021547,0.03715213700525667
d[pcdiamag3]/d[betan],D_betaN W_dia,16,165029,0.06941931973563067,0.03692094975890555
d[pcdiamag3]/d[betan],D_betaN W_dia,17,165031,0.06851162382137253,0.0364470498612963
d[pcdiamag3]/d[betan],D_betaN W_dia,18,165042,0.069144593576337,0.03677752984497017
d[pcdiamag3]/d[betan],D_betaN W_dia,19,165043,0.06871475345013399,0.03655311204027075
d[pcdiamag3]/d[betan],D_betaN W_dia,20,165860,0.07046959038019084,0.03746914388562854
d[pcdiamag3]/d[betan],D_betaN W_dia,21,165861,0.06993776009978413,0.037191571362927604
d[pcdiamag3]/d[betan],D_betaN W_dia,22,165955,0.06967577452315749,0.04009815243475113
d[pcdiamag3]/d[betan],D_betaN W_dia,23,165965,0.0699735398223794,0.04026673915591334
d[pcdiamag3]/d[betan],D_betaN W_dia,24,170394,0.06944755765956682,0.03693569068187696
d[pcdiamag3]/d[betan],D_betaN W_dia,25,170396,0.06912264777775151,0.033976262281315596
d[pcdiamag3]/d[betan],D_betaN W_dia,26,170411,0.06829461153026889,0.03633373256416018
d[pcdiamag3]/d[betan],D_betaN W_dia,27,186997,0.06856683536460825,0.03647587861101385
d[pcdiamag3]/d[betan],D_betaN W_dia,28,187017,0.07044362044084308,0.037455590572539325
d[pcdiamag3]/d[betan],D_betaN W_dia,29,187018,0.07034332947557259,0.03740324938880809
d[pcdiamag3]/d[betan],D_betaN W_dia,30,187019,0.06997595747052571,0.03721150860682535
d[pcdiamag3]/d[betan],D_betaN W_dia,31,187020,0.07053588947404228,0.03750374394756402
d[pcdiamag3]/d[betan],D_betaN W_dia,32,187021,0.07069107457985677,0.037584729346871015
d[pcdiamag3]/d[betan],D_betaN W_dia,33,187022,0.06994967178252116,0.03719778872668087
d[pcdiamag3]/d[betan],D_betaN W_dia,34,187024,0.07068986001542045,0.037584095523123764
d[pcdiamag3]/d[betan],D_betaN W_dia,35,189646,0.07067576424527658,0.03472363383168612
d[pcdiamag3]/d[betan],D_betaN W_dia,36,189647,0.06871725084681614,0.03655441599580909
d[pcdiamag3]/d[betan],D_betaN W_dia,37,189649,0.07064668763956151,0.034709645105185205
d[pcdiamag3]/d[betan],D_betaN W_dia,38,189650,0.06998278165313587,0.037215070490318705
d[pcdiamag3]/d[betan],D_betaN W_dia,39,189651,0.07057081920090476,0.037521972774197276
d[pcdiamag3]/d[betan],D_betaN W_dia,40,189652,0.07050018248121262,0.03463915979557089
d[pcdiamag3]/d[betan],D_betaN W_dia,41,195261,0.06771158351283674,0.03329694484381844
d[pcdiamag3]/d[betan],D_betaN W_dia,42,195264,0.06845368494408613,0.0364167965704373
d[pcdiamag3]/d[betan],D_betaN W_dia,43,195265,0.06891132900429288,0.03665574655686795
d[pcdiamag3]/d[betan],D_betaN W_dia,44,195266,0.06947392950866732,0.03694945736575757
d[pcdiamag3]/d[betan],D_betaN W_dia,45,195267,0.06997695275555307,0.03721202809644633
d[pcdiamag3]/d[betan],D_betaN W_dia,46,195268,0.06936278765921582,0.036891438227263804
d[pcdiamag3]/d[betan],D_betaN W_dia,47,195269,0.07006091360079844,0.037255851019025316
d[pcdiamag3]/d[betan],D_betaN W_dia,48,195273,0.069847774352161,0.03714460220911955
d[pcdiamag3]/d[betan],D_betaN W_dia,49,195274,0.06937863526853302,0.03689971122529836
d[pcdiamag3]/d[betan],D_betaN W_dia,50,195626,0.06306207723899837,0.031005573335766357
d[pcdiamag3]/d[betan],D_betaN W_dia,51,195638,0.07042389348184062,0.037445295313461156
d[pcdiamag3]/d[betan],D_betaN W_dia,52,195642,0.06947383617339292,0.036949408642866645
d[pcdiamag3]/d[betan],D_betaN W_dia,53,195645,0.06994510512582844,0.037195405139166
d[pcdiamag3]/d[betan],D_betaN W_dia,54,195647,0.06977827303580919,0.03710832438785108
d[pcdiamag3]/d[betan],D_betaN W_dia,55,195648,0.07005840873789487,0.037254543633025126
d[pcdiamag3]/d[betan],D_betaN W_dia,56,195649,0.07047897327219348,0.03747404065037974
d[pcdiamag3]/d[betan],D_betaN W_dia,57,195650,0.0705342475453098,0.037502887067758964
d[pcdiamag3]/d[betan],D_betaN W_dia,58,195651,0.0643729139515319,0.03423481022750449
d[pcdiamag3]/d[betan],D_betaN W_dia,59,195652,0.06987920873718553,0.03434036833652609
d[pcdiamag3]/d[betan],D_betaN W_dia,60,195655,0.0700955264321891,0.03444445929796404
d[pcdiamag3]/d[betan],D_betaN W_dia,61,195659,0.07033146608066512,0.03739705787122948
d[kappa]/d[betan],D_betaN kappa,0,155537,0.26764912180872646,0.16452401699004102
d[kappa]/d[betan],D_betaN kappa,1,159310,0.2602897716691729,0.16006134324362897
d[kappa]/d[betan],D_betaN kappa,2,160715,0.2707012961795382,0.1663743447590279
d[kappa]/d[betan],D_betaN kappa,3,160717,0.26850846954464974,0.16504501074176653
d[kappa]/d[betan],D_betaN kappa,4,160719,0.2697093055188523,0.1657729991329241
d[kappa]/d[betan],D_betaN kappa,5,160720,0.268987061321322,0.16533515500010176
d[kappa]/d[betan],D_betaN kappa,6,160721,0.2705191777607953,0.1662639466761642
d[kappa]/d[betan],D_betaN kappa,7,161136,0.26436632314812386,0.16253355448537146
d[kappa]/d[betan],D_betaN kappa,8,161138,0.2659985814975152,0.16352328533943303
d[kappa]/d[betan],D_betaN kappa,9,161145,0.2604328953254127,0.17366710957289422
d[kappa]/d[betan],D_betaN kappa,10,161414,0.26487589213468093,0.17659577306897306
d[kappa]/d[betan],D_betaN kappa,11,165017,0.26668128992067236,0.17778566551011324
d[kappa]/d[betan],D_betaN kappa,12,165022,0.2633725087488955,0.17560486012769774
d[kappa]/d[betan],D_betaN kappa,13,165026,0.26359183019114935,0.17574942371153793
d[kappa]/d[betan],D_betaN kappa,14,165027,0.26766527633319803,0.17843414754162726
d[kappa]/d[betan],D_betaN kappa,15,165028,0.2668159497626052,0.17787441274476234
d[kappa]/d[betan],D_betaN kappa,16,165029,0.2657107000209964,0.17714598549766583
d[kappa]/d[betan],D_betaN kappa,17,165031,0.2628720401308037,0.17527497598462535
d[kappa]/d[betan],D_betaN kappa,18,165042,0.2637032349234199,0.17582285452540158
