primitive_id,signal_index,mathematical_type_block,broad_scientific_family,scientific_dimension_class,canonical_unit,dimension_expression,origin_class,provenance_status,archived_dt_ms,source_supported_dt_min_ms,source_supported_dt_max_ms,upstream_upsampled_flag,aliasing_flag,uncalibrated_flag,level_primary_admissible,derivative_primary_eligible,derivative_sensitivity_only,product_ratio_operand_eligible,phase_operand_eligible,exclusion_reason_for_derived
cerqrott6,83,X_CER_v,cer_rotation_ti,velocity,m/s,m s^-1,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,10.0,4.994179278230501,9.98003992015968,False,True,False,True,True,False,True,True,
cerqrott8,84,X_CER_v,cer_rotation_ti,velocity,m/s,m s^-1,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,10.0,4.990366088631984,9.973614775725594,False,True,False,True,True,False,True,True,
cerqrott10,85,X_CER_v,cer_rotation_ti,velocity,m/s,m s^-1,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,10.0,4.990366088631984,9.973614775725594,False,True,False,True,True,False,True,True,
cerqrott11,86,X_CER_v,cer_rotation_ti,velocity,m/s,m s^-1,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,10.0,4.990366088631984,9.973614775725594,False,True,False,True,True,False,True,True,
cerqrott12,87,X_CER_v,cer_rotation_ti,velocity,m/s,m s^-1,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,10.0,4.990366088631984,9.973614775725594,False,True,False,True,True,False,True,True,
cerqrott13,88,X_CER_v,cer_rotation_ti,velocity,m/s,m s^-1,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,10.0,4.990366088631984,9.973614775725594,False,True,False,True,True,False,True,True,
cerqtit3,89,X_CER_Ti,cer_rotation_ti,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,10.0,4.994179278230501,10.0,False,True,False,True,True,False,True,True,
cerqtit6,90,X_CER_Ti,cer_rotation_ti,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,10.0,4.994179278230501,9.98003992015968,False,True,False,True,True,False,True,True,
cerqtit8,91,X_CER_Ti,cer_rotation_ti,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,10.0,4.990366088631984,9.973614775725594,False,True,False,True,True,False,True,True,
cerqtit10,92,X_CER_Ti,cer_rotation_ti,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,10.0,4.990366088631984,9.973614775725594,False,True,False,True,True,False,True,True,
cerqtit11,93,X_CER_Ti,cer_rotation_ti,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,10.0,4.990366088631984,9.973614775725594,False,True,False,True,True,False,True,True,
cerqtit12,94,X_CER_Ti,cer_rotation_ti,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,10.0,4.990366088631984,9.973614775725594,False,True,False,True,True,False,True,True,
cerqtit13,95,X_CER_Ti,cer_rotation_ti,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,10.0,4.990366088631984,9.973614775725594,False,True,False,True,True,False,True,True,
