canonical_or_augmentation,noise_sigma,noise_percent,noise_replicate,dev_noise_seed,conf_noise_seed,representation_id,representation_label,n_coordinates,n_features,n_active_terms,stlsq_threshold,estimator,cohort,trajectory_id,support_scope,rmse,nrmse,n_samples
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_003,common,1.293621779974234e-05,1.6151123455003061e-06,2072
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_004,native,1.2349759953694517e-05,1.3730388452068086e-06,2092
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_004,common,1.2349759953694517e-05,1.3730388452068086e-06,2092
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_005,native,1.2139536824990871e-05,1.397144581727135e-06,2027
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_005,common,1.2139536824990871e-05,1.397144581727135e-06,2027
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_006,native,1.3171964014666498e-05,1.4241822724679242e-06,2090
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_006,common,1.3171964014666498e-05,1.4241822724679242e-06,2090
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_007,native,1.706087999847389e-05,2.131674967169532e-06,2047
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_007,common,1.706087999847389e-05,2.131674967169532e-06,2047
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_008,native,1.1965148531875635e-05,1.3843433794885192e-06,2111
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_008,common,1.1965148531875635e-05,1.3843433794885192e-06,2111
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_009,native,1.2797992907728567e-05,1.4338318391414436e-06,2099
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_009,common,1.2797992907728567e-05,1.4338318391414436e-06,2099
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_010,native,1.8071590298565718e-05,2.139108106796798e-06,2085
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_010,common,1.8071590298565718e-05,2.139108106796798e-06,2085
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_011,native,1.2299143249985864e-05,1.3787664575703147e-06,2096
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_011,common,1.2299143249985864e-05,1.3787664575703147e-06,2096
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_012,native,1.1624028811768222e-05,1.2475274247483209e-06,2115
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_012,common,1.1624028811768222e-05,1.2475274247483209e-06,2115
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_013,native,1.1927440333824615e-05,1.3140853091501849e-06,2123
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_013,common,1.1927440333824615e-05,1.3140853091501849e-06,2123
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_014,native,2.084607534649262e-05,2.5003832980232735e-06,2074
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_014,common,2.084607534649262e-05,2.5003832980232735e-06,2074
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_015,native,1.7642163245603848e-05,1.8517520401028646e-06,2077
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_015,common,1.7642163245603848e-05,1.8517520401028646e-06,2077
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_016,native,1.3327324195419921e-05,1.5633833761819823e-06,2117
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_016,common,1.3327324195419921e-05,1.5633833761819823e-06,2117
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_017,native,1.2664291723013348e-05,1.426954369653762e-06,2100
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_017,common,1.2664291723013348e-05,1.426954369653762e-06,2100
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_018,native,1.1561389701255246e-05,1.2290379274641491e-06,2133
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_018,common,1.1561389701255246e-05,1.2290379274641491e-06,2133
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_019,native,1.1806603234636002e-05,1.2434745141181949e-06,2110
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_019,common,1.1806603234636002e-05,1.2434745141181949e-06,2110
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_020,native,1.3526020819901625e-05,1.525447361966469e-06,2118
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_020,common,1.3526020819901625e-05,1.525447361966469e-06,2118
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_021,native,1.1674875498638991e-05,1.3384763765860139e-06,2120
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_021,common,1.1674875498638991e-05,1.3384763765860139e-06,2120
augmentation,0.0,0.0,0,5000,5500,C_all,C_all (38 coordinates),38,38,32,0.0001,pysindy.STLSQ,confirmation_24,conf_022,native,1.0814026132333392e-05,1.2228391676019394e-06,2129
