target,signal_index,target_family,sibling_subfamily,sibling_set,n_siblings_excluded_primary,n_total_O_signals,n_target_removed,n_alias_removed,n_definitional_descendants_removed,n_verified_ancestry_removed,n_unresolved_ancestry_removed,n_siblings_removed,n_primary_surviving_predictors,n_provenance_certified_primary_predictors,n_distinct_scientific_families_surviving,surviving_families,n_predictors_full_boundary,coarsest_admitted_native_dt_ms,primary_grid_dt_ms,binding_signal_family
ece40,81,ece_te_profile,ece_electron_temperature,ece1|ece2|ece3|ece4|ece5|ece6|ece7|ece8|ece9|ece10|ece11|ece12|ece13|ece14|ece15|ece16|ece17|ece18|ece19|ece20|ece21|ece22|ece23|ece24|ece25|ece26|ece27|ece28|ece29|ece30|ece31|ece32|ece33|ece34|ece35|ece36|ece37|ece38|ece39,39,95,1,0,0,0,15,39,40,40,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
cerqrott3,82,cer_rotation_ti,cer_toroidal_rotation,cerqrott6|cerqrott8|cerqrott10|cerqrott11|cerqrott12|cerqrott13,6,95,1,0,0,0,15,6,73,73,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
cerqrott6,83,cer_rotation_ti,cer_toroidal_rotation,cerqrott3|cerqrott8|cerqrott10|cerqrott11|cerqrott12|cerqrott13,6,95,1,0,0,0,15,6,73,73,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
cerqrott8,84,cer_rotation_ti,cer_toroidal_rotation,cerqrott3|cerqrott6|cerqrott10|cerqrott11|cerqrott12|cerqrott13,6,95,1,0,0,0,15,6,73,73,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
cerqrott10,85,cer_rotation_ti,cer_toroidal_rotation,cerqrott3|cerqrott6|cerqrott8|cerqrott11|cerqrott12|cerqrott13,6,95,1,0,0,0,15,6,73,73,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
cerqrott11,86,cer_rotation_ti,cer_toroidal_rotation,cerqrott3|cerqrott6|cerqrott8|cerqrott10|cerqrott12|cerqrott13,6,95,1,0,0,0,15,6,73,73,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
cerqrott12,87,cer_rotation_ti,cer_toroidal_rotation,cerqrott3|cerqrott6|cerqrott8|cerqrott10|cerqrott11|cerqrott13,6,95,1,0,0,0,15,6,73,73,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
cerqrott13,88,cer_rotation_ti,cer_toroidal_rotation,cerqrott3|cerqrott6|cerqrott8|cerqrott10|cerqrott11|cerqrott12,6,95,1,0,0,0,15,6,73,73,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
cerqtit3,89,cer_rotation_ti,cer_ion_temperature,cerqtit6|cerqtit8|cerqtit10|cerqtit11|cerqtit12|cerqtit13,6,95,1,0,0,0,15,6,73,73,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
cerqtit6,90,cer_rotation_ti,cer_ion_temperature,cerqtit3|cerqtit8|cerqtit10|cerqtit11|cerqtit12|cerqtit13,6,95,1,0,0,0,15,6,73,73,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
cerqtit8,91,cer_rotation_ti,cer_ion_temperature,cerqtit3|cerqtit6|cerqtit10|cerqtit11|cerqtit12|cerqtit13,6,95,1,0,0,0,15,6,73,73,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,79,20.0,20.0,magnetics
