target,shot_id,rrv,n_grid_samples,grid_dt_ms
fs04da,170396,0.24970757305378302,230,20.0
fs04da,187017,0.6434528419523771,250,20.0
fs04da,187020,0.4880399716691297,257,20.0
fs04da,187024,0.48371947027462053,257,20.0
fs04da,189647,0.30629777707489714,218,20.0
fs04da,189651,0.19824912654972787,218,20.0
fs04da,195264,0.4372740482161531,264,20.0
fs04da,195267,0.42440836311493296,268,20.0
fs04da,195273,0.3408655158072579,268,20.0
fs04da,195638,0.3919435727864807,238,20.0
fs04da,195647,0.41504618363322393,238,20.0
fs04da,195650,0.3336895973444663,238,20.0
fs04da,195655,0.18335267820805048,239,20.0
fs05da,160715,0.5194479987643401,215,20.0
fs05da,160720,0.4509435107010714,215,20.0
fs05da,161138,0.33041454420718125,188,20.0
fs05da,165022,0.24893293235783012,214,20.0
fs05da,165028,0.37767171041898356,215,20.0
fs05da,165042,0.4580839254812244,214,20.0
fs05da,165861,0.7022042183262783,215,20.0
fs05da,170396,0.32850343603165255,230,20.0
fs05da,187017,0.640135604238402,250,20.0
fs05da,187020,0.5163907793904929,257,20.0
fs05da,187024,0.5152042183085315,257,20.0
fs05da,189647,0.469837192015802,218,20.0
fs05da,189651,0.2712520477987442,218,20.0
fs05da,195264,0.5220045584008706,264,20.0
fs05da,195267,0.40132969711825867,268,20.0
fs05da,195273,0.3650824310698686,268,20.0
fs05da,195638,0.5913011436839483,238,20.0
fs05da,195647,0.39585033743574705,238,20.0
fs05da,195650,0.5499450281373459,238,20.0
fs05da,195655,0.7721974295023035,239,20.0
ece1,160715,0.1732111357459069,215,20.0
ece1,160720,0.5997789133181135,215,20.0
ece1,161138,0.156198185448651,188,20.0
ece1,165022,0.12823061033568572,214,20.0
ece1,165028,0.30804036467185575,215,20.0
ece1,165042,0.1129961705072319,214,20.0
ece1,165861,0.12888633208935563,215,20.0
ece1,170396,0.27008245934502323,230,20.0
ece1,187017,0.4281782707198219,250,20.0
ece1,187020,0.3372621548708883,257,20.0
ece1,187024,0.267643982628775,257,20.0
ece1,189647,0.21802822113295173,218,20.0
ece1,189651,0.4142065744329127,218,20.0
ece1,195264,0.24362001788741852,264,20.0
ece1,195267,0.5550954461890766,268,20.0
ece1,195273,0.5395018573935367,268,20.0
ece1,195638,0.23837461000576718,238,20.0
ece1,195647,0.18943711730675958,238,20.0
ece1,195650,0.08674496209436243,238,20.0
ece1,195655,0.14334087993511255,239,20.0
ece2,160715,0.18392323657180235,215,20.0
ece2,160720,0.8548222112862051,215,20.0
ece2,161138,0.13382720883452348,188,20.0
ece2,165022,0.14239159137511143,214,20.0
ece2,165028,0.4074727081354304,215,20.0
ece2,165042,0.12317319903638077,214,20.0
ece2,165861,0.1627625821419849,215,20.0
ece2,170396,0.2864930945517094,230,20.0
ece2,187017,0.6451771296231,250,20.0
ece2,187020,0.5932955696268082,257,20.0
ece2,187024,0.5033501875419201,257,20.0
ece2,189647,0.2607800298620707,218,20.0
ece2,189651,0.4696696680577642,218,20.0
ece2,195264,0.21258191494925105,264,20.0
ece2,195267,0.5455746953764149,268,20.0
ece2,195273,0.5297711462435112,268,20.0
ece2,195638,0.14057334404303434,238,20.0
ece2,195647,0.13666900368823065,238,20.0
ece2,195650,0.19783734847788786,238,20.0
ece2,195655,0.08703082824749303,239,20.0
ece3,160715,0.16679608318920755,215,20.0
ece3,160720,0.8903433744019278,215,20.0
ece3,161138,0.1323007050906678,188,20.0
ece3,165022,0.15098304662429674,214,20.0
ece3,165028,0.6012627291329614,215,20.0
ece3,165042,0.12335649978900592,214,20.0
ece3,165861,0.18124616755229572,215,20.0
ece3,170396,0.2693866140244152,230,20.0
ece3,187017,0.7202354910984321,250,20.0
ece3,187020,0.3438364980965116,257,20.0
ece3,187024,0.22076083624890666,257,20.0
ece3,189647,0.2250995007970249,218,20.0
ece3,189651,0.47333470480885814,218,20.0
ece3,195264,0.24501026027053893,264,20.0
ece3,195267,0.5811291610143045,268,20.0
ece3,195273,0.5766160591001745,268,20.0
ece3,195638,0.16829353780954057,238,20.0
ece3,195647,0.11000136164018828,238,20.0
ece3,195650,0.23829080187566687,238,20.0
ece3,195655,0.0888144731879018,239,20.0
ece4,160715,0.1501500413512566,215,20.0
ece4,160720,0.8695401988045429,215,20.0
ece4,161138,0.15819769147443996,188,20.0
ece4,165022,0.15239007282567502,214,20.0
ece4,165028,0.5413214954258048,215,20.0
ece4,165042,0.1254188330600978,214,20.0
ece4,165861,0.13483797380660378,215,20.0
ece4,170396,0.294406095519655,230,20.0
ece4,187017,0.33721273684550024,250,20.0
ece4,187020,0.2740471185635301,257,20.0
ece4,187024,0.2083860061459897,257,20.0
ece4,189647,0.21591856083830452,218,20.0
ece4,189651,0.4528703185930346,218,20.0
ece4,195264,0.3220589884995414,264,20.0
ece4,195267,0.7204967431284295,268,20.0
ece4,195273,0.5967698382451649,268,20.0
ece4,195638,0.17063164143685688,238,20.0
ece4,195647,0.11571181852533989,238,20.0
ece4,195650,0.31416368695941954,238,20.0
ece4,195655,0.10302482046755335,239,20.0
ece5,160715,0.14379493469045848,215,20.0
ece5,160720,0.9426661005373052,215,20.0
ece5,161138,0.19183037590111265,188,20.0
ece5,165022,0.1388244359052446,214,20.0
ece5,165028,0.5025371493447688,215,20.0
ece5,165042,0.12996095767994922,214,20.0
ece5,165861,0.23306603201575116,215,20.0
ece5,170396,0.20888750793047953,230,20.0
ece5,187017,0.3588828613836206,250,20.0
ece5,187020,0.26532656665132814,257,20.0
ece5,187024,0.20573333054002116,257,20.0
ece5,189647,0.19859132424964165,218,20.0
ece5,189651,0.4189389395386643,218,20.0
ece5,195264,0.39338161698273466,264,20.0
ece5,195267,0.7512677254054625,268,20.0
ece5,195273,0.7114297856971289,268,20.0
ece5,195638,0.1527116131095949,238,20.0
ece5,195647,0.11014070000498252,238,20.0
ece5,195650,0.32008302635557,238,20.0
ece5,195655,0.11493222367108967,239,20.0
ece6,160715,0.15423404324419185,215,20.0
ece6,160720,0.9283553154610076,215,20.0
ece6,161138,0.17422731019428853,188,20.0
ece6,165022,0.11893006801553459,214,20.0
ece6,165028,0.6179323613322295,215,20.0
ece6,165042,0.11468851937312646,214,20.0
ece6,165861,0.3682137652424903,215,20.0
ece6,170396,0.23895538955681492,230,20.0
ece6,187017,0.337558189743651,250,20.0
ece6,187020,0.2648274768077104,257,20.0
ece6,187024,0.2005927827393908,257,20.0
ece6,189647,0.21730276314787103,218,20.0
ece6,189651,0.4886718332436043,218,20.0
ece6,195264,0.3658365923610137,264,20.0
ece6,195267,0.6926017510967198,268,20.0
ece6,195273,0.6873747931286964,268,20.0
ece6,195638,0.1592664540931831,238,20.0
ece6,195647,0.11375053700338987,238,20.0
ece6,195650,0.33039208385501745,238,20.0
ece6,195655,0.1349553831693431,239,20.0
ece7,160715,0.1215321211242084,215,20.0
ece7,160720,0.8678440127078471,215,20.0
ece7,161138,0.14695102304769686,188,20.0
ece7,165022,0.09199803605281706,214,20.0
ece7,165028,0.43445032329089384,215,20.0
ece7,165042,0.12111396737139171,214,20.0
