canonical_or_augmentation,noise_sigma,noise_percent,representation_id,support_scope,n_observations,n_trajectories,n_replicates,mean_rmse,median_rmse,std_rmse,se_rmse,ci_lo,ci_hi,ci_method
augmentation,0.004,0.4,C_compact,native,72,24,3,2.592608976517701,2.608067143693928,0.3420116758429723,0.04030646253892351,2.5124900579372196,2.6659275938229725,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.005,0.5,C0_poly2,common,72,24,3,2.7189809655299166,2.7379234372414594,0.19968501688093818,0.023533104922976937,2.6718122521893513,2.763027478709383,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.005,0.5,C0_poly2,native,72,24,3,2.851670035974779,2.84343055183177,0.22178310419424602,0.026137389488059,2.797176428961094,2.900989728920782,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.005,0.5,C_all,common,72,24,3,1.8325607424518249,1.8466982584198168,0.1735879839139774,0.02045754009301246,1.790411214031145,1.8707517040504527,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.005,0.5,C_all,native,72,24,3,1.8325607424518249,1.8466982584198168,0.1735879839139774,0.02045754009301246,1.790411214031145,1.8707517040504527,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.005,0.5,C_compact,common,72,24,3,3.002906448249197,2.98712626985018,0.39459705193929184,0.04650370854374893,2.912788832378582,3.090288278163342,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.005,0.5,C_compact,native,72,24,3,3.1987848323394377,3.167621071548588,0.4007182882938767,0.04722510316634436,3.106591849233909,3.2866888727440986,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.006,0.6,C0_poly2,common,72,24,3,2.7649156378684,2.768951798860093,0.19737844798231485,0.02326127317139518,2.7182394646124752,2.808543345315942,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.006,0.6,C0_poly2,native,72,24,3,2.896810565754875,2.8922809900600495,0.2215906289377633,0.026114706061547407,2.8420847057692464,2.946047900842263,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.006,0.6,C_all,common,72,24,3,1.9475801498736784,1.9403416940794012,0.18255275532751755,0.02151404853606272,1.9043891423839887,1.9897003928141972,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.006,0.6,C_all,native,72,24,3,1.9475801498736784,1.9403416940794012,0.18255275532751755,0.02151404853606272,1.9043891423839887,1.9897003928141972,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.006,0.6,C_compact,common,72,24,3,3.4893296234117965,3.5075751755072933,0.39546879697324605,0.04660644468124472,3.3963482850803666,3.573408909857733,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.006,0.6,C_compact,native,72,24,3,3.657030159349761,3.635888620298494,0.41614253127265965,0.04904286763383876,3.561465687057822,3.7450223907329887,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.007,0.7000000000000001,C0_poly2,common,72,24,3,2.795828318592516,2.8062390709592413,0.20090262795464026,0.02367660176415403,2.746675018374074,2.840608602681607,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.007,0.7000000000000001,C0_poly2,native,72,24,3,2.9306591748469963,2.9228420769508525,0.22424478422130092,0.02642750126143267,2.8751885571470654,2.9801721153058995,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.007,0.7000000000000001,C_all,common,72,24,3,2.0360336221488873,2.0357997556191902,0.2090773605624206,0.02464000324104541,1.9860542243854848,2.0828088471286317,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.007,0.7000000000000001,C_all,native,72,24,3,2.0360336221488873,2.0357997556191902,0.2090773605624206,0.02464000324104541,1.9860542243854848,2.0828088471286317,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.007,0.7000000000000001,C_compact,common,72,24,3,3.87642412168693,3.8931980235840467,0.45463235378981853,0.05357893671859705,3.772786913185127,3.973755198890792,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.007,0.7000000000000001,C_compact,native,72,24,3,4.048314087515553,4.037493260894371,0.46593303162024535,0.0549107343729136,3.9396570648543636,4.149010837363054,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.008,0.8,C0_poly2,common,72,24,3,2.8218209715777496,2.8301561881178507,0.2015853743634859,0.02375706420007495,2.7740480191066252,2.8661817043261393,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.008,0.8,C0_poly2,native,72,24,3,2.9578546493750624,2.958398474293487,0.22578034096950197,0.026608468359690957,2.9024296247509067,3.0075714198111596,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.008,0.8,C_all,common,72,24,3,2.1078713160943323,2.127790898425406,0.2140007996113936,0.02522023609742665,2.057343573355115,2.1589372981194437,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
