times,x,y,z
20.52,4.49836841687227,7.615621700536825,13.678012586297683
20.53,4.823149647466097,8.203872924519358,13.681815369630115
20.54,5.1749715037895525,8.83289606142283,13.741954159421976
20.55,5.555153031965229,9.502805282299772,13.865672525801868
20.56,5.964852592410284,10.212716647424484,14.061099645530772
20.57,6.404973507085889,10.960435872687983,14.337231938253446
20.580000000000002,6.876046259593137,11.742090069014615,14.703851127895952
20.59,7.378084265310669,12.551707011051416,15.171352086246364
20.6,7.910411240576063,13.380754154247565,15.750448485373028
20.61,8.471460133922264,14.217662427327195,16.451720458894822
20.62,9.058546778105098,15.047377382394004,17.284968197640076
20.63,9.667626212203674,15.851002437473236,18.25834162222913
20.64,10.293046230896366,16.60562408201649,19.377232715487384
20.650000000000002,10.92732108448737,17.28443306862096,20.642947728381483
20.66,11.560957799306111,17.857271637241205,22.051224228798095
20.67,12.182376942319443,18.29173413495416,23.59072259024587
20.68,12.777976438351697,18.554914135577885,25.241696669638344
20.69,13.332387908867773,18.615813619917596,26.975118882593602
20.7,13.828966080184701,18.44830457093121,28.75257569191188
20.71,14.250529875976243,18.03437133180838,30.527229507552374
20.72,14.580337984617692,17.36719565587362,32.24603470013505
20.73,14.803235314995794,16.45352866854043,33.853190693211
20.740000000000002,14.906858434150102,15.31478583313146,35.294540660312904
20.75,14.882750782977618,13.986445757809767,36.5223473016748
20.76,14.727226008162217,12.515628346816083,37.499690482116634
20.77,14.441839400351506,10.957108007331353,38.20371877290313
20.78,14.03338289801116,9.368371143606824,38.62718026522793
20.79,13.513396799585658,7.804536806693474,38.77801328042448
20.8,12.897271488951835,6.31395536010263,38.677185972383185
20.81,12.203074364002553,4.935092138663571,38.355307416480336
20.82,11.450266624115878,3.69497324769923,37.848699619202385
20.830000000000002,10.658468523465695,2.609131812224163,37.19559754718658
20.84,9.846397543307576,1.682739767005656,36.432976989979935
20.85,9.031055125678906,0.9124878087858077,35.59427732404934
20.86,8.227188006654778,0.2887775582914227,34.708064905215394
20.87,7.447009881078583,-0.20212473345781376,33.79752196543887
20.88,6.700142848324209,-0.5762030364124694,32.88056089019401
20.89,5.993725844636927,-0.8501882375193374,31.970344590830205
20.900000000000002,5.332636158657858,-1.0404590864548338,31.076018359909455
20.91,4.719776198211296,-1.1623115240417896,30.203504355059298
20.92,4.156387251817419,-1.229531429698789,29.356259407754944
20.93,3.642362323494045,-1.254198004391348,28.53594000171466
20.94,3.176539528156295,-1.2466501160387091,27.742950816745058
20.95,2.756965217564676,-1.2155592403572097,26.976874935967892
20.96,2.381121774683193,-1.1680655947824956,26.23679642775849
20.97,2.0461190298667566,-1.1099461145573712,25.521531946520348
20.98,1.748850833711301,-1.0457929143521325,24.829789530382524
20.990000000000002,1.4861198180024053,-0.9791885568027631,24.16027173232888
21.0,1.2547341052246097,-0.9128700160051131,23.51173790482915
21.01,1.0515799428648847,-0.8488770686691537,22.883037708600245
21.02,0.8736741350868942,-0.7886833849713929,22.27312522729661
21.03,0.718199856498152,-0.7333101915609914,21.681060692765296
21.04,0.5825290535746761,-0.6834233321158963,21.106004857432644
21.05,0.46423422772435563,-0.6394150724202631,20.547209498307407
21.06,0.3610919863706849,-0.6014722400464458,20.004006361210116
21.07,0.27108036569968075,-0.5696323576976832,19.47579599450395
21.080000000000002,0.19237158120631428,-0.54382939305474,18.962037315473363
21.09,0.12332155453646419,-0.5239306515218339,18.462238340843786
21.1,0.06245729751802533,-0.5097662100388122,17.975948245548242
21.11,0.008463005197828055,-0.5011521482432059,17.502750749980297
21.12,-0.039834483919329526,-0.4979086889030324,17.042258743944952
21.13,-0.0834803639180186,-0.49987421958211015,16.59411001154834
21.14,-0.12340631037250305,-0.5069160363237819,16.157963908079992
21.150000000000002,-0.1604444479114114,-0.5189385292940306,15.733498845324622
21.16,-0.19534066854252466,-0.5358894227530894,15.320410457579237
21.17,-0.22876720406543316,-0.5577645844732028,14.918410341348787
21.18,-0.26133440767048993,-0.5846118377711271,14.527225284308052
21.19,-0.29360174428576596,-0.6165341352876496,14.146596921352145
21.2,-0.32608801806179494,-0.6536923943830074,13.776281777033454
21.21,-0.3592808905873258,-0.696308241223784,13.41605167372407
21.22,-0.393645758233283,-0.7446668696099035,13.0656945040079
21.23,-0.42963406955550937,-0.799120185103183,12.725015384271238
21.240000000000002,-0.46769116991846155,-0.8600903781150195,12.393838225049617
21.25,-0.5082637655034609,-0.928074046827878,12.072007772978091
21.26,-0.5518071000791456,-1.0036469739137708,11.759392200120399
21.27,-0.598791938823884,-1.0874696462625735,11.455886339837928
21.28,-0.6497114517840895,-1.1802935957596907,11.161415695270271
21.29,-0.7050880883397805,-1.2829686274827827,10.875941378006786
21.3,-0.7654805303261287,-1.3964509913010419,10.59946617194338
21.31,-0.8314908087879149,-1.5218125381920553,10.332041962007303
21.32,-0.9037716631827658,-1.6602508863322356,10.073778821120412
21.330000000000002,-0.9830342170328893,-1.8131005955726271,9.824856113107401
21.34,-1.070056033658504,-1.98184531599984,9.585536046519968
21.35,-1.1656896056859525,-2.1681308244041597,9.356180206344419
21.36,-1.2708713139490218,-2.37377879394422,9.137269699942102
21.37,-1.3866308700863925,-2.600801041648399,8.92942968191897
21.38,-1.5141012241253389,-2.851413861594266,8.733459171976849
21.39,-1.654528874788429,-3.12805186036912,8.550367250207794
21.400000000000002,-1.809284458280521,-3.433380450714012,8.381416904665933
21.41,-1.9798734065874541,-3.7703058045209836,8.228178010983877
21.42,-2.167946350342051,-4.141980588067161,8.092591133241406
21.43,-2.3753087826078394,-4.551803163176456,7.977044028752938
21.44,-2.603929287266148,-5.003407091769577,7.884462884696655
21.45,-2.855945348675985,-5.500636672161847,7.8184203551456335
21.46,-3.133665380919303,-6.047502803717084,7.783262320075014
21.47,-3.4395651161742453,-6.648111655601255,7.784254820565615
21.48,-3.7762758475459344,-7.306556354395424,7.827751646952359
21.490000000000002,-4.146561200667803,-8.026759180988313,7.921381291243149
21.5,-4.553278084811076,-8.812248625603258,8.07424903671173
21.51,-4.999316237018976,-9.66585227970011,8.297145334897102
21.52,-5.487509335572487,-10.589283356018047,8.602744659689122
21.53,-6.020509095544069,-11.582596431559645,9.005768976447607
21.54,-6.600612236838451,-12.643488194117683,9.523076067530853
21.55,-7.229529055825127,-13.76642376288024,10.173614704291568
21.56,-7.908082090736091,-14.941581851552838,10.978166271585172
21.57,-8.635824919739552,-16.153637109643743,11.95876768267879
21.580000000000002,-9.410575729794203,-17.38044073559807,13.137687775760021
21.59,-10.227869589364035,-18.591725902413902,14.535817665220105
21.6,-11.080349198435217,-19.74805470498788,16.170349315376264
21.61,-11.957137817188551,-20.800332593292488,18.051676567221204
