analysis,realization_index,shot,parameter,feature,display_name,coefficient,canonical_coefficient
fixed_rank,1,159310,4.0,d[betan]/d[t],dot beta_N,0.3661121678568103,0.8079141971887019
fixed_rank,1,159310,4.0,d[li]/d[betan],D_betaN l_i,-0.330199585509329,0.0096582233888301
fixed_threshold,2,160715,0.001,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.4676499134893646,0.4676499134893681
fixed_threshold,2,160715,0.001,d[kappa]/d[t],dot kappa,1.0561295773182953,1.0561295773182957
fixed_threshold,2,160715,0.001,r[q95]/r[kappa],q95 / kappa,-0.00360940753029957,-0.0036094075302998
fixed_threshold,2,160715,0.001,d[pcdiamag3]/d[betan],D_betaN W_dia,1.1047516146989105,1.1047516146989054
fixed_threshold,2,160715,0.001,d[kappa]/d[betan],D_betaN kappa,-1.1208812821514582,-1.1208812821514549
fixed_threshold,2,160715,0.001,d[betan]/d[t],dot beta_N,-0.1744515122300527,-0.1744515122300516
fixed_threshold,2,160715,0.001,d[li]/d[betan],D_betaN l_i,-0.009574447972186685,-0.0095744479721841
fixed_threshold,2,160715,0.005,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.4676499134893646,0.4676499134893681
fixed_threshold,2,160715,0.005,d[kappa]/d[t],dot kappa,1.0561295773182953,1.0561295773182957
fixed_threshold,2,160715,0.005,r[q95]/r[kappa],q95 / kappa,-0.00360940753029957,-0.0036094075302998
fixed_threshold,2,160715,0.005,d[pcdiamag3]/d[betan],D_betaN W_dia,1.1047516146989105,1.1047516146989054
fixed_threshold,2,160715,0.005,d[kappa]/d[betan],D_betaN kappa,-1.1208812821514582,-1.1208812821514549
fixed_threshold,2,160715,0.005,d[betan]/d[t],dot beta_N,-0.1744515122300527,-0.1744515122300516
fixed_threshold,2,160715,0.005,d[li]/d[betan],D_betaN l_i,-0.009574447972186685,-0.0095744479721841
fixed_threshold,2,160715,0.01,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.4676499134893646,0.4676499134893681
fixed_threshold,2,160715,0.01,d[kappa]/d[t],dot kappa,1.0561295773182953,1.0561295773182957
fixed_threshold,2,160715,0.01,r[q95]/r[kappa],q95 / kappa,-0.00360940753029957,-0.0036094075302998
fixed_threshold,2,160715,0.01,d[pcdiamag3]/d[betan],D_betaN W_dia,1.1047516146989105,1.1047516146989054
fixed_threshold,2,160715,0.01,d[kappa]/d[betan],D_betaN kappa,-1.1208812821514582,-1.1208812821514549
