realization_index,feature,display_name,var_primary,var_short,var_long,var_ratio_short_over_primary,var_ratio_long_over_primary,interval_width_primary,interval_width_ratio_short,interval_width_ratio_long,sign_stability_primary,sign_stability_short,sign_stability_long,mc_se_var_short_B300,mc_se_var_long_B300,n_primary,n_sensitivity
37,d[li]/d[betan],D_betaN l_i,0.0003354092992400774,0.0002915234669197507,0.00029040196381292034,0.8691573775093387,0.8658136923182266,0.07583219687396726,0.9129787279889746,0.9430037332688388,0.972,0.9933333333333333,0.9866666666666667,2.3842562173616096e-05,2.375083882854533e-05,1000,300
38,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.11342065026503056,0.08615424236032834,0.12700678702922433,0.7595992630884352,1.1197853894546272,1.127571707481823,0.9577251485786332,1.030961282564683,1.0,1.0,1.0,0.007046217931273341,0.010387387499919791,1000,300
38,d[kappa]/d[t],dot kappa,0.007967901559020307,0.00713020853154383,0.010542703259293823,0.8948665440616368,1.3231467759988367,0.34611751503449706,0.9307654755450758,1.0999447241731748,1.0,1.0,1.0,0.0005831518197160409,0.0008622463933817468,1000,300
38,r[q95]/r[kappa],q95 / kappa,0.00024328119540209487,0.00019799018774161462,0.00028113798712298864,0.8138326820302599,1.1556091980653256,0.05765699199972665,0.9227794493906439,1.0433531622050467,0.835,0.87,0.7866666666666666,1.6192841731999687e-05,2.2993174471235018e-05,1000,300
38,d[pcdiamag3]/d[betan],D_betaN W_dia,0.17663347021948603,0.13407489673334844,0.19685611668516748,0.7590571400015297,1.1144893232327522,1.4069385943222197,0.9584292942764168,1.0268430445326784,1.0,1.0,1.0,0.0109654604998437,0.016100090503570853,1000,300
38,d[kappa]/d[betan],D_betaN kappa,0.12103418017228433,0.09977855182249934,0.13358898844387768,0.8243832583528968,1.1037294444736387,1.273154976680746,0.9668367493662766,1.0360848921473842,1.0,1.0,1.0,0.008160496822289061,0.010925719964631242,1000,300
38,d[betan]/d[t],dot beta_N,0.008109420465459316,0.007301205279460531,0.011284597231946325,0.9003362583749062,1.3915417605994325,0.3491144878165031,0.9676640348055188,1.1428910039449027,0.848,0.8633333333333333,0.85,0.0005971369737647625,0.0009229229946725361,1000,300
38,d[li]/d[betan],D_betaN l_i,0.0006248337322948213,0.0005641079764988922,0.000647176369811563,0.9028129362144034,1.0357577325966125,0.08568398793163046,0.9760149968625056,1.0170278237623882,0.972,0.99,0.95,4.613618122897118e-05,5.293001965695938e-05,1000,300
39,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0838291119503045,0.05001811359760188,0.11330348842904316,0.5966675828231793,1.3516007242950592,0.9794354445675587,0.8423545578002041,1.0860793768301522,1.0,1.0,1.0,0.004090785540726634,0.009266648396784795,1000,300
39,d[kappa]/d[t],dot kappa,0.005508651943351424,0.0036310642858405407,0.011251633558457076,0.6591566000503978,2.042538478408869,0.29925294980126227,0.7977086497262125,1.3730303036785254,1.0,1.0,1.0,0.0002969705214687972,0.0009202270249691622,1000,300
39,r[q95]/r[kappa],q95 / kappa,0.00014025085208934116,0.00019159113761004317,0.00016475575409622334,1.3660604178575524,1.1747219474379542,0.045419232910733395,1.0679029698147018,1.1787839597741074,0.524,0.5033333333333333,0.5266666666666666,1.5669488493146787e-05,1.3474727616290138e-05,1000,300
39,d[pcdiamag3]/d[betan],D_betaN W_dia,0.12251257433219791,0.07344479929074986,0.16514637136943128,0.5994878459708246,1.3479952753390854,1.1842150481446452,0.8443962792388482,1.0945804713047647,1.0,1.0,1.0,0.006006762378071255,0.013506674672631619,1000,300
39,d[kappa]/d[betan],D_betaN kappa,0.10641220314417894,0.06964185886146133,0.13535438318339868,0.6544536886159842,1.2719817763758325,1.1745642105394285,0.8630533373090509,1.0497016249700089,1.0,1.0,1.0,0.005695734780238695,0.01107010468357941,1000,300
39,d[betan]/d[t],dot beta_N,0.006442865804451678,0.003502764559240008,0.014036046558279756,0.5436656086829844,2.178540882937775,0.3340100912868771,0.6584045964783101,1.3639240920540052,0.798,0.8866666666666667,0.7633333333333333,0.00028647738950706315,0.0011479532549250237,1000,300
39,d[li]/d[betan],D_betaN l_i,0.00014213425170502827,0.00015671665798049983,0.00015624772476410286,1.102596004133715,1.0992967767429087,0.046346588889395426,0.9980597925969021,1.0345657238209685,0.934,0.9566666666666667,0.9233333333333333,1.2817241442075642e-05,1.2778889231581739e-05,1000,300
40,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.042316616599455945,0.027643085395052877,0.04382320036119324,0.6532442245254617,1.035602651695851,0.8026660174817541,0.7529647493850118,1.0405010191014994,1.0,1.0,1.0,0.0022608196491555738,0.0035841278587229785,1000,300
40,d[kappa]/d[t],dot kappa,0.003697173157597146,0.0029041838643384032,0.0029385179009646925,0.785514700162402,0.7948012645624863,0.2612750133623838,0.8644555945064726,0.87921083606605,1.0,1.0,1.0,0.00023752181970366725,0.00024032986603895201,1000,300
40,r[q95]/r[kappa],q95 / kappa,0.00010947481019679343,0.00012322163543474502,9.786592075963435e-05,1.1255706697571806,0.8939583506352669,0.04270206480215616,1.0940543494390307,0.8812992347181362,0.772,0.8033333333333333,0.7633333333333333,1.0077814781189817e-05,8.00407022132489e-06,1000,300
40,d[pcdiamag3]/d[betan],D_betaN W_dia,0.061266969109733546,0.0398507853401126,0.06305032356659923,0.6504448631812841,1.0291079268777206,0.963341365709018,0.7579253645768117,1.0422738921452877,1.0,1.0,1.0,0.0032592395980273353,0.0051566389340350115,1000,300
40,d[kappa]/d[betan],D_betaN kappa,0.07717580127354319,0.04938577477174854,0.07900471222141653,0.6399126922790834,1.0236979845714969,1.1495435775407856,0.7965270954913682,0.997672470357408,1.0,1.0,1.0,0.0040390690256566835,0.006461485872992518,1000,300
40,d[betan]/d[t],dot beta_N,0.002797041358261411,0.0023399704017557036,0.002436666055385664,0.8365877018029457,0.8711583932031132,0.22280151183811078,0.8496086260766571,0.8552750384018121,0.94,0.9733333333333334,0.95,0.00019137701118119479,0.00019928536983907744,1000,300
40,d[li]/d[betan],D_betaN l_i,0.00010230966835280708,9.592360455146014e-05,8.01156296426928e-05,0.9375810331109169,0.7830699769881002,0.0384642760815266,0.967693921820518,0.8835660825128007,0.775,0.7933333333333333,0.79,7.84521578863195e-06,6.552343456316416e-06,1000,300
