realization_index,shot,lambda_relative,lambda,coefficient_norm,edf,relative_coefficient_change,max_abs_coefficient_change,relative_prediction_change,prediction_correlation,rmse,rmse_canonical,absolute_rmse_change,relative_rmse_change,r2,r2_change,n_sign_changes,reconstruction_label,sensitivity_class
1,159310,1e-05,0.03685461436381569,0.9996601721974057,6.9814947747795975,0.005064834221838532,0.002892949013602375,0.00026213764181273606,0.9999999663227969,0.04380577665945139,0.04380499383006854,7.828293828449073e-07,1.7870779434000083e-05,0.9980810539312622,-6.858428547307227e-08,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
1,159310,0.0001,0.36854614363815685,0.9856290129365031,6.8323835143244525,0.04490991554390151,0.02573318810786307,0.0023369546939589095,0.9999973337036165,0.043867167244062095,0.04380499383006854,6.217341399355342e-05,0.001419322514568534,0.9980756716379815,-5.450877566204326e-06,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
1,159310,0.001,3.6854614363815688,0.9392327232372039,6.089167976291553,0.2107419490355491,0.12438174568577864,0.011873680201747252,0.9999348466456034,0.04538271955736248,0.04380499383006854,0.0015777257272939355,0.03601702886694439,0.9979404087655778,-0.00014071374996993402,0,STABLE_RECONSTRUCTION,LARGE_COEFFICIENT_MOVEMENT_STABLE_RECONSTRUCTION
1,159310,0.01,36.854614363815685,0.8697251432302124,4.928903529511306,0.34725506986568005,0.244904803043418,0.0481724488066595,0.9992536038256714,0.06507694976343767,0.04380499383006854,0.021271955933369127,0.48560572833061755,0.995764990609487,-0.0023161319060607255,1,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
1,159310,0.1,368.5461436381569,0.6303677075205303,3.3436867252017577,0.5273185483158459,0.4437286616245151,0.24562930075637826,0.9863986877282926,0.24927265753304556,0.04380499383006854,0.20546766370297703,4.690507764937422,0.937863142206413,-0.06021798030913472,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
1,159310,1.0,3685.4614363815685,0.2320725762489227,1.1820283562801757,0.8337061677773742,0.6763683155537328,0.6821164859162085,0.907447282052471,0.6828681841773935,0.04380499383006854,0.639063190347325,14.588820462489046,0.5336910430382694,-0.4643900794772783,1,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
2,160715,0.0,0.0,1.9599732479109284,7.0,3.866880495398781e-15,4.440892098500626e-15,1.826154141939717e-15,0.9999999999999998,0.07605122311542492,0.07605122311542489,2.7755575615628914e-17,3.6495896421683054e-16,0.9942162114626478,0.0,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
2,160715,1e-06,0.00365687560822097,1.9583715571996914,6.99816157961972,0.0010732032117573035,0.0015889018347789996,0.00010739577313742643,0.9999999943325735,0.07605129850630343,0.07605122311542489,7.539087854002702e-08,9.913171077551687e-07,0.9942161999955051,-1.1467142679855158e-08,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
2,160715,1e-05,0.036568756082209705,1.9441986792413948,6.9818130697631835,0.01059447000522419,0.015689656183137446,0.001060516065360642,0.9999994473201478,0.07605857431403042,0.07605122311542489,7.351198605523579e-06,9.666114895175821e-05,0.9942150932733171,-1.118189330684416e-06,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
2,160715,0.0001,0.365687560822097,1.8231838035996906,6.835479005103762,0.09391663262769576,0.13944832406619667,0.009430799590469786,0.9999562783481547,0.07663037327473761,0.07605122311542489,0.0005791501593127163,0.007615264233603681,0.9941277858917744,-8.842557087340719e-05,0,STABLE_RECONSTRUCTION,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
2,160715,0.001,3.6568756082209704,1.3930340955465608,6.106625322880708,0.4416916068070458,0.667456909953376,0.04601857761498761,0.9989665084782223,0.08882144808102324,0.07605122311542489,0.012770224965598348,0.1679161023645403,0.9921107503607901,-0.0021054611018577196,1,MODERATE_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
2,160715,0.01,36.5687560822097,1.070636643597745,4.887371617946795,0.7240283180675864,1.1212734314500978,0.11194851629464699,0.9947038410881055,0.13506951425046232,0.07605122311542489,0.059018291135037426,0.7760334248071602,0.9817562263201441,-0.012459985142503682,3,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
2,160715,0.1,365.68756082209705,0.6040395588178209,3.18632842185809,0.8580124860726328,1.219213432942259,0.34536711870248077,0.954009890066635,0.35266464793843433,0.07605122311542489,0.27661342482300944,3.637198896895879,0.8756276460944601,-0.11858856536818774,2,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
2,160715,1.0,3656.87560822097,0.22771449166988877,1.1574312752697484,0.9593552056072666,1.1841940408011762,0.6835643113672917,0.8793104280308385,0.6858144226465739,0.07605122311542489,0.609763199531149,8.017796092584701,0.5296585776899463,-0.46455763377270154,3,MATERIAL_RECONSTRUCTION_CHANGE,LARGE_COEFFICIENT_MOVEMENT_CHANGED_RECONSTRUCTION
