canonical_or_augmentation,noise_sigma,noise_percent,noise_replicate,noise_seed,trajectory_id,representation_id,representation_label,support_scope,rmse,estimator,cohort
canonical,0.0,0.0,0,,conf_023,C0_poly3,cubic (10->285),native,2.343328259075981,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_000,C_all,C_all (38),native,1.5285204928035807e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_001,C_all,C_all (38),native,1.1423147677802105e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_002,C_all,C_all (38),native,9.467291277263218e-06,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_003,C_all,C_all (38),native,1.293621779974234e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_004,C_all,C_all (38),native,1.2349759953694517e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_005,C_all,C_all (38),native,1.2139536824990871e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_006,C_all,C_all (38),native,1.3171964014666498e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_007,C_all,C_all (38),native,1.706087999847389e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_008,C_all,C_all (38),native,1.1965148531875636e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_009,C_all,C_all (38),native,1.2797992907728569e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_010,C_all,C_all (38),native,1.807159029856572e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_011,C_all,C_all (38),native,1.2299143249985864e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_012,C_all,C_all (38),native,1.1624028811768222e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_013,C_all,C_all (38),native,1.1927440333824615e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_014,C_all,C_all (38),native,2.084607534649262e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_015,C_all,C_all (38),native,1.7642163245603848e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_016,C_all,C_all (38),native,1.332732419541992e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_017,C_all,C_all (38),native,1.2664291723013348e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_018,C_all,C_all (38),native,1.1561389701255246e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_019,C_all,C_all (38),native,1.1806603234636002e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_020,C_all,C_all (38),native,1.3526020819901623e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_021,C_all,C_all (38),native,1.1674875498638993e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_022,C_all,C_all (38),native,1.0814026132333392e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_023,C_all,C_all (38),native,1.2945276068135588e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_000,C*_accuracy,q_acc -> C_all (38),native,1.5285204928035807e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_001,C*_accuracy,q_acc -> C_all (38),native,1.1423147677802105e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_002,C*_accuracy,q_acc -> C_all (38),native,9.467291277263218e-06,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_003,C*_accuracy,q_acc -> C_all (38),native,1.293621779974234e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_004,C*_accuracy,q_acc -> C_all (38),native,1.2349759953694517e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_005,C*_accuracy,q_acc -> C_all (38),native,1.2139536824990871e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_006,C*_accuracy,q_acc -> C_all (38),native,1.3171964014666498e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_007,C*_accuracy,q_acc -> C_all (38),native,1.706087999847389e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_008,C*_accuracy,q_acc -> C_all (38),native,1.1965148531875636e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_009,C*_accuracy,q_acc -> C_all (38),native,1.2797992907728569e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_010,C*_accuracy,q_acc -> C_all (38),native,1.807159029856572e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_011,C*_accuracy,q_acc -> C_all (38),native,1.2299143249985864e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_012,C*_accuracy,q_acc -> C_all (38),native,1.1624028811768222e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_013,C*_accuracy,q_acc -> C_all (38),native,1.1927440333824615e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_014,C*_accuracy,q_acc -> C_all (38),native,2.084607534649262e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_015,C*_accuracy,q_acc -> C_all (38),native,1.7642163245603848e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_016,C*_accuracy,q_acc -> C_all (38),native,1.332732419541992e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_017,C*_accuracy,q_acc -> C_all (38),native,1.2664291723013348e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_018,C*_accuracy,q_acc -> C_all (38),native,1.1561389701255246e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_019,C*_accuracy,q_acc -> C_all (38),native,1.1806603234636002e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_020,C*_accuracy,q_acc -> C_all (38),native,1.3526020819901623e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_021,C*_accuracy,q_acc -> C_all (38),native,1.1674875498638993e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_022,C*_accuracy,q_acc -> C_all (38),native,1.0814026132333392e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_023,C*_accuracy,q_acc -> C_all (38),native,1.2945276068135588e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_000,C*_compact,q_comp -> compact (12),native,3.4755107708546565e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_001,C*_compact,q_comp -> compact (12),native,3.2614580502284835e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_002,C*_compact,q_comp -> compact (12),native,2.313060943437524e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_003,C*_compact,q_comp -> compact (12),native,2.966882634359825e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_004,C*_compact,q_comp -> compact (12),native,3.36329505996098e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_005,C*_compact,q_comp -> compact (12),native,3.1244129417804884e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_006,C*_compact,q_comp -> compact (12),native,3.4475048689110053e-05,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_007,C*_compact,q_comp -> compact (12),native,3.2687113103101274e-05,pysindy.STLSQ,confirmation_24
