shot_id,era,block,denominator,used_by,finite,rms,no_sign_change,eta,eta_threshold,admissible,failure_reasons
161136,earlier,C,cerqtit10,RECIP(cerqtit10),True,618.1652635146185,True,0.46265944866252845,0.05,True,
161136,earlier,C,ece22,"RATIO(ip,ece22)",True,1950.3614695157898,True,0.5721437926966007,0.05,True,
161136,earlier,C,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,3.487660365941772e+19,True,0.30046245442906694,0.05,True,
161145,earlier,A,cerqtit10,RECIP(cerqtit10),True,421.9861762543829,True,0.7095019001665098,0.05,True,
161145,earlier,A,ece22,"RATIO(ip,ece22)",True,1578.0394524515386,True,0.2736270573819102,0.05,True,
161145,earlier,A,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,3.970551360479512e+19,True,0.26736415707040573,0.05,True,
161145,earlier,B,cerqtit10,RECIP(cerqtit10),True,429.56163079649514,True,0.6969896108768736,0.05,True,
161145,earlier,B,ece22,"RATIO(ip,ece22)",True,1404.1655636565326,True,0.30750952949056565,0.05,True,
161145,earlier,B,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,4.162043375469145e+19,True,0.2550629635088067,0.05,True,
161145,earlier,C,cerqtit10,RECIP(cerqtit10),True,435.4905459767466,True,0.6875005592256211,0.05,True,
161145,earlier,C,ece22,"RATIO(ip,ece22)",True,1307.917848397126,True,0.33013869512985544,0.05,True,
161145,earlier,C,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,4.2728960409501516e+19,True,0.24844580992035933,0.05,True,
161414,earlier,A,cerqtit10,RECIP(cerqtit10),True,1463.21036629745,True,0.19461321696730285,0.05,True,
161414,earlier,A,ece22,"RATIO(ip,ece22)",True,4007.0887289364478,True,0.25451586182562913,0.05,True,
161414,earlier,A,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.281856778212267e+19,True,0.3872008263885558,0.05,True,
161414,earlier,B,cerqtit10,RECIP(cerqtit10),True,1779.8606611737657,True,0.15999009512197512,0.05,True,
161414,earlier,B,ece22,"RATIO(ip,ece22)",True,4374.967728406331,True,0.2331143232520556,0.05,True,
161414,earlier,B,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.3468369152065696e+19,True,0.37647985869795636,0.05,True,
161414,earlier,C,cerqtit10,RECIP(cerqtit10),True,1871.8842302166631,True,0.15212483330344231,0.05,True,
161414,earlier,C,ece22,"RATIO(ip,ece22)",True,4479.530255605647,True,0.22767289940296107,0.05,True,
161414,earlier,C,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.411863490920555e+19,True,0.3663295346317012,0.05,True,
165017,earlier,A,cerqtit10,RECIP(cerqtit10),True,1594.8084396663212,True,0.13912104706685907,0.05,True,
165017,earlier,A,ece22,"RATIO(ip,ece22)",True,3339.9922914515564,True,0.42711556872650264,0.05,True,
165017,earlier,A,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.959050393980939e+19,True,0.23099050488464473,0.05,True,
165017,earlier,B,cerqtit10,RECIP(cerqtit10),True,1756.1390192113333,True,0.12634046483238148,0.05,True,
165017,earlier,B,ece22,"RATIO(ip,ece22)",True,3287.0655251489807,True,0.3445905203248278,0.05,True,
165017,earlier,B,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,3.0582783699549184e+19,True,0.2234958567538244,0.05,True,
