shot_id,era,comparator,NRMSE_REL,NRMSE_comparator,d_s,class
170411,earlier,B2,0.1236438541971501,0.2545409236613961,-0.13089706946424598,WIN
186997,earlier,B2,0.2431984910921842,0.2939529428341234,-0.05075445174193918,WIN
187018,earlier,B2,0.3085991152311767,0.5152196233534804,-0.20662050812230365,WIN
187019,earlier,B2,11.952633158377472,0.7097049756296445,11.242928182747827,LOSS
187021,earlier,B2,0.2339909427410042,0.4352931615544974,-0.20130221881349317,WIN
187022,earlier,B2,11.766571685014748,0.6637003963208771,11.102871288693871,LOSS
189646,later,B2,0.2402300600201362,0.760891077852463,-0.5206610178323268,WIN
189649,later,B2,0.1374895379814073,0.6604261067530973,-0.52293656877169,WIN
189650,later,B2,0.1699439778423281,0.1570832522020405,0.01286072564028759,LOSS
189652,later,B2,0.1781385530057603,0.5735377994265473,-0.39539924642078694,WIN
195261,later,B2,0.1697792788135332,0.1656191276880664,0.0041601511254668044,TIE
195265,later,B2,0.1880751743690242,0.2248535373243883,-0.036778362955364075,WIN
195266,later,B2,0.2512944925106523,0.2134401557645995,0.03785433674605279,LOSS
195268,later,B2,0.2617329850600386,0.3177818665336363,-0.05604888147359771,WIN
195269,later,B2,0.2077212378630986,0.1488348720129697,0.05888636585012891,LOSS
195274,later,B2,0.499649267736147,1.256006521899823,-0.756357254163676,WIN
195626,later,B2,0.1402416861252779,0.0810224228675109,0.05921926325776701,LOSS
195642,later,B2,0.0801776221388742,0.0848292793366851,-0.00465165719781091,TIE
195645,later,B2,0.1211655672429321,0.2163544059545165,-0.09518883871158439,WIN
195648,later,B2,0.0504973280382959,0.0740896598179085,-0.02359233177961259,WIN
195649,later,B2,0.1013440042194344,0.1263445849293225,-0.025000580709888087,WIN
195651,later,B2,0.1693317910890801,0.10306906933107,0.06626272175801011,LOSS
195652,later,B2,0.1391419137467811,0.0758787836257261,0.06326313012105499,LOSS
195659,later,B2,0.1308391260664134,0.1602002638504755,-0.029361137784062102,WIN
155537,earlier,B3,0.0881634176028925,0.0543023069441043,0.03386111065878819,LOSS
159310,earlier,B3,0.1024085998029482,0.1188406160697255,-0.016432016266777302,WIN
160717,earlier,B3,0.3667649468845722,0.5825744451608965,-0.21580949827632434,WIN
160719,earlier,B3,0.1743859588532056,0.1742580653470025,0.00012789350620309725,TIE
160721,earlier,B3,0.1477670102128884,0.2375427978263988,-0.0897757876135104,WIN
161136,earlier,B3,0.3507506315519817,0.6648288343287756,-0.3140782027767939,WIN
161145,earlier,B3,0.1348071042439103,0.1031821036411024,0.03162500060280789,LOSS
161414,earlier,B3,0.1316860054311389,0.1600151547785339,-0.028329149347395,WIN
165017,earlier,B3,0.2002137627391678,0.2198156557142685,-0.019601892975100704,WIN
165026,earlier,B3,0.1649247648569792,0.1869956606653376,-0.022070895808358387,WIN
165027,earlier,B3,0.1190299581843449,0.0937526734713824,0.025277284712962506,LOSS
165029,earlier,B3,0.1546676472311377,0.1128814171799284,0.04178623005120931,LOSS
165031,earlier,B3,0.3144382275033943,0.1547988837076923,0.159639343795702,LOSS
165043,earlier,B3,0.1597994106811542,0.2575010160910153,-0.09770160540986109,WIN
165860,earlier,B3,0.1011016505227557,0.0801753282156556,0.020926322307100106,LOSS
165955,earlier,B3,0.1935103166218603,0.1329226050906131,0.0605877115312472,LOSS
165965,earlier,B3,0.1897777329274167,0.1132815553336194,0.0764961775937973,LOSS
170394,earlier,B3,0.2196926846708603,0.2677463549864536,-0.048053670315593294,WIN
170411,earlier,B3,0.1236438541971501,0.1366026664784562,-0.012958812281306104,WIN
186997,earlier,B3,0.2431984910921842,0.2045707498630594,0.038627741229124796,LOSS
187018,earlier,B3,0.3085991152311767,1.0005515138831895,-0.6919523986520129,WIN
187019,earlier,B3,11.952633158377472,0.8460346923831442,11.106598465994328,LOSS
187021,earlier,B3,0.2339909427410042,1.6735848870903738,-1.4395939443493695,WIN
187022,earlier,B3,11.766571685014748,0.9824483744091538,10.784123310605594,LOSS
189646,later,B3,0.2402300600201362,0.4413583656170429,-0.2011283055969067,WIN
189649,later,B3,0.1374895379814073,0.3137927735792948,-0.1763032355978875,WIN
189650,later,B3,0.1699439778423281,0.553676804933568,-0.3837328270912399,WIN
189652,later,B3,0.1781385530057603,0.2520638794234991,-0.07392532641773883,WIN
195261,later,B3,0.1697792788135332,0.1873826632230843,-0.017603384409551115,WIN
195265,later,B3,0.1880751743690242,0.4683539244177681,-0.28027875004874386,WIN
195266,later,B3,0.2512944925106523,0.3091985417924008,-0.057904049281748526,WIN
195268,later,B3,0.2617329850600386,0.3218717795965692,-0.06013879453653059,WIN
195269,later,B3,0.2077212378630986,0.1450991867036053,0.06262205115949329,LOSS
195274,later,B3,0.499649267736147,0.5841652253693116,-0.0845159576331646,WIN
195626,later,B3,0.1402416861252779,0.0460237988052605,0.0942178873200174,LOSS
195642,later,B3,0.0801776221388742,0.0524428255806712,0.027734796558202997,LOSS
195645,later,B3,0.1211655672429321,0.1062175537584634,0.014948013484468711,LOSS
195648,later,B3,0.0504973280382959,0.0367345313098245,0.013762796728471402,LOSS
195649,later,B3,0.1013440042194344,0.0963025606148097,0.005041443604624704,TIE
195651,later,B3,0.1693317910890801,0.1328723943292926,0.036459396759787516,LOSS
195652,later,B3,0.1391419137467811,0.0841225115950733,0.055019402151707794,LOSS
195659,later,B3,0.1308391260664134,0.1595972250640599,-0.028758098997646503,WIN
155537,earlier,H0,0.0881634176028925,0.0819241722799428,0.006239245322949699,TIE
159310,earlier,H0,0.1024085998029482,0.0848970053587876,0.017511594444160603,LOSS
160717,earlier,H0,0.3667649468845722,0.5005732749222361,-0.13380832803766396,WIN
160719,earlier,H0,0.1743859588532056,0.1826371394630611,-0.008251180609855496,TIE
160721,earlier,H0,0.1477670102128884,0.2075278620051441,-0.05976085179225568,WIN
161136,earlier,H0,0.3507506315519817,0.3263262280495477,0.024424403502434022,LOSS
161145,earlier,H0,0.1348071042439103,0.0835039791550174,0.0513031250888929,LOSS
161414,earlier,H0,0.1316860054311389,0.1686575216828292,-0.03697151625169029,WIN
165017,earlier,H0,0.2002137627391678,0.2168633707237625,-0.016649607984594694,WIN
165026,earlier,H0,0.1649247648569792,0.1866521093130828,-0.02172734445610358,WIN
165027,earlier,H0,0.1190299581843449,0.1663786701395826,-0.047348711955237696,WIN
165029,earlier,H0,0.1546676472311377,0.1785882292658492,-0.02392058203471148,WIN
165031,earlier,H0,0.3144382275033943,0.196242835677721,0.11819539182567329,LOSS
165043,earlier,H0,0.1597994106811542,0.3908895972883459,-0.2310901866071917,WIN
165860,earlier,H0,0.1011016505227557,0.1235540546794593,-0.022452404156703604,WIN
165955,earlier,H0,0.1935103166218603,0.1393367962789394,0.05417352034292089,LOSS
165965,earlier,H0,0.1897777329274167,0.0888652693542389,0.1009124635731778,LOSS
170394,earlier,H0,0.2196926846708603,0.1706546049998952,0.0490380796709651,LOSS
170411,earlier,H0,0.1236438541971501,0.245003549573638,-0.12135969537648791,WIN
186997,earlier,H0,0.2431984910921842,0.2688211307336695,-0.025622639641485284,WIN
187018,earlier,H0,0.3085991152311767,0.469300430826512,-0.1607013155953353,WIN
