shot_id,era,block,max_abs_z_protected,worst_coordinate,worst_constructor,mean_abs_z_protected,n_coordinates_above_10_sigma,REL_nrmse_discharge
195268,later,A,6.5335349361293344,"RATIO(fs03da,prmtan_neped)",C3,0.8312825685201966,0,0.2617329850600386
195268,later,B,6.14420740744367,"RATIO(fs03da,prmtan_neped)",C3,1.0124436440168019,0,0.2617329850600386
195268,later,C,4.833486993313024,"RATIO(fs03da,prmtan_neped)",C3,0.6585081766732832,0,0.2617329850600386
195269,later,A,1.7046485791867432,"PROD(ece37,ece39)",C2,0.6514480713785848,0,0.2077212378630986
195269,later,B,12.3698166710327,"PROD(prmtan_neped,prmtan_neped)",C2,0.8135378359532729,1,0.2077212378630986
195269,later,C,1.9225568714577965,"PROD(prmtan_neped,prmtan_neped)",C2,0.406933234148247,0,0.2077212378630986
195274,later,A,2.1285752506613087,"PROD(prmtan_neped,prmtan_neped)",C2,0.6592547380410665,0,0.499649267736147
195274,later,B,6.775728291270605,"RATIO(ip,ece22)",C3,1.4458379835449984,0,0.499649267736147
195274,later,C,2.6416522966907734,"RATIO(fs03da,prmtan_neped)",C3,0.5035410510638019,0,0.499649267736147
195626,later,A,2.42555607915958,"PROD(pinj,cerqrott6)",C2,0.7825472216663869,0,0.1402416861252779
195626,later,B,1.6329010956981291,"PROD(pinj,cerqrott6)",C2,0.521541876117177,0,0.1402416861252779
195626,later,C,1.6614523062142343,"PROD(pinj,cerqrott6)",C2,0.5610701339903642,0,0.1402416861252779
195642,later,A,2.0985194302249996,"PROD(pinj,cerqrott6)",C2,1.069068833320382,0,0.0801776221388742
195642,later,B,2.8203403100652507,"PROD(prmtan_neped,prmtan_neped)",C2,0.7649724702897959,0,0.0801776221388742
195642,later,C,1.3374697826685296,"PROD(prmtan_neped,prmtan_neped)",C2,0.5669433332440085,0,0.0801776221388742
195645,later,A,2.492230255517979,"PROD(prmtan_neped,prmtan_neped)",C2,1.1052272196204216,0,0.1211655672429321
