shot_id,era,block,n_calibration,n_protected,scale,scale_valid,y_protected_finite,relational_applicable,domain_failure,relational_nonfinite_construction,B1A_a,B1A_phi,REL_rmse,REL_mse,REL_nrmse,REL_finite,B0_rmse,B0_mse,B0_nrmse,B0_finite,B1_rmse,B1_mse,B1_nrmse,B1_finite,B1A_rmse,B1A_mse,B1A_nrmse,B1A_finite,B2_rmse,B2_mse,B2_nrmse,B2_finite,B3_rmse,B3_mse,B3_nrmse,B3_finite,H0_rmse,H0_mse,H0_nrmse,H0_finite,all_methods_finite,comparison_eligible,ineligible_reason
187019,earlier,C,454,57,7.996747411254093e+18,True,True,True,,False,1.9127053654076008e-20,1.0014917599110613,1.639879231430291e+18,2.6892038936764015e+36,0.2050682792759508,True,1.406162007646697e+19,1.97729159174899e+38,1.758417435653598,True,1.2152240291455608e+18,1.476769441012771e+36,0.15196478851330666,True,2.361381631817404e+18,5.576123211084625e+36,0.2952927622165672,True,1.330226793216139e+19,1.769503321390093e+38,1.6634598103524765,True,6.935049300133507e+18,4.809490879528224e+37,0.8672337568613931,True,1.3350496008166943e+19,1.7823574366408145e+38,1.6694907718828706,True,True,True,
187021,earlier,A,199,50,4.964720896709609e+18,True,True,True,,False,2.531092767968596e-20,1.0021884496709048,1.7634434420303306e+18,3.10973277323978e+36,0.35519487977643627,True,4.4625474359674214e+18,1.9914329618259405e+37,0.8988516230439045,True,1.9601080844604846e+18,3.8420237027673506e+36,0.3948073064408424,True,9.688702336921171e+17,9.387095297346175e+35,0.19515099717574055,True,1.6991452770668815e+18,2.88709467257869e+36,0.34224386675855184,True,8.432150868826265e+18,7.110116827464753e+37,1.6984138774879993,True,1.743654327458119e+18,3.040330413663425e+36,0.35120893273451353,True,True,True,
187021,earlier,B,299,50,5.061472779477438e+18,True,True,True,,False,2.4093468406856828e-20,1.0017974029317007,7.120911883186985e+17,5.070738604811361e+35,0.14068853461110917,True,7.566896874471302e+18,5.725792830888356e+37,1.4949990258077672,True,1.4809867083716508e+18,2.1933216303734972e+36,0.2925999551704696,True,1.2059809138142815e+18,1.454389964484329e+36,0.23826679829320163,True,5.948523342355794e+17,3.538492995455174e+35,0.11752554249575431,True,5.481335699538436e+18,3.0045041051034516e+37,1.0829527171939757,True,6.164256700691884e+17,3.799806067202479e+35,0.12178780701312593,True,True,True,
187021,earlier,C,399,50,5.783133261283182e+18,True,True,True,,False,2.2822802960045586e-20,1.0014671579409589,1.1918425439502446e+18,1.4204886495697906e+36,0.2060894138354672,True,5.961190905114692e+18,3.553579700722212e+37,1.0307891303531889,True,2.4797716556694236e+18,6.149267464261474e+36,0.42879379458034544,True,4.614942196013106e+18,2.1297691472542267e+37,0.7980003205025794,True,4.893167319805685e+18,2.394308641961435e+37,0.846110075409186,True,1.295067961281233e+19,1.6772010243371292e+38,2.2393880665891466,True,5.362319414637377e+18,2.875446950459693e+37,0.927234281550615,True,True,True,
187022,earlier,A,228,57,6.229516673878254e+18,True,True,True,,False,2.222240311064781e-20,1.0020645690439174,1.1947091657630456e+18,1.4273299907582323e+36,0.19178199984161315,True,3.8550689566472433e+18,1.4861556660505265e+37,0.6188391746044124,True,6.673027907335007e+17,4.4529301452071825e+35,0.10711951274352462,True,3.4658361732571715e+18,1.2012020379857913e+37,0.5563571549282775,True,5.172376579488001e+17,2.6753479480035994e+35,0.08303014263011647,True,2.921422047964141e+18,8.534706782330996e+36,0.46896448005578223,True,1.0498608721876339e+18,1.1022078509505794e+36,0.16853006856694575,True,True,True,
187022,earlier,B,342,57,5.561633532543141e+18,True,True,True,,False,2.15704223559615e-20,1.0014195958074938,1.9334312027512688e+20,3.7381562157722175e+40,34.76372888357457,True,6.864065616084813e+18,4.711539678191778e+37,1.2341815720005045,True,2.403518609981299e+18,5.776901708526436e+36,0.4321605506579025,True,6.062296143435227e+17,3.6751434530709624e+35,0.10900207839949409,True,3.521959647114954e+18,1.2404199755906094e+37,0.6332599274128162,True,1.001865511648611e+19,1.0037345034309329e+38,1.8013871388438871,True,3.6637582730128963e+18,1.3423124683070441e+37,0.6587557866901719,True,True,True,
187022,earlier,C,456,57,5.881327793352751e+18,True,True,True,,False,2.068956957389741e-20,1.0011301759199738,2.0243775611840668e+18,4.0981045102255505e+36,0.3442041716280595,True,6.455297963891112e+18,4.1670871802616735e+37,1.0975919368390041,True,9.654681725274273e+17,9.321287921634502e+35,0.16415819802096862,True,2.4601901307636495e+18,6.052535479506864e+36,0.41830522242685203,True,7.497582064977543e+18,5.621373682107292e+37,1.2748111189196987,True,3.9816207129223194e+18,1.5853303501572037e+37,0.676993504327792,True,7.397897922217565e+18,5.472889366755097e+37,1.2578618608163425,True,True,True,
189646,later,A,235,59,1.4511512663760194e+19,True,True,True,,False,2.6706739784903727e-20,1.0034491348248806,2.9653351511632184e+18,8.793212558724187e+36,0.20434362839158676,True,2.091323064178635e+19,4.373632158765516e+38,1.4411475306784012,True,6.18104914964071e+18,3.820536859027414e+37,0.4259410643713754,True,1.1969699858687357e+18,1.4327371470706017e+36,0.0824841636845996,True,2.35078723711397e+19,5.526200634177931e+38,1.6199463774611342,True,2.0363146123816873e+18,4.146577200599181e+36,0.14032407644635178,True,2.885783129398623e+19,8.32774426992171e+38,1.988616346389119,True,True,True,
189646,later,B,353,59,1.5901812648964608e+19,True,True,True,,False,2.2366212795069867e-20,1.0022716465074395,6.168884100848541e+18,3.8055131049701914e+37,0.3879359062408653,True,1.867651570000734e+19,3.488122386926205e+38,1.1744897334847795,True,2.269256163499558e+18,5.149523535580732e+36,0.14270424470428614,True,2.617502651675855e+18,6.85132013153013e+36,0.16460404291370423,True,7.715980820240341e+18,5.95363600183168e+37,0.4852264952789983,True,1.668398786243801e+19,2.7835545099397883e+38,1.0491878020915013,True,7.755051385130179e+18,6.014082198600951e+37,0.48768348340685064,True,True,True,
189646,later,C,471,59,1.6009157708015118e+19,True,True,True,,False,2.0478721259728562e-20,1.0014540953262412,2.0557462740441687e+18,4.226092743246482e+36,0.12841064542795666,True,1.0987180514446676e+19,1.2071813565703672e+38,0.6863059702976037,True,3.08479696276724e+18,9.515972301497989e+36,0.19268952302361358,True,5.967900678001425e+18,3.561583850248988e+37,0.3727804289799423,True,2.8416312695530404e+18,8.074868272101625e+36,0.17750036081725612,True,2.154243783675299e+18,4.6407662795036685e+36,0.13456321831327572,True,2.666330188664379e+18,7.109316674983023e+36,0.16655031059688158,True,True,True,
