shot_id,era,n_eligible_blocks,blocks,evaluable,REL_nrmse,REL_mse,REL_rmse,B0_nrmse,B0_mse,B0_rmse,B1_nrmse,B1_mse,B1_rmse,B1A_nrmse,B1A_mse,B1A_rmse,B2_nrmse,B2_mse,B2_rmse,B3_nrmse,B3_mse,B3_rmse,H0_nrmse,H0_mse,H0_rmse,S_pers_REL,S_pers_undefined
195261,later,3,ABC,True,0.16977927881353325,2.9128150688673367e+36,1.5080624968276554e+18,0.8312987937603137,5.4965025883845965e+37,7.2941086284537e+18,0.17555612097362483,2.617018014361364e+36,1.543230108573814e+18,0.21567221144320317,3.9755068756227126e+36,1.8900819151627753e+18,0.16561912768806644,3.3604207645440176e+36,1.4802934809682908e+18,0.1873826632230843,5.511844364021693e+36,1.6892302156377577e+18,0.17459136693255717,3.9866159555363125e+36,1.5645183676016558e+18,-0.11302828367352924,False
195265,later,3,ABC,True,0.1880751743690242,2.945091954797643e+36,1.6250891229337907e+18,1.1131575026295566,1.0198870712891166e+38,9.624611947110277e+18,0.4316920031638589,1.4584074323972476e+37,3.765838287472875e+18,0.5735089520068943,2.630406230905857e+37,4.95060251918565e+18,0.22485353732438837,4.304119337615458e+36,1.946677385482494e+18,0.46835392441776813,2.1068052605878514e+37,4.048792884998247e+18,0.22288170770255045,4.2904602850140905e+36,1.9290699914108838e+18,0.7980610980597742,False
195266,later,3,ABC,True,0.25129449251065233,4.8385021481033603e+36,1.999542272814121e+18,1.2670768773451366,1.1924639363380245e+38,1.0087088365385925e+19,0.43026013763228743,1.2162985363483792e+37,3.4692569782125317e+18,0.49486361378631827,2.185630966363672e+37,3.9365867717026186e+18,0.21344015576459952,3.3640231911198754e+36,1.7003883815131494e+18,0.30919854179240086,7.233653020472716e+36,2.4614118286496814e+18,0.21596776611214927,3.439274531074518e+36,1.721215355214663e+18,0.6021945267952301,False
195268,later,3,ABC,True,0.2617329850600386,7.634704772326049e+36,2.5849695471701765e+18,1.1143911581698183,1.3927369422904009e+38,1.139419316096504e+19,0.32065791342110056,1.173568407528047e+37,3.1188994656628424e+18,0.2931147322531499,9.263242797509152e+36,2.9358613100732646e+18,0.3177818665336363,1.444391060235548e+37,3.3011935401293686e+18,0.32187177959656926,1.72329369808934e+37,3.344542631736191e+18,0.31882491634879323,1.4785821557038905e+37,3.317349479828237e+18,0.34944527107648915,False
195269,later,3,ABC,True,0.2077212378630986,4.57617043928747e+36,1.8404598013166216e+18,0.6520366256886133,5.435545961745617e+37,5.83536150556866e+18,0.2750832712876768,9.010804437456337e+36,2.4616194058871076e+18,0.4204266618593457,2.910637159505389e+37,3.7602095758975186e+18,0.14883487201296972,1.9074101493099255e+36,1.3273392978078008e+18,0.14509918670360533,1.7501778182517842e+36,1.2925415042154396e+18,0.14650110607734676,1.8557838242483386e+36,1.3065763874497385e+18,0.49214629270333177,False
195274,later,3,ABC,True,0.49964926773614704,3.8630293463756997e+37,4.922660094432536e+18,0.8847909665477434,9.64695455727074e+37,8.839554268916131e+18,0.35739351937124253,1.6413473570029972e+37,3.5541427010143805e+18,0.3401113954584572,1.3156536791422545e+37,3.4678422579002614e+18,1.256006521899823,3.572733671180409e+38,1.2099922370302257e+19,0.5841652253693116,6.721975055658977e+37,5.675442540094181e+18,1.2323499826771365,3.545998449056065e+38,1.1857559817344035e+19,-1.35357210031968,False
195626,later,3,ABC,True,0.1402416861252779,3.261057603277385e+36,1.8021337832979395e+18,0.517077578402707,4.864313551657058e+37,6.7956119461048e+18,0.12488923678305974,2.993799202796505e+36,1.6139792086129388e+18,0.2535237173122274,1.6465478123203056e+37,3.488288517821626e+18,0.08102242286751092,1.3271768939054234e+36,1.077106473334142e+18,0.04602379880526051,4.297943068198187e+35,6.117085777837477e+17,0.08469363353729037,1.4703115997077877e+36,1.1268669729793624e+18,-0.08927064989236233,False
195642,later,3,ABC,True,0.08017762213887424,2.4306350012109475e+36,1.5248127301165658e+18,0.9026993135002749,3.2813821323205438e+38,1.7171145529224202e+19,0.063347835942887,1.4734231136790485e+36,1.2007528378604815e+18,0.34538624597511863,5.834976391390317e+37,6.57355170652983e+18,0.08482927933668512,2.808672953965995e+36,1.613523069503777e+18,0.0524428255806712,1.2927706077583438e+36,9.974484817228421e+17,0.08095176827966387,2.563031000777751e+36,1.540365504931031e+18,-0.64965173862503,False
195645,later,3,ABC,True,0.12116556724293213,6.55880439390203e+36,2.4174598934028175e+18,0.8204103931914547,3.56976224277801e+38,1.6319756108434512e+19,0.15230453747136424,1.283823280701981e+37,3.06835674735925e+18,0.3538352596062377,6.996330036202237e+37,7.114483989314802e+18,0.21635440595451658,2.303248750111048e+37,4.270248075076575e+18,0.10621755375846348,5.265127695386766e+36,2.1237464298856282e+18,0.21081691704779634,2.0969748789099572e+37,4.159441603516283e+18,0.4891193755019192,False
195648,later,3,ABC,True,0.05049732803829598,1.208598666726877e+36,9.821472351680872e+17,1.0139877619865232,4.071302240404637e+38,1.9374371735480308e+19,0.07412348774273196,2.4641714456333212e+36,1.4393646795604045e+18,0.40773083054382814,6.862377809882691e+37,7.798206573316679e+18,0.07408965981790853,2.0697752932501788e+36,1.4257501582667302e+18,0.036734531309824535,5.384384608219879e+35,7.010300656713871e+17,0.08670737210482297,2.8166135029556976e+36,1.6623339359885043e+18,0.5095314212537461,False
195649,later,3,ABC,True,0.10134400421943444,5.0408859236643985e+36,1.9307784204625334e+18,0.9349622963837559,3.400713310886073e+38,1.7826030554889773e+19,0.07406065139566194,2.0607028076745798e+36,1.399236518212239e+18,0.35230775540150105,4.93856088158951e+37,6.72479380475943e+18,0.12634458492932252,7.983436217333849e+36,2.4163293522926106e+18,0.09630256061480975,5.695045611135505e+36,1.8441079946673856e+18,0.1267758342042128,8.097312311566991e+36,2.426162353385317e+18,-1.4461974355986031,False
195651,later,3,ABC,True,0.16933179108908017,1.0463836466712906e+37,2.678081291507526e+18,0.9380591333802256,2.283122561960173e+38,1.4718775141051451e+19,0.12442272137542315,4.6319626203568677e+36,1.925544932327118e+18,0.3611633872228153,3.3764196540674824e+37,5.6347660003774e+18,0.10306906933107,3.0680137334487215e+36,1.6107963581808407e+18,0.13287239432929263,8.05251465943361e+36,2.0893613025027904e+18,0.10442702467122696,3.1596107723646243e+36,1.6309750601637798e+18,-1.2590502826438446,False
195652,later,3,ABC,True,0.13914191374678112,5.804181448343616e+36,2.2816532371338248e+18,0.7518216571204341,1.987454548556205e+38,1.2368711999574944e+19,0.10901002965027773,3.6158885244993555e+36,1.7878438217451182e+18,0.3231619510637663,3.1262126570076234e+37,5.297773065002687e+18,0.07587878362572617,1.7367294483188484e+36,1.2410886799771057e+18,0.08412251159507335,3.2679661124025794e+36,1.396270502095926e+18,0.07233048366168536,1.5536042285449097e+36,1.182763850108591e+18,-0.6051881602592395,False
195659,later,3,ABC,True,0.1308391260664134,5.570377090688522e+36,2.2347766338969334e+18,1.1768165843817109,4.52367775390789e+38,2.0138992981822198e+19,0.13785390395694044,6.220936437263363e+36,2.355201492724763e+18,0.33297474402572985,3.8876418246451084e+37,5.634121602957526e+18,0.1602002638504755,8.814125730282281e+36,2.7175151989986816e+18,0.15959722506405996,1.1543148195409836e+37,2.6363958016866063e+18,0.14659346013131064,7.12314194750897e+36,2.4990593979907466e+18,0.10457579066038913,False
