support_id,support_size,is_C_dev_star,development_bootstrap_selection_frequency,n_atoms,contains_PROD_gasa_gasa,contains_prmtan_neped_atom,n_prmtan_neped_atoms,contains_pcdiamag3,n_discharges_evaluable,n_blocks_eligible,n_blocks_not_applicable,not_applicable_reasons,full_domain,mean_nrmse,median_nrmse,max_discharge_nrmse,Delta_0,Delta_1,V3_STYLE_PASS,mean_nrmse_earlier,mean_nrmse_later,median_nrmse_earlier,median_nrmse_later,Delta_1_earlier,Delta_1_later
"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(gasa,ece1)|PROD(gasc,pinj)|PROD(ip,prmtan_neped)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,ece39)|RATIO(ece25,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RECIP(bt)|RECIP(cerqtit10)",12,False,0.012,12,False,True,3,True,42,126,0,,True,0.20806160321962258,0.16403683373731154,0.6694698778723969,-0.7143982017522712,-0.0022126128921059994,False,0.2153239817225219,0.19837843188242335,0.1934791618754578,0.14775312829335877,0.004948878851113877,-0.011761268549732503
"ID(pcdiamag3)|LEVEL_RATE(cerqrott12|ece33)|PROD(fs03da,cerqtit11)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,ece39)|RATIO(ece25,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RECIP(bt)|RECIP(cerqtit10)",12,False,0.011,12,False,True,3,True,42,126,0,,True,0.20354484881960758,0.16508185208957427,0.6027876860630141,-0.7189149561522862,-0.006729367292120935,False,0.21479269835602732,0.18854771610438129,0.19212373963190194,0.14022137884572983,0.004417595484619309,-0.021591984327774594
"ID(pcdiamag3)|ID(prmtan_neped)|PROD(bt,cerqtit6)|PROD(ece37,ece39)|PROD(gasa,gasa)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,prmtan_neped)|RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RECIP(cerqtit10)|RECIP(prmtan_neped)",12,False,0.011,12,True,True,5,True,42,126,0,,True,0.7403250118655015,0.17005357124926096,11.887640772253429,-0.182134793106392,0.5300507957537731,False,1.1605422653774233,0.18003534051627296,0.18210541179890224,0.1696326269770584,0.9501671625060152,-0.030104359915882936
"ID(pcdiamag3)|PROD(ece37,ece39)|PROD(fs04,pinj)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,ece39)|PROD(prmtan_neped,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(gasa,ece6)|RATIO(ip,bt)|RATIO(ip,ece22)",12,False,0.011,12,False,True,4,True,42,126,0,,True,0.401980370909378,0.14907915270118235,8.000126638075734,-0.5204794340625157,0.19170615479764955,False,0.5706531874194769,0.17708328222924619,0.1602296585441858,0.1413685443697012,0.3602780845480689,-0.0330564182029097
"ID(pcdiamag3)|ID(prmtan_neped)|PROD(ece37,ece39)|PROD(ece39,cerqtit10)|PROD(prmtan_neped,cerqtit6)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(ip,bt)|RATIO(ip,ece22)|RATIO(pinj_33r,cerqtit10)|RATIO(prmtan_neped,cerqtit10)|RECIP(bt)",12,False,0.01,12,False,True,4,True,42,126,0,,True,0.18671503182863453,0.16943226325736682,0.44491664947664167,-0.7357447731432591,-0.023559184283093993,True,0.2016247523888384,0.1668354044150294,0.1854122809893725,0.13423065674085927,-0.008750350482569615,-0.0433042960171265
"ID(pcdiamag3)|PROD(bt,bt)|PROD(fs03da,cerqtit11)|PROD(gasa,cerqtit6)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|PROD(prmtan_neped,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RATIO(prmtan_neped,cerqtit10)",11,False,0.01,11,False,True,5,True,42,126,0,,True,0.200608746907244,0.1722698329811404,0.6570816911926971,-0.7218510580646497,-0.009665469204484488,False,0.22851600742481193,0.1633990662171535,0.18270769046719496,0.1530730140102492,0.018140904553403923,-0.046740634215002366
"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(gasa,cerqtit6)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|PROD(prmtan_neped,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RATIO(prmtan_neped,cerqtit10)",10,False,0.009,10,False,True,5,True,42,126,0,,True,0.19976591287307624,0.17390503846740885,0.6681462122772707,-0.7226938920988174,-0.010508303238652332,True,0.22593944657381596,0.1648678679387565,0.17589306680930095,0.15217297644952882,0.015564343702407944,-0.045271832493399375
"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(ece25,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RECIP(bt)|RECIP(cerqtit10)",12,False,0.008,12,False,True,3,True,42,126,0,,True,0.1982047924547501,0.16922620446444123,0.5192317389054807,-0.7242550125171435,-0.01206942365697842,True,0.21893254554039743,0.17056778834055367,0.19070252337061896,0.14165175056868945,0.00855744266898942,-0.039571912091602206
"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(gasa,cerqtit6)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(ece25,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RATIO(prmtan_neped,bt)|RECIP(bt)|RECIP(cerqtit10)",12,False,0.008,12,False,True,4,True,42,126,0,,True,0.21967428745297118,0.18136528609800273,0.7924160711124628,-0.7027855175189226,0.009400071341242607,False,0.24121321033249069,0.19095572361361174,0.20524969660040115,0.14514419292690944,0.030838107461082686,-0.019183976818544158
"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(gasa,cerqtit6)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(pinj,cerqrott6)|PROD(pinj,pinj_30l)|PROD(prmtan_neped,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RECIP(bt)|RECIP(cerqtit10)",12,False,0.007,12,False,True,3,True,42,126,0,,True,0.20445323408739535,0.17152265993660448,0.8104482432544374,-0.7180065708844984,-0.005820982024333173,False,0.23578512290436526,0.16267738233143547,0.1972457022918489,0.14128714005380422,0.025410020032957257,-0.047462318100720415
