support_id,support_size,is_C_dev_star,full_domain,Delta_0,Delta_1,V3_STYLE_PASS,mean_nrmse,median_nrmse
"ID(pcdiamag3)|PROD(ece37,ece39)|PROD(fs04,pinj)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,ece39)|PROD(prmtan_neped,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(gasa,ece6)|RATIO(ip,bt)|RATIO(ip,ece22)",12,False,True,-0.5204794340625157,0.19170615479764955,False,0.401980370909378,0.14907915270118235
"ID(pcdiamag3)|ID(prmtan_neped)|PROD(ece37,ece39)|PROD(ece39,cerqtit10)|PROD(prmtan_neped,cerqtit6)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(ip,bt)|RATIO(ip,ece22)|RATIO(pinj_33r,cerqtit10)|RATIO(prmtan_neped,cerqtit10)|RECIP(bt)",12,False,True,-0.7357447731432591,-0.023559184283093993,True,0.18671503182863453,0.16943226325736682
"ID(pcdiamag3)|PROD(bt,bt)|PROD(fs03da,cerqtit11)|PROD(gasa,cerqtit6)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|PROD(prmtan_neped,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RATIO(prmtan_neped,cerqtit10)",11,False,True,-0.7218510580646497,-0.009665469204484488,False,0.200608746907244,0.1722698329811404
"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(gasa,cerqtit6)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|PROD(prmtan_neped,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RATIO(prmtan_neped,cerqtit10)",10,False,True,-0.7226938920988174,-0.010508303238652332,True,0.19976591287307624,0.17390503846740885
"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(ece25,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RECIP(bt)|RECIP(cerqtit10)",12,False,True,-0.7242550125171435,-0.01206942365697842,True,0.1982047924547501,0.16922620446444123
"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(gasa,cerqtit6)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(ece25,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RATIO(prmtan_neped,bt)|RECIP(bt)|RECIP(cerqtit10)",12,False,True,-0.7027855175189226,0.009400071341242607,False,0.21967428745297118,0.18136528609800273
"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(gasa,cerqtit6)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(pinj,cerqrott6)|PROD(pinj,pinj_30l)|PROD(prmtan_neped,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RECIP(bt)|RECIP(cerqtit10)",12,False,True,-0.7180065708844984,-0.005820982024333173,False,0.20445323408739535,0.17152265993660448
"ID(pcdiamag3)|ID(prmtan_neped)|LEVEL_RATE(cerqrott12|ece33)|PROD(ece37,ece39)|PROD(gasa,gasa)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,prmtan_neped)|RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RECIP(cerqtit10)|RECIP(prmtan_neped)",12,False,True,-0.150969720469234,0.5612158683909313,False,0.7714900845026598,0.17268508028440427
"ID(pcdiamag3)|ID(prmtan_neped)|PROD(fs03da,cerqtit11)|PROD(fs04,pinj)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(ece25,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RECIP(bt)|RECIP(cerqtit10)",12,False,True,-0.7169294565679719,-0.004743867707806782,False,0.20553034840392176,0.1804174029548574
"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,ece39)|RATIO(ece22,ece39)|RATIO(ece25,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RECIP(bt)|RECIP(cerqtit10)",12,False,True,-0.7115452302454826,0.0006403586146826563,False,0.21091457472641117,0.15611087404907037
"ID(pcdiamag3)|LEVEL_RATE(cerqrott12|ece33)|PROD(ece37,ece39)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,ece39)|PROD(prmtan_neped,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(gasa,ece6)|RATIO(ip,bt)|RATIO(ip,ece22)",12,False,True,-0.583167074345768,0.12901851451439722,False,0.33929273062612575,0.15237680916049387
