coordinate_id,group,n_supports,share,group_size,in_C_dev_star
"RATIO(ece16,cerqtit10)",FULL_DOMAIN,15,0.07042253521126761,213,False
"RATIO(ip,cerqtit10)",FULL_DOMAIN,15,0.07042253521126761,213,False
"PROD(fs03da,ece39)",FULL_DOMAIN,14,0.06572769953051644,213,False
"RATIO(pinj,bt)",FULL_DOMAIN,14,0.06572769953051644,213,False
LEVEL_RATE(cerqrott12|ece33),FULL_DOMAIN,13,0.06103286384976526,213,False
"PROD(pinj,pinj_30l)",FULL_DOMAIN,13,0.06103286384976526,213,False
"RATIO(pinj_33r,cerqtit10)",FULL_DOMAIN,13,0.06103286384976526,213,False
"RATIO(prmtan_teped,prmtan_neped)",FULL_DOMAIN,12,0.056338028169014086,213,False
ID(ece39),FULL_DOMAIN,11,0.051643192488262914,213,False
ID(cerqtit6),FULL_DOMAIN,10,0.046948356807511735,213,True
"RATIO(gasc,cerqtit10)",FULL_DOMAIN,10,0.046948356807511735,213,False
"PROD(bt,cerqtit6)",FULL_DOMAIN,9,0.04225352112676056,213,False
"RATIO(ece39,bt)",FULL_DOMAIN,8,0.03755868544600939,213,False
"RATIO(fs03da,ece22)",FULL_DOMAIN,7,0.03286384976525822,213,False
ID(pinj),FULL_DOMAIN,6,0.028169014084507043,213,False
"PROD(ece39,cerqtit10)",FULL_DOMAIN,6,0.028169014084507043,213,False
"PROD(fs04,pinj)",FULL_DOMAIN,6,0.028169014084507043,213,False
"PROD(ip,pinj)",FULL_DOMAIN,6,0.028169014084507043,213,False
LEVEL_RATE(prmtan_neped|ece9),FULL_DOMAIN,5,0.023474178403755867,213,False
"PROD(gasa,gasb)",FULL_DOMAIN,5,0.023474178403755867,213,False
RATE_OVER_LEVEL(ece37|cerqtit10),FULL_DOMAIN,5,0.023474178403755867,213,False
"RATIO(ece22,ece39)",FULL_DOMAIN,5,0.023474178403755867,213,False
"RATIO(pinj,ece37)",FULL_DOMAIN,5,0.023474178403755867,213,False
RECIP(ece39),FULL_DOMAIN,5,0.023474178403755867,213,False
LEVEL_RATE(pinj_30r|ece39),FULL_DOMAIN,4,0.018779342723004695,213,False
"PROD(bt,gasd)",FULL_DOMAIN,4,0.018779342723004695,213,False
"PROD(ece37,cerqtit6)",FULL_DOMAIN,4,0.018779342723004695,213,False
"PROD(ip,ece39)",FULL_DOMAIN,4,0.018779342723004695,213,False
"PROD(prmtan_neped,pinj)",FULL_DOMAIN,4,0.018779342723004695,213,False
"PROD(cerqtit8,cerqtit10)",FULL_DOMAIN,3,0.014084507042253521,213,False
"PROD(gasc,pinj)",FULL_DOMAIN,3,0.014084507042253521,213,False
"PROD(prmtan_neped,ece38)",FULL_DOMAIN,3,0.014084507042253521,213,False
RATE_OVER_LEVEL(ip|ece1),FULL_DOMAIN,3,0.014084507042253521,213,False
"RATIO(bt,prmtan_neped)",FULL_DOMAIN,3,0.014084507042253521,213,False
"RATIO(cerqrott3,prmtan_neped)",FULL_DOMAIN,3,0.014084507042253521,213,False
ID(bt),FULL_DOMAIN,2,0.009389671361502348,213,False
ID(ece38),FULL_DOMAIN,2,0.009389671361502348,213,False
ID(gasd),FULL_DOMAIN,2,0.009389671361502348,213,False
LEVEL_RATE(prmtan_neped|ip),FULL_DOMAIN,2,0.009389671361502348,213,False
"PROD(pinj_30l,cerqtit6)",FULL_DOMAIN,2,0.009389671361502348,213,False
"RATIO(cerqtit6,ece22)",FULL_DOMAIN,2,0.009389671361502348,213,False
"RATIO(cerqtit8,ip)",FULL_DOMAIN,2,0.009389671361502348,213,False
ID(prmtan_teped),FULL_DOMAIN,1,0.004694835680751174,213,False
LEVEL_RATE(bt|cerqrott3),FULL_DOMAIN,1,0.004694835680751174,213,False
LEVEL_RATE(cerqrott12|cerqrott3),FULL_DOMAIN,1,0.004694835680751174,213,False
LEVEL_RATE(fs03da|cerqrott6),FULL_DOMAIN,1,0.004694835680751174,213,False
LEVEL_RATE(fs03da|ip),FULL_DOMAIN,1,0.004694835680751174,213,False
"PROD(bt,prmtan_neped)",FULL_DOMAIN,1,0.004694835680751174,213,False
"PROD(fs03da,cerqtit10)",FULL_DOMAIN,1,0.004694835680751174,213,False
"PROD(fs04,fs03da)",FULL_DOMAIN,1,0.004694835680751174,213,False
RATE_OVER_LEVEL(cerqrott3|ece1),FULL_DOMAIN,1,0.004694835680751174,213,False
RATE_OVER_LEVEL(cerqrott3|prmtan_neped),FULL_DOMAIN,1,0.004694835680751174,213,False
RATE_OVER_LEVEL(ece33|ece39),FULL_DOMAIN,1,0.004694835680751174,213,False
RATE_OVER_LEVEL(gasa|ece39),FULL_DOMAIN,1,0.004694835680751174,213,False
"RATIO(bt,ece39)",FULL_DOMAIN,1,0.004694835680751174,213,False
"RATIO(fs03da,cerqtit10)",FULL_DOMAIN,1,0.004694835680751174,213,False
"RATIO(gasd,ip)",FULL_DOMAIN,1,0.004694835680751174,213,False
"RATIO(pinj_33r,prmtan_neped)",FULL_DOMAIN,1,0.004694835680751174,213,False
ID(pcdiamag3),V3_STYLE_FAIL,143,1.0,143,True
"RATIO(ip,ece22)",V3_STYLE_FAIL,122,0.8531468531468531,143,True
"RATIO(fs03da,prmtan_neped)",V3_STYLE_FAIL,107,0.7482517482517482,143,True
"PROD(ip,prmtan_neped)",V3_STYLE_FAIL,100,0.6993006993006993,143,False
"PROD(prmtan_neped,ece39)",V3_STYLE_FAIL,99,0.6923076923076923,143,False
"PROD(ece37,ece39)",V3_STYLE_FAIL,88,0.6153846153846154,143,True
"PROD(pinj,cerqrott6)",V3_STYLE_FAIL,77,0.5384615384615384,143,True
RECIP(cerqtit10),V3_STYLE_FAIL,75,0.5244755244755245,143,True
"PROD(fs03da,cerqtit11)",V3_STYLE_FAIL,70,0.48951048951048953,143,False
"PROD(gasa,ece1)",V3_STYLE_FAIL,69,0.4825174825174825,143,False
"PROD(gasa,gasa)",V3_STYLE_FAIL,67,0.46853146853146854,143,True
"RATIO(ece25,ece39)",V3_STYLE_FAIL,63,0.4405594405594406,143,False
RECIP(bt),V3_STYLE_FAIL,58,0.40559440559440557,143,False
"PROD(prmtan_neped,prmtan_neped)",V3_STYLE_FAIL,54,0.3776223776223776,143,True
"RATIO(ip,bt)",V3_STYLE_FAIL,37,0.25874125874125875,143,False
ID(prmtan_neped),V3_STYLE_FAIL,34,0.23776223776223776,143,True
RECIP(prmtan_neped),V3_STYLE_FAIL,31,0.21678321678321677,143,True
"RATIO(ece21,prmtan_neped)",V3_STYLE_FAIL,30,0.2097902097902098,143,True
"RATIO(gasa,ece6)",V3_STYLE_FAIL,26,0.18181818181818182,143,False
"RATIO(cerqrott12,cerqtit10)",V3_STYLE_FAIL,22,0.15384615384615385,143,False
"RATIO(prmtan_neped,bt)",V3_STYLE_FAIL,17,0.11888111888111888,143,False
"RATIO(prmtan_neped,cerqtit10)",V3_STYLE_FAIL,16,0.11188811188811189,143,False
"PROD(bt,bt)",V3_STYLE_FAIL,15,0.1048951048951049,143,False
LEVEL_RATE(cerqrott12|cerqtit8),V3_STYLE_FAIL,13,0.09090909090909091,143,False
"PROD(fs03da,ece39)",V3_STYLE_FAIL,13,0.09090909090909091,143,False
"RATIO(cerqtit8,ece22)",V3_STYLE_FAIL,13,0.09090909090909091,143,False
"RATIO(ece16,cerqtit10)",V3_STYLE_FAIL,13,0.09090909090909091,143,False
"PROD(gasa,cerqtit6)",V3_STYLE_FAIL,12,0.08391608391608392,143,False
"PROD(pinj,ece36)",V3_STYLE_FAIL,11,0.07692307692307693,143,False
"PROD(prmtan_neped,cerqtit6)",V3_STYLE_FAIL,11,0.07692307692307693,143,False
"RATIO(gasc,cerqtit10)",V3_STYLE_FAIL,10,0.06993006993006994,143,False
ID(ece39),V3_STYLE_FAIL,9,0.06293706293706294,143,False
LEVEL_RATE(cerqrott12|ece33),V3_STYLE_FAIL,9,0.06293706293706294,143,False
"RATIO(prmtan_neped,ece22)",V3_STYLE_FAIL,9,0.06293706293706294,143,False
ID(cerqtit6),V3_STYLE_FAIL,8,0.055944055944055944,143,True
