shot_id,era,block,nrmse,rmse,scale,log10_kappa,active_terms
161414,earlier,B,0.13700355513594603,8.035014809322116e+17,5.86482212184138e+18,1.804040405011668,12
161414,earlier,C,0.09197850862279987,5.034301234838004e+17,5.473345143574212e+18,1.8011661839596909,12
165017,earlier,A,0.3451268489548462,4.449856002902896e+18,1.2893392723221838e+19,1.9375364369540746,12
165017,earlier,B,0.20142288117977036,2.2485223460942134e+18,1.1163192249679927e+19,1.9377231046787786,12
165017,earlier,C,0.12298918598277615,1.2172787922352502e+18,9.897445718566853e+18,1.9308502112658303,12
165022,earlier,A,0.07272696243116597,7.748189767755981e+17,1.0653806385890824e+19,2.0040264161130565,12
165022,earlier,B,0.09549424069047528,9.317595383355592e+17,9.757232808999068e+18,2.0038278737583712,12
165022,earlier,C,0.0737974623262071,6.475754005067859e+17,8.775036161058043e+18,2.004865621082501,12
165026,earlier,A,0.1436014871947075,1.5446451348686968e+18,1.075647031965854e+19,1.8138731390142808,12
165026,earlier,B,0.0894800940794112,9.533662412690246e+17,1.065450646959465e+19,1.8169310035563917,12
165026,earlier,C,0.0901616528533206,8.838242408546551e+17,9.802662361264646e+18,1.8170646984042687,12
165027,earlier,A,0.12926802205635468,1.3941050022902953e+18,1.0784608444635535e+19,1.9914494342783022,12
165027,earlier,B,0.07986951224259534,8.23271128734771e+17,1.0307701970611397e+19,1.9881225186271925,12
165027,earlier,C,0.12051359572087111,1.1559189453523064e+18,9.591606145663439e+18,1.9849440145343218,12
165028,earlier,A,0.051906412177044,5.875147334017906e+17,1.1318731323557427e+19,1.9366602814802119,12
165028,earlier,B,0.17094754867182121,1.8484103296370578e+18,1.081273375370575e+19,1.8733129493918173,12
165028,earlier,C,0.09618129010652131,9.750082682982501e+17,1.0137192662090756e+19,1.8161736883963786,12
165029,earlier,A,0.1935782775070119,1.9212359172261988e+18,9.924852839733563e+18,1.901561431011161,12
165029,earlier,B,0.09401022357964689,8.563147217816726e+17,9.108740402645567e+18,1.8848950494893912,12
165029,earlier,C,0.1255561623775193,1.0128497171474543e+18,8.066905661723252e+18,1.8493676795892562,12
165031,earlier,A,0.26726627779833095,2.8439326081687404e+18,1.0640820950537818e+19,1.8658622588139668,12
165031,earlier,B,0.13681686974849142,1.3651892835180306e+18,9.978223343566035e+18,1.8718933565026532,12
165031,earlier,C,0.15202971863221415,1.377678676853772e+18,9.061903746507694e+18,1.8355733848486302,12
165042,earlier,A,0.1346573388989575,1.5173689872323912e+18,1.1268371999917328e+19,1.8327079125962225,12
165042,earlier,B,0.10579126232827483,1.1347143296244209e+18,1.072597400438756e+19,1.8227900425075323,12
165042,earlier,C,0.1107298995794783,1.094527134796009e+18,9.884657522066956e+18,1.8171453921710745,12
165043,earlier,A,0.13728700411157932,1.4074057530288704e+18,1.0251558493366266e+19,1.9510366109442268,12
165043,earlier,B,0.10620231697319771,1.013023047323236e+18,9.53861531645202e+18,1.8770439781015116,12
165043,earlier,C,0.08471774605452542,7.7394101918025e+17,9.135524199169931e+18,1.8207893941884583,12
165860,earlier,A,0.11832399118557677,1.2103198987475692e+18,1.022886302786499e+19,1.966621307915075,12
165860,earlier,B,0.07292492900469043,7.4919378963946e+17,1.0273493575719119e+19,1.9708936994230704,12
165860,earlier,C,0.1016246520794344,9.723818279434426e+17,9.56836562828658e+18,1.9727603162831135,12
165861,earlier,A,0.10555464104281224,1.1944585198804186e+18,1.1316020859717143e+19,2.000832001601657,12
165861,earlier,B,0.1367512696910364,1.6052926197772142e+18,1.1738776710476392e+19,2.001286938141142,12
165861,earlier,C,0.05981764738894355,6.555267378894772e+17,1.0958751580902898e+19,2.0063431763995014,12
165955,earlier,A,0.20329221581880344,2.0874713879954657e+18,1.0268329161486692e+19,1.8971711994686764,12
165955,earlier,B,0.36631674348860443,3.2631053513382636e+18,8.907879340327708e+18,1.8692289254019678,12
165955,earlier,C,0.16541010694998246,1.2764324047491587e+18,7.716773952241823e+18,1.862530865135461,12
165965,earlier,A,0.31430440583591795,3.39751546591802e+18,1.0809633599891968e+19,2.141515795865869,12
165965,earlier,B,0.18869210361736366,1.776959223443146e+18,9.4172421069963e+18,2.134745937519377,12
165965,earlier,C,0.12802548087568927,1.0692646853862198e+18,8.351967733864315e+18,2.138139474397617,12
170394,earlier,A,0.15753504925805714,1.916700698179784e+18,1.2166820699310215e+19,1.6812243304913925,12
170394,earlier,B,0.0786763013885592,9.288957323183621e+17,1.1806550586698506e+19,1.6449581946502239,12
170394,earlier,C,0.2141890856058036,2.445192042833344e+18,1.1416044080479e+19,1.6499948565651232,12
170396,earlier,A,0.10906528262088519,1.31849684787385e+18,1.2089060938456394e+19,1.7100796398885014,12
170396,earlier,B,0.060329854602638476,6.797604444787482e+17,1.126739735999661e+19,1.6147384251048003,12
170396,earlier,C,0.12285442702311355,1.252220576892664e+18,1.0192718384149674e+19,1.6559355126511042,12
170411,earlier,A,0.2019059995728935,2.309812644134968e+18,1.144003966707816e+19,1.6873530499501979,12
