candidate,shot,cohort,target_source_dt_ms,coarsest_predictor_source_dt_ms,binding_signal,required_analysis_dt_ms,n_grid_samples,validation_feasible
ece6,165955,external,0.19999184505606524,5.858854860186418,cerqrott3,5.858854860186418,734,True
ece6,165965,external,0.1999918367346939,7.032786885245901,cerqrott13,7.032786885245901,610,True
ece6,170394,external,0.19999203155504205,13.887240356083087,prmtan_teped,13.887240356083087,331,True
ece6,170411,external,0.19999203155504205,14.186746987951807,prmtan_teped,14.186746987951807,325,True
ece6,186997,external,0.1999933277731443,8.683001531393568,prmtan_teped,8.683001531393568,618,True
ece6,187018,external,0.19999333866240343,9.980039920159681,cerqrott3,9.980039920159681,500,True
ece6,187019,external,0.19999297012302286,8.248847926267281,prmtan_teped,8.248847926267281,568,True
ece6,187021,external,0.19999333866240343,10.0,cerqrott3,10.0,499,True
ece6,187022,external,0.19999297012302286,8.211009174311927,prmtan_teped,8.211009174311927,570,True
ece6,189646,external,0.19999213341724356,7.402376910016978,cerqrott8,7.402376910016978,589,True
ece6,189649,external,0.19999213341724356,7.230514096185738,cerqrott8,7.230514096185738,604,True
ece6,189650,external,0.19999213341724356,7.389830508474576,cerqrott8,7.389830508474576,591,True
ece6,189652,external,0.1999918367346939,6.413043478260869,cerqrott8,6.413043478260869,644,True
ece6,195261,external,0.19999334973731464,6.682408500590319,prmtan_teped,6.682408500590319,790,True
ece6,195265,external,0.19999334973731464,6.900726392251816,prmtan_teped,6.900726392251816,766,True
ece6,195266,external,0.19999334973731464,6.835138387484958,prmtan_teped,6.835138387484958,773,True
ece6,195268,external,0.1999934210526316,6.869047619047619,prmtan_teped,6.869047619047619,779,True
ece6,195269,external,0.19999334973731464,6.761904761904762,prmtan_teped,6.761904761904762,781,True
ece6,195274,external,0.19999334973731464,7.033112582781457,cerqrott8,7.033112582781457,751,True
ece6,195626,external,0.19999272065514104,6.666666666666667,prmtan_teped,6.666666666666667,760,True
ece6,195642,external,0.1999923041403725,6.829608938547486,prmtan_teped,6.829608938547486,700,True
ece6,195645,external,0.19999229850976166,6.815642458100559,prmtan_teped,6.815642458100559,699,True
