realization_index,shot,a_rel,b_rel,class,fraction,count
22,165955,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
22,165955,0.1,0.1,REGULAR,0.949,949
22,165955,0.1,0.1,POLE_LIKE,0.05,50
22,165955,0.1,0.1,JOINTLY_SMALL,0.001,1
22,165955,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
22,165955,0.25,0.25,REGULAR,0.869,869
22,165955,0.25,0.25,POLE_LIKE,0.13,130
22,165955,0.25,0.25,JOINTLY_SMALL,0.001,1
22,165955,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
23,165965,0.05,0.05,REGULAR,0.98,980
23,165965,0.05,0.05,POLE_LIKE,0.017,17
23,165965,0.05,0.05,JOINTLY_SMALL,0.003,3
23,165965,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
23,165965,0.1,0.1,REGULAR,0.96,960
23,165965,0.1,0.1,POLE_LIKE,0.029,29
23,165965,0.1,0.1,JOINTLY_SMALL,0.011,11
23,165965,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
23,165965,0.25,0.25,REGULAR,0.894,894
23,165965,0.25,0.25,POLE_LIKE,0.052,52
23,165965,0.25,0.25,JOINTLY_SMALL,0.054,54
23,165965,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
24,170394,0.05,0.05,REGULAR,0.998,998
24,170394,0.05,0.05,POLE_LIKE,0.002,2
24,170394,0.05,0.05,JOINTLY_SMALL,0.0,0
24,170394,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
24,170394,0.1,0.1,REGULAR,0.99,990
24,170394,0.1,0.1,POLE_LIKE,0.01,10
24,170394,0.1,0.1,JOINTLY_SMALL,0.0,0
24,170394,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
24,170394,0.25,0.25,REGULAR,0.984,984
24,170394,0.25,0.25,POLE_LIKE,0.016,16
24,170394,0.25,0.25,JOINTLY_SMALL,0.0,0
24,170394,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
25,170396,0.05,0.05,REGULAR,0.988,988
25,170396,0.05,0.05,POLE_LIKE,0.012,12
25,170396,0.05,0.05,JOINTLY_SMALL,0.0,0
25,170396,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
25,170396,0.1,0.1,REGULAR,0.98,980
25,170396,0.1,0.1,POLE_LIKE,0.02,20
25,170396,0.1,0.1,JOINTLY_SMALL,0.0,0
25,170396,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
25,170396,0.25,0.25,REGULAR,0.962,962
25,170396,0.25,0.25,POLE_LIKE,0.034,34
25,170396,0.25,0.25,JOINTLY_SMALL,0.004,4
25,170396,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
26,170411,0.05,0.05,REGULAR,0.974,974
26,170411,0.05,0.05,POLE_LIKE,0.026,26
26,170411,0.05,0.05,JOINTLY_SMALL,0.0,0
26,170411,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
26,170411,0.1,0.1,REGULAR,0.962,962
26,170411,0.1,0.1,POLE_LIKE,0.038,38
26,170411,0.1,0.1,JOINTLY_SMALL,0.0,0
26,170411,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
26,170411,0.25,0.25,REGULAR,0.912,912
26,170411,0.25,0.25,POLE_LIKE,0.08,80
26,170411,0.25,0.25,JOINTLY_SMALL,0.008,8
26,170411,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
27,186997,0.05,0.05,REGULAR,0.984,984
27,186997,0.05,0.05,POLE_LIKE,0.014,14
27,186997,0.05,0.05,JOINTLY_SMALL,0.002,2
27,186997,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
27,186997,0.1,0.1,REGULAR,0.952,952
27,186997,0.1,0.1,POLE_LIKE,0.043,43
27,186997,0.1,0.1,JOINTLY_SMALL,0.005,5
27,186997,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
27,186997,0.25,0.25,REGULAR,0.884,884
27,186997,0.25,0.25,POLE_LIKE,0.1,100
27,186997,0.25,0.25,JOINTLY_SMALL,0.016,16
27,186997,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
28,187017,0.05,0.05,REGULAR,0.963,963
28,187017,0.05,0.05,POLE_LIKE,0.034,34
28,187017,0.05,0.05,JOINTLY_SMALL,0.003,3
28,187017,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
28,187017,0.1,0.1,REGULAR,0.936,936
28,187017,0.1,0.1,POLE_LIKE,0.056,56
