realization_index,shot,denominator,min,max,median,mean,std,min_abs,q0001_abs,q001_abs,q005_abs,q01_abs,q025_abs,q05_abs,q10_abs,q25_abs,q50_abs,n_exact_zero,n_sign_changes,n_nonfinite,robust_scale_median_abs,robust_scale_mad,frac_abs_lt_1e-06,frac_rel_lt_1e-06,frac_abs_lt_1e-05,frac_rel_lt_1e-05,frac_abs_lt_0.0001,frac_rel_lt_0.0001,frac_abs_lt_0.001,frac_rel_lt_0.001,frac_abs_lt_0.01,frac_rel_lt_0.01,frac_abs_lt_0.05,frac_rel_lt_0.05,frac_abs_lt_0.1,frac_rel_lt_0.1
5,160720,D_betaN_li,11.315197300062225,18.223081188906725,15.497791503241206,15.449169464823099,0.9999999999999999,11.315197300062225,11.315197300062225,11.315197300062229,11.420208702071175,12.590141318731542,13.017581996398887,13.643961490410561,14.249418753777984,15.09911596077385,15.497791503241206,0,0,0,15.497791503241206,0.6100646632386059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,160720,q95_over_kappa,10.219238144646548,17.538168052838014,15.653727617705899,15.449169464823099,0.9999999999999999,10.219238144646548,10.220653285725726,10.233389555438325,10.326967742012423,10.419822024474845,10.836275180651176,14.759450798888922,14.964815469788464,15.299768940644734,15.653727617705899,0,0,0,15.653727617705899,0.3011509838393741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,160721,D_kappa_Wdia,13.016796195555138,22.76133951080342,16.474529127420883,16.576938301237615,0.9999999999999999,13.016796195555138,13.01679619555514,13.016796195555164,13.88116795480176,13.920649505527734,15.423759070612025,15.574636605547896,15.926961254429134,16.232183561505103,16.474529127420883,0,0,0,16.474529127420883,0.34193481810911136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,160721,D_betaN_Wdia,13.07448408233393,20.412811961217248,16.540506255916007,16.57693830123761,1.0,13.07448408233393,13.07448408233393,13.074484082333932,13.51696834089545,14.170144786356223,14.600534340195866,15.168820256124766,15.43349184653585,16.05501815779677,16.540506255916007,0,0,0,16.540506255916007,0.7007660772597049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,160721,D_betaN_kappa,13.07448408233393,20.412811961217248,16.540506255916007,16.57693830123761,1.0,13.07448408233393,13.07448408233393,13.074484082333932,13.51696834089545,14.170144786356223,14.600534340195866,15.168820256124766,15.43349184653585,16.05501815779677,16.540506255916007,0,0,0,16.540506255916007,0.7007660772597049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,160721,D_betaN_li,13.07448408233393,20.412811961217248,16.540506255916007,16.57693830123761,1.0,13.07448408233393,13.07448408233393,13.074484082333932,13.51696834089545,14.170144786356223,14.600534340195866,15.168820256124766,15.43349184653585,16.05501815779677,16.540506255916007,0,0,0,16.540506255916007,0.7007660772597049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,160721,q95_over_kappa,10.280506593097002,18.76790053094843,16.854534555708415,16.57693830123761,1.0,10.280506593097002,10.299522999854965,10.47067066067664,11.461273416875837,11.722832053024442,13.010127992421427,15.681406206346926,15.880165526345127,16.300360044811264,16.854534555708415,0,0,0,16.854534555708415,0.3135780551800466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,161136,D_kappa_Wdia,16.73261394891941,27.22290617159348,19.094738858844057,19.18822780542834,0.9999999999999998,16.73261394891941,16.73261394891941,16.73261394891941,17.043899877036832,17.711004546821897,18.011730470249866,18.30181420996366,18.574182834930454,18.84471350163502,19.094738858844057,0,0,0,19.094738858844057,0.365327338242762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,161136,D_betaN_Wdia,16.13934094210156,22.845324718889575,19.1068995718065,19.18822780542834,1.0,16.13934094210156,16.139340942101573,16.139340942101697,16.188715180464026,16.364846773370086,17.24970216421524,17.71858530970029,18.15542175840516,18.65312248749931,19.1068995718065,0,0,0,19.1068995718065,0.6745336977557956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,161136,D_betaN_kappa,16.13934094210156,22.845324718889575,19.1068995718065,19.18822780542834,1.0,16.13934094210156,16.139340942101573,16.139340942101697,16.188715180464026,16.364846773370086,17.24970216421524,17.71858530970029,18.15542175840516,18.65312248749931,19.1068995718065,0,0,0,19.1068995718065,0.6745336977557956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,161136,D_betaN_li,16.13934094210156,22.845324718889575,19.1068995718065,19.18822780542834,1.0,16.13934094210156,16.139340942101573,16.139340942101697,16.188715180464026,16.364846773370086,17.24970216421524,17.71858530970029,18.15542175840516,18.65312248749931,19.1068995718065,0,0,0,19.1068995718065,0.6745336977557956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,161136,q95_over_kappa,10.577076209333836,21.115518633085347,19.536950819994615,19.188227805428337,1.0000000000000002,10.577076209333836,10.599866771251055,10.804981828506035,12.146760856528365,15.518838118328357,17.70821278871626,17.90342708093068,18.023587247144068,18.92296886549914,19.536950819994615,0,0,0,19.536950819994615,0.28781205076938376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,161138,D_kappa_Wdia,16.607125495813815,28.537563010030528,18.65199953380256,18.73137694501134,0.9999999999999999,16.607125495813815,16.607125495813815,16.607125495813815,17.089583089531743,17.363018075052754,17.72967176845821,17.934552073906655,18.137651026432007,18.414210193382708,18.65199953380256,0,0,0,18.65199953380256,0.3465729369924114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,161138,D_betaN_Wdia,15.765521108657566,22.477868250855426,18.6349619351571,18.73137694501134,0.9999999999999999,15.765521108657566,15.765521108657566,15.765521108657568,16.507988824231415,16.512135511546624,16.987675793266522,17.279097927142818,17.556480757520518,18.166537171529086,18.6349619351571,0,0,0,18.6349619351571,0.6848101375503046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,161138,D_betaN_kappa,15.765521108657566,22.477868250855426,18.6349619351571,18.73137694501134,0.9999999999999999,15.765521108657566,15.765521108657566,15.765521108657568,16.507988824231415,16.512135511546624,16.987675793266522,17.279097927142818,17.556480757520518,18.166537171529086,18.6349619351571,0,0,0,18.6349619351571,0.6848101375503046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,161138,D_betaN_li,15.765521108657566,22.477868250855426,18.6349619351571,18.73137694501134,0.9999999999999999,15.765521108657566,15.765521108657566,15.765521108657568,16.507988824231415,16.512135511546624,16.987675793266522,17.279097927142818,17.556480757520518,18.166537171529086,18.6349619351571,0,0,0,18.6349619351571,0.6848101375503046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,161138,q95_over_kappa,10.000000000000002,21.09124415814346,19.075531075051373,18.73137694501134,0.9999999999999999,10.000000000000002,10.033459109865266,10.334591098652634,12.337503504512009,16.95118430683299,17.13504744395098,17.275265323407346,17.47681371557284,18.535105530964223,19.075531075051373,0,0,0,19.075531075051373,0.2438947153768868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,161145,D_kappa_Wdia,16.831545622491713,28.08157610872366,19.279746548923292,19.355100056269656,1.0,16.831545622491713,16.831545622491717,16.831545622491742,17.449937236468497,17.76638096143281,18.22921824310171,18.618529671816315,18.843674634282834,19.073101948575164,19.279746548923292,0,0,0,19.279746548923292,0.2944647910147045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,161145,D_betaN_Wdia,16.547253889942045,24.738381661445217,19.248841394455198,19.355100056269656,0.9999999999999999,16.547253889942045,16.547253889942045,16.54725388994206,17.262900593803675,17.479431478261105,17.96824112902534,18.21930952469827,18.46378024809083,18.86335239971652,19.248841394455198,0,0,0,19.248841394455198,0.5226964736354196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,161145,D_betaN_kappa,16.547253889942045,24.738381661445217,19.248841394455198,19.355100056269656,0.9999999999999999,16.547253889942045,16.547253889942045,16.54725388994206,17.262900593803675,17.479431478261105,17.96824112902534,18.21930952469827,18.46378024809083,18.86335239971652,19.248841394455198,0,0,0,19.248841394455198,0.5226964736354196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,161145,D_betaN_li,16.547253889942045,24.738381661445217,19.248841394455198,19.355100056269656,0.9999999999999999,16.547253889942045,16.547253889942045,16.54725388994206,17.262900593803675,17.479431478261105,17.96824112902534,18.21930952469827,18.46378024809083,18.86335239971652,19.248841394455198,0,0,0,19.248841394455198,0.5226964736354196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,161145,q95_over_kappa,10.511690953910575,22.077665886240865,19.638309854446646,19.355100056269656,1.0,10.511690953910575,10.541741728892985,10.812198703734673,12.403341251040864,16.169480999618816,17.8911958827466,18.08672012925371,18.18407614836015,19.148670501993724,19.638309854446646,0,0,0,19.638309854446646,0.2903520064130211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,161414,D_kappa_Wdia,17.367271937538113,26.457983729041864,20.114856228419157,20.230707603691197,1.0,17.367271937538113,17.375323192545878,17.447784487615774,17.671688507355007,18.15661818542927,19.00090958199694,19.20752001154107,19.46400909998356,19.820521545606994,20.114856228419157,0,0,0,20.114856228419157,0.4698241902610724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,161414,D_betaN_Wdia,16.0609788867882,23.018058859522004,20.254975415910828,20.230707603691197,1.0,16.0609788867882,16.067309534665736,16.124285365563576,17.19064485092497,17.69219745637715,18.135690407228875,18.425804666812894,18.808521275499306,19.754978752935955,20.254975415910828,0,0,0,20.254975415910828,0.7800493820945092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,161414,D_betaN_kappa,16.0609788867882,23.018058859522004,20.254975415910828,20.230707603691197,1.0,16.0609788867882,16.067309534665736,16.124285365563576,17.19064485092497,17.69219745637715,18.135690407228875,18.425804666812894,18.808521275499306,19.754978752935955,20.254975415910828,0,0,0,20.254975415910828,0.7800493820945092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,161414,D_betaN_li,16.0609788867882,23.018058859522004,20.254975415910828,20.230707603691197,1.0,16.0609788867882,16.067309534665736,16.124285365563576,17.19064485092497,17.69219745637715,18.135690407228875,18.425804666812894,18.808521275499306,19.754978752935955,20.254975415910828,0,0,0,20.254975415910828,0.7800493820945092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,161414,q95_over_kappa,10.0,20.98182651145852,20.4036130862941,20.230707603691197,0.9999999999999999,10.0,10.033690805634636,10.336908056346365,11.872127814945621,14.355198581310274,18.797827439778434,19.62748427949464,19.893959733201406,20.203258269954343,20.4036130862941,0,0,0,20.4036130862941,0.2599618533031867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,165017,D_kappa_Wdia,14.365029315621298,26.491367693930876,17.41612458043314,17.49821841431348,0.9999999999999999,14.365029315621298,14.365029315621298,14.365029315621298,14.838889062201087,15.35698647175752,16.531437460653457,16.853404034022365,17.01515728223032,17.248358232168012,17.41612458043314,0,0,0,17.41612458043314,0.23168104762454397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,165017,D_betaN_Wdia,13.76342729119801,20.680024238083906,17.459639642400358,17.49821841431348,0.9999999999999999,13.76342729119801,13.76342729119801,13.76342729119801,13.86276892083482,14.75331965938422,15.609196354501712,16.003860328561306,16.42405055236932,17.01675436901717,17.459639642400358,0,0,0,17.459639642400358,0.7156824982817303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,165017,D_betaN_kappa,13.76342729119801,20.680024238083906,17.459639642400358,17.49821841431348,0.9999999999999999,13.76342729119801,13.76342729119801,13.76342729119801,13.86276892083482,14.75331965938422,15.609196354501712,16.003860328561306,16.42405055236932,17.01675436901717,17.459639642400358,0,0,0,17.459639642400358,0.7156824982817303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,165017,D_betaN_li,13.76342729119801,20.680024238083906,17.459639642400358,17.49821841431348,0.9999999999999999,13.76342729119801,13.76342729119801,13.76342729119801,13.86276892083482,14.75331965938422,15.609196354501712,16.003860328561306,16.42405055236932,17.01675436901717,17.459639642400358,0,0,0,17.459639642400358,0.7156824982817303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,165017,q95_over_kappa,10.0,20.149086119137856,17.79984567393837,17.498218414313484,0.9999999999999999,10.0,10.056303249214942,10.56303249214941,12.796805654297161,13.669700302070762,15.323702565818962,15.536966336650698,16.3707685823954,17.195432914890095,17.79984567393837,0,0,0,17.79984567393837,0.39795604663948636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,165022,D_kappa_Wdia,15.365844518504911,28.393258493781186,18.43729528818786,18.53613488702075,1.0,15.365844518504911,15.365844518504911,15.365844518504913,15.991529064926283,16.806442556966275,17.768016958859825,17.975631615259317,18.05777633577424,18.267450285301337,18.43729528818786,0,0,0,18.43729528818786,0.2568019156137773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
