realization_index,shot,feature,display_name,max_abs_diff,max_rel_diff,rmse_diff,pearson_corr,mean_diff,std_diff,n_mismatch_gt_1e-12,status
11,165017,r[q95]/r[kappa],q95 / kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
11,165017,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
11,165017,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
11,165017,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
11,165017,d[li]/d[betan],D_betaN l_i,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
12,165022,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
12,165022,d[kappa]/d[t],dot kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
12,165022,r[q95]/r[kappa],q95 / kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
12,165022,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
12,165022,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
12,165022,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
12,165022,d[li]/d[betan],D_betaN l_i,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
13,165026,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
13,165026,d[kappa]/d[t],dot kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
13,165026,r[q95]/r[kappa],q95 / kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
13,165026,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
13,165026,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
13,165026,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
13,165026,d[li]/d[betan],D_betaN l_i,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
14,165027,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
14,165027,d[kappa]/d[t],dot kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
14,165027,r[q95]/r[kappa],q95 / kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
14,165027,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
14,165027,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
14,165027,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
14,165027,d[li]/d[betan],D_betaN l_i,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
15,165028,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
15,165028,d[kappa]/d[t],dot kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
15,165028,r[q95]/r[kappa],q95 / kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
15,165028,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
15,165028,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
15,165028,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
15,165028,d[li]/d[betan],D_betaN l_i,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
16,165029,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
16,165029,d[kappa]/d[t],dot kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
16,165029,r[q95]/r[kappa],q95 / kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
16,165029,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
16,165029,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
16,165029,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
16,165029,d[li]/d[betan],D_betaN l_i,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
17,165031,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
17,165031,d[kappa]/d[t],dot kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
17,165031,r[q95]/r[kappa],q95 / kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
17,165031,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
17,165031,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
17,165031,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
17,165031,d[li]/d[betan],D_betaN l_i,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
18,165042,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
18,165042,d[kappa]/d[t],dot kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
18,165042,r[q95]/r[kappa],q95 / kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
18,165042,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
18,165042,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
18,165042,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
18,165042,d[li]/d[betan],D_betaN l_i,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
19,165043,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
19,165043,d[kappa]/d[t],dot kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
19,165043,r[q95]/r[kappa],q95 / kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
19,165043,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
19,165043,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
19,165043,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
19,165043,d[li]/d[betan],D_betaN l_i,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
20,165860,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
20,165860,d[kappa]/d[t],dot kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
20,165860,r[q95]/r[kappa],q95 / kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
20,165860,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
20,165860,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
20,165860,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
