realization_index,shot,intercept,c_Dkappa_Wdia,c_DbetaN_Wdia,shiftval,mu_yk,sig_yk,mu_yb,sig_yb
40,189652,2.4466120734143888e-17,0.2761454724052091,1.245177257587598,20.371102439875077,1.0020263537155392,0.06456274013348552,1.0030090900418147,0.07724136896659088
41,195261,-8.426000324584083e-17,0.1363737566884932,0.4579849244504623,23.51129056833176,1.0021719942223744,0.06653461956812454,1.0002394098616367,0.021565785679425253
42,195264,1.4043333874306806e-17,0.1683015757513776,0.539100642232943,19.89890231599961,1.0029452023938674,0.07722103982449668,1.0004977238691206,0.03191448669601775
43,195265,2.9842084482901956e-17,0.2197942300381047,0.5959954771099382,22.412071881953246,1.0022158367231753,0.0668745301373353,1.000508772279908,0.031907683871307435
44,195266,1.7554167342883502e-17,0.0469752565700665,0.6770171303483934,23.928360997570017,1.001596595353941,0.05759181648156295,1.0004350557891997,0.02978072472961786
45,195267,7.021666937153403e-18,0.1383101170004957,0.7670997029337465,24.2426158353731,1.0014394845204153,0.05429626428247681,1.0006315636909375,0.03555235318255155
46,195268,-5.617333549722723e-17,0.2392179709880346,0.6597494199462548,22.635000438959388,1.0019627887069105,0.06301545803533946,1.000626879120414,0.03519935986800957
47,195269,5.617333549722723e-17,0.2315500924748861,0.7848537680582669,18.884190457832002,1.002553627692775,0.07228912432744267,1.0012808901372672,0.050611925189137555
48,195273,1.0356958732301267e-16,0.1456044631541778,0.741628443663686,18.89009306739067,1.0027751143636656,0.07510849739260857,1.0009828491776473,0.04444455702109405
49,195274,1.4043333874306806e-17,0.2195254868616641,0.6621672509558314,22.88554299063471,1.0016897608606121,0.05864440978397829,1.0005973346954538,0.0347095555778677
50,195626,-2.808666774861361e-17,0.174101842615274,1.6366593391097428,17.47220850407845,1.002477297131918,0.07203533430644121,1.006205401258889,0.11389213686414344
51,195638,3.510833468576701e-17,0.3470910197582849,1.2716178344084328,17.27365821405129,1.002416584784504,0.07135230661524165,1.0054128675097904,0.10471598650318552
52,195642,0.0,0.2174047370213754,1.4739703450518356,17.743025586673514,1.002173711892206,0.06736073983480839,1.0052286079673503,0.10359525069343198
53,195645,-2.8086667748613606e-17,0.2883872408391961,1.3903447579921449,18.230728576282953,1.0020220793541033,0.06508310082800797,1.0053966953811662,0.1065929830487606
54,195647,-3.1597501217190306e-17,0.2578199736146217,1.422272465946933,17.794262605237485,1.0022117215468773,0.06831965706586539,1.005246348114991,0.10367839234137914
55,195648,-4.213000162292041e-17,0.3068588823805868,1.3666642747488331,18.114449524871077,1.0019795932559963,0.06459491559854323,1.0053291208548705,0.10446021378247657
56,195649,-1.4043333874306806e-17,0.3831544526243586,1.2529243519851634,23.696068715807982,1.0012089472391157,0.049463110039291894,1.0031605501279235,0.08059831718525301
57,195650,-1.4043333874306806e-17,0.4108702753224305,1.231932622288384,20.82988566444424,1.0016864356863036,0.05843667792137084,1.0040562885770692,0.09107188969498392
58,195651,-2.1065000811460205e-17,0.2532130193507214,1.4432501790253285,16.837887103766583,1.0024228752548174,0.07098653400234696,1.0061415612928843,0.11176609106714001
59,195652,-4.915166856007381e-17,0.3258133390055389,1.4033289028848643,16.701762628264742,1.0024460388707028,0.07130477445521041,1.0067449787942677,0.12202980249406367
60,195655,-1.4043333874306806e-17,0.2887212421266881,1.3584747283945728,17.516905315622935,1.0023396466812748,0.06987382022749387,1.0052662720067047,0.10233362917856687
61,195659,2.1065000811460208e-17,0.3130704109420456,1.2995045096510207,17.49910312793397,1.0023313054561926,0.07017190251161183,1.0051616423594147,0.10206624696451493
