realization_index,shot,sample_index,eps,A_analytical,dG_dy_fd,abs_error
0,155537,333,1e-05,0.014706355884190558,0.014706355966342953,8.2152394262347e-11
0,155537,333,0.0001,0.014706355884190558,0.014706355880855781,3.3347768990665827e-12
32,187021,401,1e-06,-0.0029773048955784587,-0.002977304958129423,6.255096440810348e-11
32,187021,401,1e-05,-0.0029773048955784587,-0.00297730483600489,5.95735687343446e-11
32,187021,401,0.0001,-0.0029773048955784587,-0.0029773048965120452,9.335865414072941e-13
10,161414,226,1e-06,0.08934508375063699,0.08934508455293866,8.023016695446472e-10
10,161414,226,1e-05,0.08934508375063699,0.08934508380908922,5.845222916800452e-11
10,161414,226,0.0001,0.08934508375063699,0.08934508374913719,1.499800283966124e-12
57,195650,753,1e-06,0.010536269881029847,0.010536270189653862,3.086240152327946e-10
57,195650,753,1e-05,0.010536269881029847,0.010536269912098106,3.1068259076505456e-11
57,195650,753,0.0001,0.010536269881029847,0.010536269875460746,5.56910073612471e-12
46,195268,625,1e-06,-0.0029397133490576266,-0.0029397142220499717,8.729923450800925e-10
46,195268,625,1e-05,-0.0029397133490576266,-0.0029397134032604906,5.4202863985358674e-11
46,195268,625,0.0001,-0.0029397133490576266,-0.002939713340810446,8.247180716125513e-12
53,195645,317,1e-06,0.09913540890825123,0.09913540921502317,3.067719411831149e-10
53,195645,317,1e-05,0.09913540890825123,0.09913540885975179,4.8499440574722996e-11
53,195645,317,0.0001,0.09913540890825123,0.09913540889527894,1.2972289908930179e-11
58,195651,797,1e-06,-0.032942119182611806,-0.032942119587708873,4.050970670022025e-10
58,195651,797,1e-05,-0.032942119182611806,-0.03294211905480182,1.2780998481787265e-10
58,195651,797,0.0001,-0.032942119182611806,-0.03294211918580814,3.1963320878958257e-12
53,195645,900,1e-06,0.015571353490472783,0.01557135265173315,8.387396333020547e-10
53,195645,900,1e-05,0.015571353490472783,0.015571353551013798,6.054101490959862e-11
53,195645,900,0.0001,0.015571353490472783,0.015571353484400419,6.072364833187294e-12
4,160719,132,1e-06,0.026715808053016765,0.02671580631719017,1.7358265935740746e-09
4,160719,132,1e-05,0.026715808053016765,0.026715808049138087,3.878678628277399e-12
