realization_index,shot,threshold,kind,fraction
59,195652,1e-06,absolute,0.0
59,195652,1e-05,absolute,0.0
59,195652,0.0001,absolute,0.003
59,195652,0.001,absolute,0.014
59,195652,0.01,absolute,0.126
59,195652,0.05,absolute,0.695
59,195652,0.1,absolute,0.936
60,195655,1e-06,absolute,0.0
60,195655,1e-05,absolute,0.0
60,195655,0.0001,absolute,0.004
60,195655,0.001,absolute,0.026
60,195655,0.01,absolute,0.234
60,195655,0.05,absolute,0.807
60,195655,0.1,absolute,0.968
61,195659,1e-06,absolute,0.0
61,195659,1e-05,absolute,0.0
61,195659,0.0001,absolute,0.007
61,195659,0.001,absolute,0.025
61,195659,0.01,absolute,0.203
61,195659,0.05,absolute,0.737
61,195659,0.1,absolute,0.973
