realization_index,shot,n_finite,coverage,explicit_rmse,explicit_mae,explicit_median_abs,explicit_q90_abs,explicit_q95_abs,explicit_q99_abs,explicit_max_abs,implicit_rmse,median_amplification,q95_amplification
25,170396,1000,1.0,3.7370987788491923,1.0846557624580841,0.45413672134980043,1.5006186484941175,2.4573518098036966,14.933804835213193,52.24366535899834,0.10855730909459965,10.799914484568024,37.46208543837321
26,170411,1000,1.0,31.013511499148755,3.2061173505057567,0.5357647335911995,2.535947189265023,6.307883279732324,27.64674439768447,782.0443798812803,0.07841888416309672,24.142495427801485,155.94370494398493
27,186997,1000,1.0,10.775975474072492,2.3744353080368064,0.7052981382657658,4.332926312494211,6.992606711026604,26.85526959098736,198.5950844311435,0.06297609135611883,36.1343516605875,332.84034493179496
28,187017,1000,1.0,8.79492653513415,2.2831986191609572,0.9258334180257721,3.2282121601402425,5.598551982710379,26.707528487770485,133.69665829792473,0.04936402357206991,40.70183647123273,549.3652274926828
29,187018,1000,1.0,83.73960704669338,4.190912911414398,0.8201482678131627,2.374573576172011,3.795744858996883,13.349728316227749,2641.471907395564,0.05050638764529572,37.83362448136667,446.64561768102703
30,187019,1000,1.0,33.461442355588275,2.4767911384762065,0.7819126754817864,2.4891688962007255,3.960189201287861,18.597752192024018,1053.0248203074136,0.04252436561046221,46.37933812475445,506.0307244419129
31,187020,1000,1.0,35.93942559295181,4.041199910959788,1.0341084097941673,4.2192619644218965,8.612172717579758,30.92699551047711,944.5551748713838,0.066821507025832,50.78200207079395,560.9998859164856
32,187021,1000,1.0,459.1024987720398,17.860961052739874,0.9738878400468918,3.7191663237735906,6.697350820460637,43.27288251069176,14498.59763605688,0.05522718036787745,52.35692192166164,521.7078122930587
33,187022,1000,1.0,10.125882787365944,1.9525286510193747,0.8513874856749093,2.9776357237769076,4.975636419831013,17.71421586326869,296.4884991520297,0.04272735858051121,50.60402630572502,543.7863282312362
34,187024,1000,1.0,34.207261667666145,4.490148630308953,1.2745484418942938,5.5544887902898346,10.695445931725825,48.069069668004005,1010.4145179169866,0.0850633023450298,60.06723201550959,547.9332585535069
35,189646,1000,1.0,15.227587245940725,2.683862988132205,0.5440351108721251,4.262720411501706,7.424103806589308,29.809371489604,353.60844834126067,0.02588057736321534,51.62592488140898,840.8331973967522
36,189647,1000,1.0,97.62594176924806,4.624842241546705,0.45329205315820476,2.7349088884089916,4.570749573547904,16.22619593190967,3079.126916977495,0.058018120334684245,27.169716597947783,226.99274297252836
