realization_index,shot,min_A,max_A,median_A,min_abs_A,q0001_abs_A,q001_abs_A,q005_abs_A,q01_abs_A,q025_abs_A,q05_abs_A,q10_abs_A,q25_abs_A,median_abs_A,max_inv_abs_A,q50_inv_abs_A,q95_inv_abs_A,n_exact_zero_A,n_sign_changes_A,frac_abs_lt_1e-06,frac_rel_lt_1e-06,frac_abs_lt_1e-05,frac_rel_lt_1e-05,frac_abs_lt_0.0001,frac_rel_lt_0.0001,frac_abs_lt_0.001,frac_rel_lt_0.001,frac_abs_lt_0.01,frac_rel_lt_0.01,frac_abs_lt_0.05,frac_rel_lt_0.05,frac_abs_lt_0.1,frac_rel_lt_0.1,rel_frac_abs_lt_0.0001,rel_frac_rel_lt_0.0001,rel_frac_abs_lt_0.001,rel_frac_rel_lt_0.001,rel_frac_abs_lt_0.01,rel_frac_rel_lt_0.01,rel_frac_abs_lt_0.05,rel_frac_rel_lt_0.05,rel_frac_abs_lt_0.1,rel_frac_rel_lt_0.1,rel_frac_abs_lt_0.25,rel_frac_rel_lt_0.25
20,165860,-0.181387992397965,0.16752628490845645,0.004993491431209862,2.6428213717455407e-07,9.689311508866426e-07,7.31077227429544e-06,2.7862881944292762e-05,0.00019523835239121934,0.0004922757149711133,0.0012580423330987136,0.00244307474156803,0.0060082948809685455,0.014602738569983065,3783834.9980479996,68.48030560894713,794.9320363414142,0,60,0.001,0.001,0.005,0.005,0.008,0.008,0.034,0.034,0.389,0.389,0.843,0.843,0.968,0.968,0.008,0.001,0.034,0.005,0.389,0.009,0.843,0.027,0.968,0.059,1.0,0.15
21,165861,-0.11693561822891307,0.145337542270904,0.017828084872932082,0.00022996106993089516,0.00022996106993093953,0.0002299610699313388,0.0003658746652724915,0.0007503276831953764,0.0021003667881573677,0.004106990481801515,0.008161476276503255,0.014625236948191817,0.02679232165094686,4348.562129670499,37.32414995743509,243.48729426841868,0,82,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.014,0.132,0.132,0.776,0.776,0.969,0.969,0.0,0.0,0.014,0.0,0.132,0.004,0.776,0.016,0.969,0.033,1.0,0.089
22,165955,-0.20384828227806961,0.1920981380450859,0.006692790745977506,3.695019784921705e-06,3.695019784921705e-06,3.695019784921705e-06,6.472073531425648e-05,0.00023663070552092826,0.000853109614182715,0.0016719157605490644,0.0034095024539123058,0.008584444502238303,0.017415118025953857,270634.54547136865,57.42146520056763,598.1428291082071,0,61,0.0,0.0,0.004,0.004,0.006,0.006,0.03,0.03,0.284,0.284,0.78,0.78,0.93,0.93,0.006,0.0,0.03,0.004,0.284,0.009,0.78,0.027,0.93,0.051,1.0,0.131
23,165965,-0.12703058001180922,0.1720441769783544,0.016222948098704115,3.198269294057976e-05,3.203562178074298e-05,3.2511981342212e-05,0.0004151466503131918,0.0007818229418204681,0.0020358823894224337,0.003959545337706972,0.00667677391351662,0.014148249827850568,0.028377351704116538,31266.910571223234,35.23937018390498,252.58195507178866,0,82,0.0,0.0,0.0,0.0,0.004,0.004,0.016,0.016,0.162,0.162,0.743,0.743,0.953,0.953,0.004,0.0,0.016,0.0,0.162,0.005,0.743,0.02,0.953,0.04,1.0,0.106
24,170394,-0.24411927815009848,0.2312817403409606,0.1235061437972601,0.0025577268861923796,0.0027292912275669393,0.004273370299937975,0.008991590502722534,0.013024494074138812,0.04960341277283416,0.06945121727858364,0.09640914437746151,0.11167235369181835,0.1239743244718865,390.97215789472875,8.0661863795338,14.39867415950747,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.026,0.026,0.128,0.128,0.0,0.0,0.0,0.0,0.006,0.0,0.026,0.002,0.128,0.01,1.0,0.016
25,170396,-0.16037415254894982,0.21838996165374402,0.09167467692084563,0.0011613261116176776,0.0012174263902025406,0.0017223288974663076,0.0024238158780091673,0.0026918832300553888,0.012493254695973408,0.026693897982277604,0.045907730269829396,0.074973877789408,0.09259332575539353,861.0845739161438,10.799914484568024,37.46208543837321,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.021,0.119,0.119,0.618,0.618,0.0,0.0,0.0,0.0,0.021,0.0,0.119,0.012,0.618,0.02,1.0,0.038
26,170411,-0.29473897799507687,0.16305711682174673,0.03809414142394635,2.810361641769621e-05,2.8103616417773848e-05,2.810361641847259e-05,0.0006746647343654527,0.0008615679587007341,0.0019510740798692639,0.006413225050609218,0.012134459161941193,0.0260185287109157,0.041420769640577615,35582.609196527555,24.142495427801485,155.94370494398493,0,49,0.0,0.0,0.0,0.0,0.003,0.003,0.015,0.015,0.086,0.086,0.63,0.63,0.908,0.908,0.003,0.0,0.015,0.003,0.086,0.003,0.63,0.026,0.908,0.038,0.995,0.088
27,186997,-0.36845669979860285,0.12471196387803996,0.021146175071951545,9.053869694053418e-05,9.391929672286014e-05,0.00012434469476379383,0.0002850357373693496,0.0006229788088842724,0.0016223322133678748,0.0030045865347661017,0.006222961233353597,0.014662260640721847,0.02767449688689405,11045.001019363024,36.1343516605875,332.84034493179496,0,105,0.0,0.0,0.0,0.0,0.001,0.001,0.013,0.013,0.168,0.168,0.753,0.753,0.98,0.98,0.001,0.0,0.013,0.0,0.168,0.005,0.753,0.016,0.98,0.048,0.998,0.116
28,187017,-0.1463174337327574,0.1284028682142988,0.004910772303371058,0.00011996061062358176,0.00012097059821614611,0.00013006048654922518,0.00022609118996124778,0.00031351814837820793,0.0008216941864643418,0.0018202884266458387,0.003951160888832828,0.010270406351406747,0.024568927063561008,8336.069604862621,40.70183647123273,549.3652274926828,0,159,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.246,0.246,0.786,0.786,0.973,0.973,0.0,0.0,0.03,0.0,0.246,0.006,0.786,0.037,0.973,0.064,1.0,0.148
29,187018,-0.17535066730142457,0.1750146414299394,0.0037809924993945643,1.3053778924021486e-05,2.120700486602285e-05,9.458603834403512e-05,0.00032675278252413287,0.0006293705569508878,0.0010922429930480982,0.002239015858076027,0.004473335372115772,0.01121129738042051,0.02643163550518368,76606.16943342023,37.83362448136667,446.64561768102703,0,180,0.0,0.0,0.0,0.0,0.002,0.002,0.024,0.024,0.224,0.224,0.808,0.808,0.962,0.962,0.002,0.0,0.024,0.001,0.224,0.004,0.808,0.034,0.962,0.064,1.0,0.153
