realization_index,shot,sample_index,crossing_time,A_left,A_right,B_left,B_right,y,residual,den_kappa,den_betan,B_also_small
19,165043,329,1683.5773735019602,0.013483994194378734,-0.001986039714753862,0.0016202502270342863,-0.00422794092797097,0.7193428492228098,0.008079364575653614,17.2530016424891,17.448517400251156,False
19,165043,334,1706.1516560307289,-0.011519540129737549,0.008009598917940619,-0.001570941758780672,0.0038375511756168117,-0.391651842106186,0.006082590870807092,17.626934900760485,16.96424258050567,False
19,165043,337,1721.8034096796102,0.014567629477618915,-0.0023472326610350924,0.007986721394878524,0.0021184976470825347,-0.32208540960498533,-0.012678742302153323,16.872456073143365,17.496192105253673,False
19,165043,354,1803.3664962663856,-0.012255308814001609,0.0012312008465720226,-0.002521978385638023,-0.005539624206250891,0.17055237944544874,0.0004318063065721911,17.814490778750304,16.939444732466917,False
19,165043,364,1848.297402658738,0.0038443699482547666,-0.00898285548821709,0.001284641342785303,0.004184707334153836,0.36645143835898686,0.00012413355433887885,17.22618647335051,17.27001033060797,False
19,165043,366,1860.6066748114984,-0.008982855488217978,0.0013131386991848126,0.004069422302253854,0.0017972992452639828,0.38708496092683387,-0.007546550567921417,17.224918822544222,17.035777726477413,False
19,165043,372,1887.1251638783847,0.025066190319079085,-0.03532224527623795,0.003842604838815042,0.012779756680852123,0.16716420247224198,0.00034756487488984966,17.485221320184884,17.653913320874462,False
19,165043,376,1905.6422223577572,-0.008416905722968604,0.02108220442441877,-0.0004129188861912009,0.008302240697360913,0.3387343383120284,-0.002438176104515244,17.542184248943293,17.025263634191983,True
19,165043,384,1942.8215585359753,0.006632171462161995,-0.1114424727815666,-0.005471008126080182,0.1712191109896793,0.44254337658263454,0.008406031679020043,17.564503055722827,17.29900995697767,False
19,165043,392,1984.811276499337,-0.029064687721384375,0.00585088543585488,0.012507346031807103,-0.0005041261607558396,0.08976701461551084,-0.01511639627928682,17.624703645742965,16.656561624709827,False
19,165043,402,2029.6563785293565,0.0017691233037131493,-0.00684021392149059,-0.002428708896089,-0.0012650298873498765,-0.20179455853071002,0.0020717094400330427,17.39803483778678,17.220096925315083,False
19,165043,408,2059.850714198093,-0.004466936491181461,0.004183246476716751,0.0022221413939742464,0.001795457380664868,-0.05679719388387432,-0.001968431936020365,17.074382449456913,17.127746066463605,False
19,165043,414,2086.698291474399,0.0028742913046526652,-0.01961590476090036,0.004511909706127003,0.013275498516560442,0.19724438790332563,-0.003944971877085285,16.94450903374885,17.271615498503504,False
19,165043,417,2102.6626472641233,-0.017747474077103087,0.020459630865881318,0.010925157887699875,3.404181370539902e-05,0.3329255179992311,-0.016833744888002544,16.93783672426041,16.89837753438019,False
19,165043,447,2245.1941162097114,0.004194963891390735,-0.01225802987300495,-0.005643435742887943,-0.0043593685021398616,-0.11340611618404797,0.005167701180433443,17.55669345002895,17.25435590015962,False
19,165043,452,2269.5572001505066,-0.001213203905077287,0.002282180116185417,0.0023140669268878265,0.004373643793928271,-0.8649597486399773,-0.0012646943821051915,17.1785383782781,17.180087989803962,False
19,165043,467,2339.8372394189687,0.0015140704599282406,-0.040198959191311556,-0.0034194971370177336,0.021057142971088256,-0.42382047086995744,0.002777803081762731,17.375720508779448,17.21688983790774,False
19,165043,476,2383.3843516611246,-0.012873628230458456,0.08036885206205657,0.008383047541991023,0.09546563807030302,0.10228238091197955,-0.009699792888377731,17.127044355189245,16.972450803990693,False
19,165043,489,2449.6684906063856,0.0359946988395361,-0.0002868395636049792,0.009330406444999783,-0.006280582542298409,0.0445222676489619,-0.0077278408293213405,17.680990873647882,17.8542180807771,False
19,165043,492,2459.5276623627287,-0.0009034729461561142,0.01622183851793202,-0.006007015557778029,-0.0015867851106849615,-0.4090135711195599,0.006376548253892889,17.627058575063845,17.15607263872674,False
19,165043,501,2502.3461083790926,0.00016329011855920061,-0.07315627027805827,-0.004751246061606562,0.07620017965748462,0.06822247589341904,0.00476238611778787,17.515519995024576,17.18283889671379,False
19,165043,510,2546.779495629844,-0.016107837311932438,0.03958314620230585,0.004610561728427057,0.016644496368989667,-1.5023841609344395,0.019589597915928847,17.328718403194227,16.901592503979632,False
19,165043,513,2563.881014992353,0.03958314620230585,-0.00625086988914525,0.016670418991310883,0.00046839326778460753,0.6099409632314482,0.007472963331056182,17.387307772133145,17.946421212815277,False
