realization_index,shot,feature,display_name,target_dependent,affine_in_target,alpha_min,alpha_q01,alpha_median,alpha_q99,alpha_max,beta_min,beta_median,beta_max,affine_test_max_error
12,165022,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-7.078031031664368,0.003612192358015664,2.7262677553755474,0.0
12,165022,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-2.2532406533218095,-0.0735808459503766,8.597984365885722,0.0
13,165026,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.5238188655087314,0.6557283582951462,0.8106808280424911,0.8761212533850513,0.9938230578221405,-4.934144665964759,0.06272258874514414,3.2528890467076153,4.773959005888173e-15
13,165026,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,1.2844121351361941,1.3041387256392478,1.4587354079747001,1.8592681509263522,2.088552557555572,-3.0927023941895335,-0.0561539229781296,10.914672126589224,8.659739592076221e-15
13,165026,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-3.307884799585842,-0.12000497004501866,9.353579736892701,0.0
13,165026,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-1.0838378473853005,-0.20588161861369775,11.127508852167196,0.0
13,165026,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-2.233733882932566,-0.1629748410694122,6.409616883201481,0.0
13,165026,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-5.235075699824315,0.025429771224763715,2.3930354555453843,0.0
13,165026,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-2.3119060057582086,-0.08803939755859094,5.291912996627704,0.0
14,165027,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.5125850284249345,0.5785363047501881,0.7994484920517944,0.943793355686949,0.9555951702453288,-4.18263368258055,0.017954427249545546,2.3044354991730334,3.9968028886505635e-15
14,165027,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,0.6730673597280431,0.6960054124885496,0.8205684828813782,1.0264708594552983,1.1180926013824364,-2.1492587961883114,0.01062401450807915,4.367317818459643,4.066191827689636e-15
14,165027,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-2.4550170030914154,-0.07445297563582656,8.078789978423458,0.0
14,165027,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-1.0041061953439225,-0.1312757187211706,12.195997976512611,0.0
14,165027,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-1.6604623945563028,-0.14252556793124532,5.550729228776084,0.0
14,165027,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-3.9430252250240496,-0.063338424613439,3.13179543327723,0.0
14,165027,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-2.4626327803405905,-0.0984805883226581,4.530720615385146,0.0
15,165028,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.5263872135420802,0.6870600763753154,0.8267036569487023,0.9356275119623274,1.0568736771177816,-5.162324421804879,0.03970618105355328,4.026672313170749,4.884981308350689e-15
15,165028,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,1.020236001644306,1.0423398393143262,1.2344597054816075,1.4365240775086732,1.4963329083912122,-3.6701045071738108,0.04064223242596654,4.576765530076475,7.327471962526033e-15
15,165028,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-3.842539135911374,-0.089648005424319,9.741722703387925,0.0
15,165028,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-1.2387155679733266,-0.26019183309338545,11.727662669224504,0.0
15,165028,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-2.5262432204201315,-0.11658462987064927,6.9885227275527475,0.0
15,165028,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-3.0736797476453397,-0.05113561661104189,3.5752726576146383,0.0
15,165028,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-3.019630355057466,-0.028413895091143282,5.030821759788106,0.0
16,165029,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.5093546843324549,0.5803221801530584,0.7796420862737801,0.877647562617276,0.9266074001247517,-4.6652735687932765,0.03766029073409349,2.594820357098717,4.551914400963142e-15
16,165029,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,1.052973023814608,1.0709379043673988,1.2301112090986588,1.4696183821189823,1.561160699792214,-3.046838241360124,0.03532231589899837,5.795501472528684,7.271960811294775e-15
16,165029,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-2.839527232359493,-0.09487286704717889,9.08790499413688,0.0
16,165029,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-1.2177863866559682,-0.22230707171137148,11.569979188416285,0.0
16,165029,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-2.3590099719822817,-0.12780679027052527,6.120971342081621,0.0
16,165029,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-3.726516806226974,-0.046753709499601434,2.8724839672859432,0.0
16,165029,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-2.9924759502153457,0.02539633659787125,4.036851931462227,0.0
17,165031,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.5506940171953774,0.6643681625872158,0.7850243025515257,0.8337522074546813,0.9040762953182306,-5.3074384091544164,0.05704397889407353,2.782480503193124,5.995204332975845e-15
17,165031,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,1.2362036440203108,1.2575641789240002,1.3958839408219565,1.6802254735159594,1.9080677082514814,-3.6003369467525523,0.055196261892982434,11.78052999604541,1.0880185641326534e-14
17,165031,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-3.1082505918295418,-0.10784271754244912,9.587580521130652,0.0
17,165031,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-1.1835687162013209,-0.20500346904898734,9.513810341070949,0.0
17,165031,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-1.9711185591542377,-0.06818470331103357,6.884742722020366,0.0
17,165031,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-6.182072786596277,-0.050490914895397844,2.900050898551193,0.0
17,165031,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-2.3450106495681076,-0.029648809067617535,5.922063131800796,0.0
18,165042,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.504696283779005,0.6489379663109982,0.79812195920233,0.8745809946217822,0.9356929330302497,-5.365054246169347,0.03615305271792657,2.5684786472058416,4.9960036108132044e-15
18,165042,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,1.3087194080966764,1.3475245354465737,1.5391836823110834,1.8148001184939733,1.9694959367376452,-4.281949588671743,-0.03969874193257361,7.881236213934027,9.547918011776346e-15
