shot,realization_index,dt_seconds,feature_or_residual,integrated_autocorrelation_samples,correlation_time_seconds
165043,19,0.00478446696207925,d[kappa]/d[betan],7.283711418789613,0.03484867664451828
165043,19,0.00478446696207925,d[betan]/d[t],12.163471997793106,0.058195729917617206
165043,19,0.00478446696207925,d[li]/d[betan],6.303626611314223,0.030159493263116476
165043,19,0.00478446696207925,residual,1.8183816407932611,0.008699986884826816
165043,19,0.00478446696207925,target,6.076246060014555,0.02907159852760385
165860,20,0.0044241066017189044,d[pcdiamag3]/d[kappa],5.045533030034467,0.022321975987366273
165860,20,0.0044241066017189044,d[kappa]/d[t],7.574315973074506,0.03350958129998387
165860,20,0.0044241066017189044,r[q95]/r[kappa],63.42251728556069,0.28058797742068037
165860,20,0.0044241066017189044,d[pcdiamag3]/d[betan],9.578681710033914,0.04237710898912516
165860,20,0.0044241066017189044,d[kappa]/d[betan],10.290940382741779,0.045528217285183574
165860,20,0.0044241066017189044,d[betan]/d[t],13.60615995992492,0.06019510210274726
165860,20,0.0044241066017189044,d[li]/d[betan],11.927354304981138,0.052767886921707446
165860,20,0.0044241066017189044,residual,11.709417705052775,0.05180371217120821
165860,20,0.0044241066017189044,target,4.055459058527163,0.017941783193830753
165861,21,0.00478446696207925,d[pcdiamag3]/d[kappa],5.205368514540551,0.024904913683266805
165861,21,0.00478446696207925,d[kappa]/d[t],7.47769006428198,0.03577676106522539
165861,21,0.00478446696207925,r[q95]/r[kappa],68.14703196246535,0.3260472229881741
165861,21,0.00478446696207925,d[pcdiamag3]/d[betan],2.9297023839300627,0.014017064264638203
165861,21,0.00478446696207925,d[kappa]/d[betan],6.82225040165659,0.03264083165375785
165861,21,0.00478446696207925,d[betan]/d[t],13.789274019821057,0.06597432597889158
165861,21,0.00478446696207925,d[li]/d[betan],5.877125204894782,0.02811891137482233
165861,21,0.00478446696207925,residual,3.309618537234937,0.01583476054848561
165861,21,0.00478446696207925,target,7.995654338818245,0.0382549440242815
165955,22,0.004564246741859052,d[pcdiamag3]/d[kappa],6.507202980790145,0.029700480003686927
165955,22,0.004564246741859052,d[kappa]/d[t],7.1460646608524465,0.03261640234540989
165955,22,0.004564246741859052,r[q95]/r[kappa],92.21951465959435,0.4209126193208766
165955,22,0.004564246741859052,d[pcdiamag3]/d[betan],7.7120372092511795,0.03519964070542047
165955,22,0.004564246741859052,d[kappa]/d[betan],7.738278979704747,0.03531941462071378
165955,22,0.004564246741859052,d[betan]/d[t],13.057806117420299,0.05959904902726279
165955,22,0.004564246741859052,d[li]/d[betan],23.26505866397253,0.10618746820619632
165955,22,0.004564246741859052,residual,1.8232538322263623,0.008321780363321204
165955,22,0.004564246741859052,target,9.228144150428905,0.042119526872000795
165965,23,0.004764446942059294,d[pcdiamag3]/d[kappa],5.089143878282639,0.024246955988583493
165965,23,0.004764446942059294,d[kappa]/d[t],6.36496841602675,0.030325554306042637
165965,23,0.004764446942059294,r[q95]/r[kappa],84.42833219769035,0.40225430916245203
165965,23,0.004764446942059294,d[pcdiamag3]/d[betan],2.3941237908294064,0.01140667577412857
165965,23,0.004764446942059294,d[kappa]/d[betan],6.8417433454567735,0.03259712316061605
165965,23,0.004764446942059294,d[betan]/d[t],13.345830471998784,0.06358550118155634
165965,23,0.004764446942059294,d[li]/d[betan],6.091772326411006,0.02902392603229035
165965,23,0.004764446942059294,residual,1.9792741002420149,0.009430146434395228
165965,23,0.004764446942059294,target,6.9650008496671,0.0331843769996368
170394,24,0.004904587082199327,d[pcdiamag3]/d[kappa],4.680375385463924,0.02295530865539006
170394,24,0.004904587082199327,d[kappa]/d[t],5.711054985862007,0.028010366509388863
170394,24,0.004904587082199327,r[q95]/r[kappa],67.72081323231336,0.3321426257752374
170394,24,0.004904587082199327,d[pcdiamag3]/d[betan],6.181542814180411,0.030317915034491324
170394,24,0.004904587082199327,d[kappa]/d[betan],6.641500965705094,0.03257381984281156
170394,24,0.004904587082199327,d[betan]/d[t],7.331288852610741,0.03595694460238657
170394,24,0.004904587082199327,d[li]/d[betan],5.952264222004808,0.02919339821308201
170394,24,0.004904587082199327,residual,5.681730197355238,0.027866540530490334
170394,24,0.004904587082199327,target,4.522185530889507,0.02217945273810938
170396,25,0.004904587082199327,d[pcdiamag3]/d[kappa],4.9022381200768965,0.02404345375759426
170396,25,0.004904587082199327,d[kappa]/d[t],6.517509377782995,0.03196569230238745
170396,25,0.004904587082199327,r[q95]/r[kappa],70.05722097662468,0.34360174101673713
170396,25,0.004904587082199327,d[pcdiamag3]/d[betan],5.729767735907308,0.028102144821533472
170396,25,0.004904587082199327,d[kappa]/d[betan],6.516845685944037,0.03196243716796754
170396,25,0.004904587082199327,d[betan]/d[t],6.748308756985922,0.03309766795620575
170396,25,0.004904587082199327,d[li]/d[betan],5.441165782373767,0.026686671408335375
170396,25,0.004904587082199327,residual,10.331825951314304,0.05067334009634791
170396,25,0.004904587082199327,target,4.447160013612216,0.021811483555235857
170411,26,0.004904587082199327,d[pcdiamag3]/d[kappa],3.7364153945140326,0.018325574677664228
170411,26,0.004904587082199327,d[kappa]/d[t],5.803526941722201,0.028463903269566476
170411,26,0.004904587082199327,r[q95]/r[kappa],70.45767726355675,0.3455658137486097
170411,26,0.004904587082199327,d[pcdiamag3]/d[betan],6.13943624609098,0.030111399704564154
170411,26,0.004904587082199327,d[kappa]/d[betan],6.77995685049869,0.03325288878682471
170411,26,0.004904587082199327,d[betan]/d[t],10.946995722595194,0.053690493809931676
170411,26,0.004904587082199327,d[li]/d[betan],6.031518349149557,0.029582106981287132
170411,26,0.004904587082199327,residual,2.727586388681883,0.013377684967511879
170411,26,0.004904587082199327,target,4.050321142198699,0.019865152752786566
186997,27,0.005865548043160288,d[pcdiamag3]/d[kappa],3.537103324271467,0.02074704948213625
186997,27,0.005865548043160288,d[kappa]/d[t],4.8555684313978515,0.028480569911216537
186997,27,0.005865548043160288,r[q95]/r[kappa],49.64535588337595,0.2911972200537319
186997,27,0.005865548043160288,d[pcdiamag3]/d[betan],4.037035886582632,0.023679427944712613
186997,27,0.005865548043160288,d[kappa]/d[betan],4.655324314617167,0.027306028423879233
186997,27,0.005865548043160288,d[betan]/d[t],4.751407065880972,0.0278696064175361
186997,27,0.005865548043160288,d[li]/d[betan],4.035092572509498,0.023668029342653697
186997,27,0.005865548043160288,residual,3.0125522247327217,0.017670269806699185
186997,27,0.005865548043160288,target,3.1409564595606283,0.018423431015027508
187017,28,0.005885568063180472,d[pcdiamag3]/d[kappa],3.505044765184954,0.020629179529990462
187017,28,0.005885568063180472,d[kappa]/d[t],6.215690455376273,0.03658286923477828
187017,28,0.005885568063180472,r[q95]/r[kappa],30.12031018654454,0.177275135687016
187017,28,0.005885568063180472,d[pcdiamag3]/d[betan],10.672008074994771,0.06281082989619333
187017,28,0.005885568063180472,d[kappa]/d[betan],11.344279349630218,0.06676752823998135
187017,28,0.005885568063180472,d[betan]/d[t],12.866532069227734,0.0757268502305341
187017,28,0.005885568063180472,d[li]/d[betan],3.2229055934252613,0.018968630231309423
187017,28,0.005885568063180472,residual,1.9357402650557685,0.011392931082624732
187017,28,0.005885568063180472,target,1.8446282801506015,0.010856685294093902
187018,29,0.005885568063180472,d[pcdiamag3]/d[kappa],6.808578327459937,0.04007235115976092
187018,29,0.005885568063180472,d[kappa]/d[t],6.219986949584584,0.03660815654387435
187018,29,0.005885568063180472,r[q95]/r[kappa],31.316033171281468,0.18431264469839448
187018,29,0.005885568063180472,d[pcdiamag3]/d[betan],14.179222935122485,0.08345278166767298
187018,29,0.005885568063180472,d[kappa]/d[betan],16.817907196075954,0.09898293748275767
187018,29,0.005885568063180472,d[betan]/d[t],18.359309391837094,0.1080549650186457
