realization_index,shot,tolerance,feature,coefficient,canonical_coefficient,delta
0,155537,1e-06,d[pcdiamag3]/d[kappa],0.39704129453163706,0.39704129453163856,-1.4988010832439613e-15
0,155537,1e-06,d[kappa]/d[t],1.3182993586331717,1.3182993586331713,4.440892098500626e-16
0,155537,1e-06,r[q95]/r[kappa],-0.016200319260867922,-0.016200319260866847,-1.0755285551056204e-15
0,155537,1e-06,d[pcdiamag3]/d[betan],1.2638060173861936,1.2638060173861883,5.329070518200751e-15
0,155537,1e-06,d[kappa]/d[betan],-1.615099382447178,-1.6150993824471747,-3.3306690738754696e-15
0,155537,1e-06,d[betan]/d[t],-0.4024227133882161,-0.4024227133882137,-2.3869795029440866e-15
0,155537,1e-06,d[li]/d[betan],0.008705358425908118,0.00870535842590893,-8.118505867571457e-16
1,159310,1e-12,d[pcdiamag3]/d[kappa],0.20098599229570369,0.20098599229570552,-1.8318679906315083e-15
1,159310,1e-12,d[kappa]/d[t],0.18329535813579673,0.18329535813579687,-1.3877787807814457e-16
1,159310,1e-12,r[q95]/r[kappa],-0.015542686558065512,-0.015542686558066149,6.366435156834882e-16
1,159310,1e-12,d[pcdiamag3]/d[betan],0.5208682073706452,0.5208682073706433,1.887379141862766e-15
1,159310,1e-12,d[kappa]/d[betan],-0.06864124912441363,-0.06864124912441179,-1.8457457784393227e-15
1,159310,1e-12,d[betan]/d[t],0.8079141971887026,0.8079141971887019,6.661338147750939e-16
1,159310,1e-12,d[li]/d[betan],0.009658223388830408,0.00965822338883017,2.3765711620882257e-16
1,159310,1e-10,d[pcdiamag3]/d[kappa],0.20098599229570369,0.20098599229570552,-1.8318679906315083e-15
1,159310,1e-10,d[kappa]/d[t],0.18329535813579673,0.18329535813579687,-1.3877787807814457e-16
1,159310,1e-10,r[q95]/r[kappa],-0.015542686558065512,-0.015542686558066149,6.366435156834882e-16
1,159310,1e-10,d[pcdiamag3]/d[betan],0.5208682073706452,0.5208682073706433,1.887379141862766e-15
1,159310,1e-10,d[kappa]/d[betan],-0.06864124912441363,-0.06864124912441179,-1.8457457784393227e-15
