realization_index,shot,feature,block_setting,sd_primary,sd_sensitivity,sd_ratio_sens_over_primary
4,160719,d[kappa]/d[t],long,0.11594774151374859,0.12868899751654378,1.1098879187852337
4,160719,r[q95]/r[kappa],short,0.022635660422641857,0.014344065217300812,0.6336932499195909
4,160719,r[q95]/r[kappa],long,0.022635660422641857,0.026425292680274902,1.1674186742014034
4,160719,d[pcdiamag3]/d[betan],short,0.18631387388003381,0.14516207945649637,0.7791265160959748
4,160719,d[pcdiamag3]/d[betan],long,0.18631387388003381,0.1537958455997725,0.8254664153395239
4,160719,d[kappa]/d[betan],short,0.25080394948525075,0.20868668278622782,0.8320709590679688
4,160719,d[kappa]/d[betan],long,0.25080394948525075,0.24590686214542998,0.9804744408934847
4,160719,d[betan]/d[t],short,0.10292406712304068,0.09306475139047446,0.9042078688866735
4,160719,d[betan]/d[t],long,0.10292406712304068,0.11029044828369804,1.0715710267439211
4,160719,d[li]/d[betan],short,0.01565929714859246,0.014962996034989264,0.9555343316499528
4,160719,d[li]/d[betan],long,0.01565929714859246,0.013964267229124921,0.8917556833244723
5,160720,d[pcdiamag3]/d[kappa],short,0.2542885696916685,0.25823809072607157,1.0155316498857614
5,160720,d[pcdiamag3]/d[kappa],long,0.2542885696916685,0.2568490493938252,1.0100691891313098
5,160720,d[kappa]/d[t],short,0.11325427481685066,0.11328115862952581,1.0002373756992187
5,160720,d[kappa]/d[t],long,0.11325427481685066,0.1072969860433244,0.9473989941380928
5,160720,r[q95]/r[kappa],short,0.041144535852246006,0.024606530521273328,0.5980509929589959
5,160720,r[q95]/r[kappa],long,0.041144535852246006,0.0496590115421885,1.2069406183245714
5,160720,d[pcdiamag3]/d[betan],short,0.35368414418220695,0.35237495367232863,0.9962984189949865
5,160720,d[pcdiamag3]/d[betan],long,0.35368414418220695,0.36464139859010203,1.030980338214566
5,160720,d[kappa]/d[betan],short,0.3715885432572488,0.3784868207395426,1.018564290012346
5,160720,d[kappa]/d[betan],long,0.3715885432572488,0.3746672733766862,1.0082853203504312
5,160720,d[betan]/d[t],short,0.12137519109672323,0.12416983466106955,1.0230248334860974
5,160720,d[betan]/d[t],long,0.12137519109672323,0.11000608766517762,0.9063309122002821
5,160720,d[li]/d[betan],short,0.04296658042905439,0.038548605526391874,0.8971764832447326
5,160720,d[li]/d[betan],long,0.04296658042905439,0.0479103805829496,1.1150615223396054
6,160721,d[pcdiamag3]/d[kappa],short,0.16198393491781687,0.1282134326722917,0.7915194351670767
6,160721,d[pcdiamag3]/d[kappa],long,0.16198393491781687,0.1683373292593601,1.0392223731616694
6,160721,d[kappa]/d[t],short,0.0720691439332564,0.07135239509666547,0.990054705835611
6,160721,d[kappa]/d[t],long,0.0720691439332564,0.07097602710511441,0.9848323877808883
6,160721,r[q95]/r[kappa],short,0.02305908174827145,0.020797789696823065,0.9019348612344983
6,160721,r[q95]/r[kappa],long,0.02305908174827145,0.031051755654873437,1.3466171807643548
6,160721,d[pcdiamag3]/d[betan],short,0.24784005408912238,0.19710706850168164,0.79529948952804
6,160721,d[pcdiamag3]/d[betan],long,0.24784005408912238,0.2548628143016917,1.0283358565199592
6,160721,d[kappa]/d[betan],short,0.285196216827365,0.23969883892953314,0.840469910842565
6,160721,d[kappa]/d[betan],long,0.285196216827365,0.2905512224607667,1.018776566158457
6,160721,d[betan]/d[t],short,0.056836248286991055,0.05272171821081494,0.9276072893587033
6,160721,d[betan]/d[t],long,0.056836248286991055,0.05821446399531706,1.0242488860518337
6,160721,d[li]/d[betan],short,0.01330679784142577,0.0123151616250973,0.9254789748708511
6,160721,d[li]/d[betan],long,0.01330679784142577,0.011633933182695833,0.874284957307838
7,161136,d[pcdiamag3]/d[kappa],short,0.5157395792049887,0.4894466614174365,0.9490190032960363
7,161136,d[pcdiamag3]/d[kappa],long,0.5157395792049887,0.5346814562093449,1.036727600068147
7,161136,d[kappa]/d[t],short,0.1937159268901289,0.1906785265393887,0.9843203375194651
7,161136,d[kappa]/d[t],long,0.1937159268901289,0.19991054670767028,1.031977854980679
7,161136,r[q95]/r[kappa],short,0.014478614028935166,0.008329155662877483,0.5752729954836346
7,161136,r[q95]/r[kappa],long,0.014478614028935166,0.011940890956422878,0.824726105175431
7,161136,d[pcdiamag3]/d[betan],short,0.6782059631693917,0.6424252243035478,0.9472420756983109
7,161136,d[pcdiamag3]/d[betan],long,0.6782059631693917,0.7036512327048688,1.0375184986822665
7,161136,d[kappa]/d[betan],short,0.8029704549544867,0.7712733426194988,0.9605251822910651
7,161136,d[kappa]/d[betan],long,0.8029704549544867,0.8346156187894748,1.039410122302421
7,161136,d[betan]/d[t],short,0.2223268373021705,0.22000327542106154,0.9895488915809478
7,161136,d[betan]/d[t],long,0.2223268373021705,0.22486804250460463,1.0114300425142975
7,161136,d[li]/d[betan],short,0.00564696056606544,0.005981818168840703,1.0592987322749305
7,161136,d[li]/d[betan],long,0.00564696056606544,0.004909073772693543,0.8693302733851223
8,161138,d[pcdiamag3]/d[kappa],short,0.43302921142017925,0.39181502407528196,0.9048235401724273
8,161138,d[pcdiamag3]/d[kappa],long,0.43302921142017925,0.43448569346515176,1.0033634729633938
8,161138,d[kappa]/d[t],short,0.1472764824049453,0.13681569219485268,0.9289717540826986
8,161138,d[kappa]/d[t],long,0.1472764824049453,0.1514864238790997,1.0285852934929411
8,161138,r[q95]/r[kappa],short,0.005152978064360861,0.005892383277202462,1.143490852009316
8,161138,r[q95]/r[kappa],long,0.005152978064360861,0.006283560757160036,1.219403746469894
8,161138,d[pcdiamag3]/d[betan],short,0.5604147965205193,0.5068722722239354,0.9044591173733858
8,161138,d[pcdiamag3]/d[betan],long,0.5604147965205193,0.5634396524161625,1.005397530390744
8,161138,d[kappa]/d[betan],short,0.6506363414344829,0.6014981211354471,0.9244766743420759
8,161138,d[kappa]/d[betan],long,0.6506363414344829,0.6489817588734027,0.9974569779526405
8,161138,d[betan]/d[t],short,0.1686302033375915,0.158517647750081,0.9400311724272403
8,161138,d[betan]/d[t],long,0.1686302033375915,0.170458172897778,1.0108401076675806
8,161138,d[li]/d[betan],short,0.004400244321225895,0.004736639372196318,1.0764491756393262
8,161138,d[li]/d[betan],long,0.004400244321225895,0.0036993639270397564,0.840717845869132
9,161145,d[pcdiamag3]/d[kappa],short,0.4361510452308091,0.3775960776986517,0.8657461258606609
9,161145,d[pcdiamag3]/d[kappa],long,0.4361510452308091,0.4682411823598923,1.0735757428074033
9,161145,d[kappa]/d[t],short,0.28245788023574425,0.24176695676554807,0.8559398539837668
9,161145,d[kappa]/d[t],long,0.28245788023574425,0.2954346522994806,1.0459423261723295
9,161145,r[q95]/r[kappa],short,0.010049879085573235,0.012131861764205262,1.2071649480459463
