realization_index,shot,tolerance,retained_rank,relative_coefficient_change,max_abs_termwise_change,rmse_truncated,abs_rmse_change,relative_prediction_change,prediction_correlation,classification
15,165028,1e-12,7,7.010620398040184e-15,3.9968028886505635e-15,0.04329262624339236,6.938893903907228e-18,9.66604916015345e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
15,165028,1e-10,7,7.010620398040184e-15,3.9968028886505635e-15,0.04329262624339236,6.938893903907228e-18,9.66604916015345e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
15,165028,1e-08,7,7.010620398040184e-15,3.9968028886505635e-15,0.04329262624339236,6.938893903907228e-18,9.66604916015345e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
15,165028,1e-06,7,7.010620398040184e-15,3.9968028886505635e-15,0.04329262624339236,6.938893903907228e-18,9.66604916015345e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
16,165029,1e-12,7,3.679776609242789e-15,1.9984014443252818e-15,0.05206050094790474,1.3877787807814457e-17,2.178259764481511e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
16,165029,1e-10,7,3.679776609242789e-15,1.9984014443252818e-15,0.05206050094790474,1.3877787807814457e-17,2.178259764481511e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
16,165029,1e-08,7,3.679776609242789e-15,1.9984014443252818e-15,0.05206050094790474,1.3877787807814457e-17,2.178259764481511e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
16,165029,1e-06,7,3.679776609242789e-15,1.9984014443252818e-15,0.05206050094790474,1.3877787807814457e-17,2.178259764481511e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
17,165031,1e-12,7,4.92147694514186e-15,2.1614654510671016e-15,0.049675564727845366,1.3877787807814457e-17,4.9298612942495745e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
17,165031,1e-10,7,4.92147694514186e-15,2.1614654510671016e-15,0.049675564727845366,1.3877787807814457e-17,4.9298612942495745e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
17,165031,1e-08,7,4.92147694514186e-15,2.1614654510671016e-15,0.049675564727845366,1.3877787807814457e-17,4.9298612942495745e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
17,165031,1e-06,7,4.92147694514186e-15,2.1614654510671016e-15,0.049675564727845366,1.3877787807814457e-17,4.9298612942495745e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
18,165042,1e-12,7,5.672564897232879e-15,4.385380947269368e-15,0.038934280019154124,6.938893903907228e-18,2.3411522941256555e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
18,165042,1e-10,7,5.672564897232879e-15,4.385380947269368e-15,0.038934280019154124,6.938893903907228e-18,2.3411522941256555e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
18,165042,1e-08,7,5.672564897232879e-15,4.385380947269368e-15,0.038934280019154124,6.938893903907228e-18,2.3411522941256555e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
18,165042,1e-06,7,5.672564897232879e-15,4.385380947269368e-15,0.038934280019154124,6.938893903907228e-18,2.3411522941256555e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
19,165043,1e-12,7,4.732342128813585e-15,2.3895815881580518e-15,0.03685618234511295,6.938893903907228e-18,1.5325275453439206e-15,0.9999999999999998,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
19,165043,1e-10,7,4.732342128813585e-15,2.3895815881580518e-15,0.03685618234511295,6.938893903907228e-18,1.5325275453439206e-15,0.9999999999999998,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
19,165043,1e-08,7,4.732342128813585e-15,2.3895815881580518e-15,0.03685618234511295,6.938893903907228e-18,1.5325275453439206e-15,0.9999999999999998,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
19,165043,1e-06,7,4.732342128813585e-15,2.3895815881580518e-15,0.03685618234511295,6.938893903907228e-18,1.5325275453439206e-15,0.9999999999999998,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
20,165860,1e-12,7,2.640470737339886e-15,2.5758818318609245e-15,0.061219937015623144,2.0816681711721685e-17,3.071261459595258e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
20,165860,1e-10,7,2.640470737339886e-15,2.5758818318609245e-15,0.061219937015623144,2.0816681711721685e-17,3.071261459595258e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
20,165860,1e-08,7,2.640470737339886e-15,2.5758818318609245e-15,0.061219937015623144,2.0816681711721685e-17,3.071261459595258e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
20,165860,1e-06,7,2.640470737339886e-15,2.5758818318609245e-15,0.061219937015623144,2.0816681711721685e-17,3.071261459595258e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
21,165861,1e-12,7,1.8477332380534916e-15,1.3322676295501878e-15,0.03494720140370842,1.3877787807814457e-17,1.2407378580736191e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
21,165861,1e-10,7,1.8477332380534916e-15,1.3322676295501878e-15,0.03494720140370842,1.3877787807814457e-17,1.2407378580736191e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
21,165861,1e-08,7,1.8477332380534916e-15,1.3322676295501878e-15,0.03494720140370842,1.3877787807814457e-17,1.2407378580736191e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
21,165861,1e-06,7,1.8477332380534916e-15,1.3322676295501878e-15,0.03494720140370842,1.3877787807814457e-17,1.2407378580736191e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
22,165955,1e-12,7,4.631840695747048e-15,3.219646771412954e-15,0.03418861913501015,0.0,5.138128631290106e-15,0.9999999999999997,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
22,165955,1e-10,7,4.631840695747048e-15,3.219646771412954e-15,0.03418861913501015,0.0,5.138128631290106e-15,0.9999999999999997,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
22,165955,1e-08,7,4.631840695747048e-15,3.219646771412954e-15,0.03418861913501015,0.0,5.138128631290106e-15,0.9999999999999997,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
22,165955,1e-06,7,4.631840695747048e-15,3.219646771412954e-15,0.03418861913501015,0.0,5.138128631290106e-15,0.9999999999999997,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
23,165965,1e-12,7,2.7276812292740073e-15,1.847889449733707e-15,0.036984575444760255,6.938893903907228e-18,2.255122669816499e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
23,165965,1e-10,7,2.7276812292740073e-15,1.847889449733707e-15,0.036984575444760255,6.938893903907228e-18,2.255122669816499e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
23,165965,1e-08,7,2.7276812292740073e-15,1.847889449733707e-15,0.036984575444760255,6.938893903907228e-18,2.255122669816499e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
23,165965,1e-06,7,2.7276812292740073e-15,1.847889449733707e-15,0.036984575444760255,6.938893903907228e-18,2.255122669816499e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
24,170394,1e-12,7,1.7903360659137054e-15,3.552713678800501e-15,0.13197480505839881,5.551115123125783e-17,2.0114818985670122e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
24,170394,1e-10,7,1.7903360659137054e-15,3.552713678800501e-15,0.13197480505839881,5.551115123125783e-17,2.0114818985670122e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
24,170394,1e-08,7,1.7903360659137054e-15,3.552713678800501e-15,0.13197480505839881,5.551115123125783e-17,2.0114818985670122e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
24,170394,1e-06,7,1.7903360659137054e-15,3.552713678800501e-15,0.13197480505839881,5.551115123125783e-17,2.0114818985670122e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
25,170396,1e-12,7,2.740703193132167e-15,5.329070518200751e-15,0.10855730909459962,4.163336342344337e-17,5.131406115805106e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
25,170396,1e-10,7,2.740703193132167e-15,5.329070518200751e-15,0.10855730909459962,4.163336342344337e-17,5.131406115805106e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
25,170396,1e-08,7,2.740703193132167e-15,5.329070518200751e-15,0.10855730909459962,4.163336342344337e-17,5.131406115805106e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
25,170396,1e-06,7,2.740703193132167e-15,5.329070518200751e-15,0.10855730909459962,4.163336342344337e-17,5.131406115805106e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
26,170411,1e-12,7,2.5776066900809855e-15,4.6629367034256575e-15,0.0784188841630967,4.163336342344337e-17,3.352940909512555e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
26,170411,1e-10,7,2.5776066900809855e-15,4.6629367034256575e-15,0.0784188841630967,4.163336342344337e-17,3.352940909512555e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
26,170411,1e-08,7,2.5776066900809855e-15,4.6629367034256575e-15,0.0784188841630967,4.163336342344337e-17,3.352940909512555e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
26,170411,1e-06,7,2.5776066900809855e-15,4.6629367034256575e-15,0.0784188841630967,4.163336342344337e-17,3.352940909512555e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
27,186997,1e-12,7,1.1259086213230898e-15,2.220446049250313e-15,0.06297609135611881,0.0,3.1294763812769212e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
27,186997,1e-10,7,1.1259086213230898e-15,2.220446049250313e-15,0.06297609135611881,0.0,3.1294763812769212e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
27,186997,1e-08,7,1.1259086213230898e-15,2.220446049250313e-15,0.06297609135611881,0.0,3.1294763812769212e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
27,186997,1e-06,7,1.1259086213230898e-15,2.220446049250313e-15,0.06297609135611881,0.0,3.1294763812769212e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
28,187017,1e-12,7,4.345229950833695e-15,4.884981308350689e-15,0.04936402357206995,3.469446951953614e-17,5.706988796648975e-15,0.9999999999999997,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
28,187017,1e-10,7,4.345229950833695e-15,4.884981308350689e-15,0.04936402357206995,3.469446951953614e-17,5.706988796648975e-15,0.9999999999999997,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
28,187017,1e-08,7,4.345229950833695e-15,4.884981308350689e-15,0.04936402357206995,3.469446951953614e-17,5.706988796648975e-15,0.9999999999999997,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
28,187017,1e-06,7,4.345229950833695e-15,4.884981308350689e-15,0.04936402357206995,3.469446951953614e-17,5.706988796648975e-15,0.9999999999999997,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
29,187018,1e-12,7,1.3342554407485648e-15,2.220446049250313e-15,0.05050638764529572,0.0,2.2719386343241657e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
29,187018,1e-10,7,1.3342554407485648e-15,2.220446049250313e-15,0.05050638764529572,0.0,2.2719386343241657e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
29,187018,1e-08,7,1.3342554407485648e-15,2.220446049250313e-15,0.05050638764529572,0.0,2.2719386343241657e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
29,187018,1e-06,7,1.3342554407485648e-15,2.220446049250313e-15,0.05050638764529572,0.0,2.2719386343241657e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
30,187019,1e-12,7,4.578044236323292e-15,7.105427357601002e-15,0.042524365610462224,0.0,4.822484542984769e-15,0.9999999999999997,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
30,187019,1e-10,7,4.578044236323292e-15,7.105427357601002e-15,0.042524365610462224,0.0,4.822484542984769e-15,0.9999999999999997,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
30,187019,1e-08,7,4.578044236323292e-15,7.105427357601002e-15,0.042524365610462224,0.0,4.822484542984769e-15,0.9999999999999997,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
30,187019,1e-06,7,4.578044236323292e-15,7.105427357601002e-15,0.042524365610462224,0.0,4.822484542984769e-15,0.9999999999999997,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
31,187020,1e-12,7,2.385961248014009e-15,4.218847493575595e-15,0.06682150702583198,2.7755575615628914e-17,1.771164395509202e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
