shot,realization_index,dt_seconds,feature_or_residual,integrated_autocorrelation_samples,correlation_time_seconds,primary_block_samples,primary_block_seconds,short_block_samples,long_block_samples,selection_status
195642,52,0.005064747242359544,MAX_OVER_FEATURES_AND_RESIDUAL,89.99865262182553,0.45582042768246545,90,0.455827251812359,45,180,DATA_DRIVEN_IAC_MAX
195645,53,0.005064747242359544,MAX_OVER_FEATURES_AND_RESIDUAL,91.36974881211795,0.46276468333125864,91,0.46089199905471856,46,182,DATA_DRIVEN_IAC_MAX
195647,54,0.005064747242359544,MAX_OVER_FEATURES_AND_RESIDUAL,91.98326884504446,0.4658720072261555,92,0.46595674629707806,46,184,DATA_DRIVEN_IAC_MAX
195648,55,0.005064747242359544,MAX_OVER_FEATURES_AND_RESIDUAL,88.39988242312587,0.44772306072743473,88,0.4456977573276399,44,176,DATA_DRIVEN_IAC_MAX
195649,56,0.005064747242359544,MAX_OVER_FEATURES_AND_RESIDUAL,93.51675799054551,0.4736387421470203,94,0.4760862407817972,47,188,DATA_DRIVEN_IAC_MAX
195650,57,0.005064747242359544,MAX_OVER_FEATURES_AND_RESIDUAL,94.69768967287072,0.4796198626284919,95,0.48115098802415673,48,190,DATA_DRIVEN_IAC_MAX
195651,58,0.0050847672623795005,MAX_OVER_FEATURES_AND_RESIDUAL,57.508762817616955,0.29241867447496617,58,0.29491650121801105,29,116,DATA_DRIVEN_IAC_MAX
195652,59,0.0050847672623795005,MAX_OVER_FEATURES_AND_RESIDUAL,60.28621690271549,0.3065413820796374,60,0.30508603574277005,30,120,DATA_DRIVEN_IAC_MAX
195655,60,0.0050847672623795005,MAX_OVER_FEATURES_AND_RESIDUAL,67.93780468914218,0.3454479251612827,68,0.345764173841806,34,136,DATA_DRIVEN_IAC_MAX
195659,61,0.004083766261378514,MAX_OVER_FEATURES_AND_RESIDUAL,104.39281271360115,0.42631584649021037,104,0.4247116911833655,52,208,DATA_DRIVEN_IAC_MAX
