shot,realization_index,feature_1,feature_2,covariance,correlation
159310,1,d[betan]/d[t],d[pcdiamag3]/d[betan],0.016763022402586994,0.8938875077439397
159310,1,d[betan]/d[t],d[kappa]/d[betan],0.002136455255558232,0.11047670886850385
159310,1,d[betan]/d[t],d[betan]/d[t],0.02896453545208923,0.9999999999999655
159310,1,d[betan]/d[t],d[li]/d[betan],0.00012051871847915635,0.1475291868800799
159310,1,d[li]/d[betan],d[pcdiamag3]/d[kappa],9.088523126346517e-05,0.07885075455571881
159310,1,d[li]/d[betan],d[kappa]/d[t],-0.00012079629502833714,-0.14789049010031236
159310,1,d[li]/d[betan],r[q95]/r[kappa],-7.226287968054266e-06,-0.09368824756067227
159310,1,d[li]/d[betan],d[pcdiamag3]/d[betan],-5.6083934837359235e-05,-0.10603739007779693
159310,1,d[li]/d[betan],d[kappa]/d[betan],0.0002697652106611089,0.4945985959879759
159310,1,d[li]/d[betan],d[betan]/d[t],0.00012051871847915635,0.1475291868800799
159310,1,d[li]/d[betan],d[li]/d[betan],2.3040215935385807e-05,0.9999999999565976
160715,2,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[kappa],0.04039289054920597,0.9999999999999752
160715,2,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.008985367976930883,-0.5938045377555211
160715,2,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],0.0012973454708823924,0.1304637495180043
160715,2,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],-0.058297997969532896,-0.9957030095080206
160715,2,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],0.06349070437332718,0.965158436381024
160715,2,d[pcdiamag3]/d[kappa],d[betan]/d[t],0.010361317302673798,0.7445837924929645
160715,2,d[pcdiamag3]/d[kappa],d[li]/d[betan],0.000599290704503218,0.1829096819779159
160715,2,d[kappa]/d[t],d[pcdiamag3]/d[kappa],-0.008985367976930883,-0.5938045377555211
160715,2,d[kappa]/d[t],d[kappa]/d[t],0.0056686517596083634,0.9999999999998236
160715,2,d[kappa]/d[t],r[q95]/r[kappa],-0.00038212487728664596,-0.10257749889046976
160715,2,d[kappa]/d[t],d[pcdiamag3]/d[betan],0.014053693540686259,0.6407361618235606
160715,2,d[kappa]/d[t],d[kappa]/d[betan],-0.019053801053520763,-0.773183664149772
160715,2,d[kappa]/d[t],d[betan]/d[t],-0.003993440746378729,-0.7660523112912401
160715,2,d[kappa]/d[t],d[li]/d[betan],0.0002902962058344392,0.23651195078000634
160715,2,r[q95]/r[kappa],d[pcdiamag3]/d[kappa],0.0012973454708823924,0.1304637495180043
160715,2,r[q95]/r[kappa],d[kappa]/d[t],-0.00038212487728664596,-0.10257749889046976
160715,2,r[q95]/r[kappa],r[q95]/r[kappa],0.0024480858031447525,0.9999999999995914
160715,2,r[q95]/r[kappa],d[pcdiamag3]/d[betan],-0.0017649612827295305,-0.1224476657832232
160715,2,r[q95]/r[kappa],d[kappa]/d[betan],0.0024131021655466292,0.14900585164839678
160715,2,r[q95]/r[kappa],d[betan]/d[t],0.0007829220739467086,0.22853687866621983
160715,2,r[q95]/r[kappa],d[li]/d[betan],0.00017951223300433666,0.22255243539038924
160715,2,d[pcdiamag3]/d[betan],d[pcdiamag3]/d[kappa],-0.058297997969532896,-0.9957030095080206
160715,2,d[pcdiamag3]/d[betan],d[kappa]/d[t],0.014053693540686259,0.6407361618235606
160715,2,d[pcdiamag3]/d[betan],r[q95]/r[kappa],-0.0017649612827295305,-0.1224476657832232
160715,2,d[pcdiamag3]/d[betan],d[pcdiamag3]/d[betan],0.08486775406913438,0.9999999999999882
160715,2,d[pcdiamag3]/d[betan],d[kappa]/d[betan],-0.09305531455273747,-0.9759122270084797
160715,2,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.015079596691734103,-0.7476002588819873
160715,2,d[pcdiamag3]/d[betan],d[li]/d[betan],-0.0007377920084541072,-0.15535105670919036
160715,2,d[kappa]/d[betan],d[pcdiamag3]/d[kappa],0.06349070437332718,0.965158436381024
