canonical_run_id,realization_index,shot,feature,feature_order,loading,absolute_loading,normalized_sigma_7,condition_number
D3D-SIR-62-ALIGNED-V1,17,165031,d[pcdiamag3]/d[kappa],source_matrix_order,-0.5023120646820485,0.5023120646820485,0.0359427983687933,27.82198508139067
D3D-SIR-62-ALIGNED-V1,17,165031,d[kappa]/d[t],source_matrix_order,-0.5100770398437809,0.5100770398437809,0.0359427983687933,27.82198508139067
D3D-SIR-62-ALIGNED-V1,17,165031,r[q95]/r[kappa],source_matrix_order,0.017890202932198285,0.017890202932198285,0.0359427983687933,27.82198508139067
D3D-SIR-62-ALIGNED-V1,17,165031,d[pcdiamag3]/d[betan],source_matrix_order,0.26337385287409537,0.26337385287409537,0.0359427983687933,27.82198508139067
D3D-SIR-62-ALIGNED-V1,17,165031,d[kappa]/d[betan],source_matrix_order,0.25713683211238003,0.25713683211238003,0.0359427983687933,27.82198508139067
D3D-SIR-62-ALIGNED-V1,17,165031,d[betan]/d[t],source_matrix_order,0.5928038529449161,0.5928038529449161,0.0359427983687933,27.82198508139067
D3D-SIR-62-ALIGNED-V1,17,165031,d[li]/d[betan],source_matrix_order,0.016804727466827707,0.016804727466827707,0.0359427983687933,27.82198508139067
D3D-SIR-62-ALIGNED-V1,18,165042,d[pcdiamag3]/d[kappa],source_matrix_order,-0.11628447020098406,0.11628447020098406,0.029111521973805652,34.35066022655199
D3D-SIR-62-ALIGNED-V1,18,165042,d[kappa]/d[t],source_matrix_order,-0.5247824014600269,0.5247824014600269,0.029111521973805652,34.35066022655199
D3D-SIR-62-ALIGNED-V1,18,165042,r[q95]/r[kappa],source_matrix_order,0.023844790149428613,0.023844790149428613,0.029111521973805652,34.35066022655199
D3D-SIR-62-ALIGNED-V1,18,165042,d[pcdiamag3]/d[betan],source_matrix_order,0.05449973271503092,0.05449973271503092,0.029111521973805652,34.35066022655199
D3D-SIR-62-ALIGNED-V1,18,165042,d[kappa]/d[betan],source_matrix_order,0.6330505729822882,0.6330505729822882,0.029111521973805652,34.35066022655199
D3D-SIR-62-ALIGNED-V1,18,165042,d[betan]/d[t],source_matrix_order,0.5537051891432083,0.5537051891432083,0.029111521973805652,34.35066022655199
D3D-SIR-62-ALIGNED-V1,18,165042,d[li]/d[betan],source_matrix_order,-0.014145451117742763,0.014145451117742763,0.029111521973805652,34.35066022655199
D3D-SIR-62-ALIGNED-V1,19,165043,d[pcdiamag3]/d[kappa],source_matrix_order,-0.21694371160503415,0.21694371160503415,0.03463164728471485,28.875322960492372
D3D-SIR-62-ALIGNED-V1,19,165043,d[kappa]/d[t],source_matrix_order,-0.5399101911961379,0.5399101911961379,0.03463164728471485,28.875322960492372
D3D-SIR-62-ALIGNED-V1,19,165043,r[q95]/r[kappa],source_matrix_order,0.021654936287164805,0.021654936287164805,0.03463164728471485,28.875322960492372
D3D-SIR-62-ALIGNED-V1,19,165043,d[pcdiamag3]/d[betan],source_matrix_order,0.0956224390314552,0.0956224390314552,0.03463164728471485,28.875322960492372
D3D-SIR-62-ALIGNED-V1,19,165043,d[kappa]/d[betan],source_matrix_order,0.5865948930825136,0.5865948930825136,0.03463164728471485,28.875322960492372
D3D-SIR-62-ALIGNED-V1,19,165043,d[betan]/d[t],source_matrix_order,0.5536897819238984,0.5536897819238984,0.03463164728471485,28.875322960492372
D3D-SIR-62-ALIGNED-V1,19,165043,d[li]/d[betan],source_matrix_order,-0.03396882582951949,0.03396882582951949,0.03463164728471485,28.875322960492372
D3D-SIR-62-ALIGNED-V1,20,165860,d[pcdiamag3]/d[kappa],source_matrix_order,0.4217925582211153,0.4217925582211153,0.02805856629229465,35.639739735191554
D3D-SIR-62-ALIGNED-V1,20,165860,d[kappa]/d[t],source_matrix_order,-0.2575082205124232,0.2575082205124232,0.02805856629229465,35.639739735191554
D3D-SIR-62-ALIGNED-V1,20,165860,r[q95]/r[kappa],source_matrix_order,-0.02144292002006529,0.02144292002006529,0.02805856629229465,35.639739735191554
D3D-SIR-62-ALIGNED-V1,20,165860,d[pcdiamag3]/d[betan],source_matrix_order,-0.3714364809916145,0.3714364809916145,0.02805856629229465,35.639739735191554
D3D-SIR-62-ALIGNED-V1,20,165860,d[kappa]/d[betan],source_matrix_order,0.765917070276963,0.765917070276963,0.02805856629229465,35.639739735191554
D3D-SIR-62-ALIGNED-V1,20,165860,d[betan]/d[t],source_matrix_order,0.17298034532256282,0.17298034532256282,0.02805856629229465,35.639739735191554
D3D-SIR-62-ALIGNED-V1,20,165860,d[li]/d[betan],source_matrix_order,-0.02836437127510014,0.02836437127510014,0.02805856629229465,35.639739735191554
D3D-SIR-62-ALIGNED-V1,21,165861,d[pcdiamag3]/d[kappa],source_matrix_order,-0.20092636098110067,0.20092636098110067,0.018404186776205218,54.3354624770979
D3D-SIR-62-ALIGNED-V1,21,165861,d[kappa]/d[t],source_matrix_order,-0.5379443784923106,0.5379443784923106,0.018404186776205218,54.3354624770979
