realization_index,shot,singular_index,sigma,normalized_sigma
23,165965,3,30.046463912878025,0.497263036722736
23,165965,4,24.334017372943542,0.40272317599900465
23,165965,5,13.524201613196077,0.22382286258137715
23,165965,6,3.127172710255011,0.051754090024263545
23,165965,7,1.5183027134297573,0.02512760969589027
24,170394,1,60.616333191295155,1.0
24,170394,2,45.38241133261449,0.7486828869934293
24,170394,3,29.716243451072636,0.4902349232721331
24,170394,4,15.232749358910716,0.2512977700389542
24,170394,5,11.341202727149765,0.18709813230303454
24,170394,6,4.43063344758805,0.0730930627823643
24,170394,7,1.6588315644680336,0.027366082326904115
25,170396,1,59.71368780495492,1.0
25,170396,2,46.42075745330489,0.7773888895445674
25,170396,3,29.41539109375842,0.4926071755916169
25,170396,4,16.515497062530798,0.27657807899046516
25,170396,5,11.297152140826247,0.18918865265408766
25,170396,6,3.3924221244719037,0.056811465665170445
25,170396,7,1.4925533186505404,0.024995162307270717
26,170411,1,60.657618564324935,1.0
26,170411,2,45.1920637090451,0.745035245014124
26,170411,3,29.571261820229775,0.48751109127158787
26,170411,4,15.916269432476819,0.2623952243624313
26,170411,5,11.56612090430857,0.1906787832767152
26,170411,6,3.757393202554084,0.06194429144245948
26,170411,7,1.627996647112826,0.026839112474987818
27,186997,1,61.07368681568734,1.0
27,186997,2,46.109228952796116,0.7549770016660028
27,186997,3,28.156226222195315,0.46102057514829986
27,186997,4,14.766071330639335,0.241774684001008
27,186997,5,10.820170456460922,0.17716583066476446
27,186997,6,3.7659499207889215,0.0616623969689939
27,186997,7,1.369444773706523,0.02242282798219361
28,187017,1,58.099877574270884,1.0
28,187017,2,48.161713635777986,0.8289469039622565
28,187017,3,25.297747129475383,0.43541825190830197
28,187017,4,21.994482546154746,0.3785633200007782
28,187017,5,13.241203245074189,0.22790415054055055
28,187017,6,2.1950097417263805,0.037779937469238745
28,187017,7,0.9862870152396063,0.016975715895077487
29,187018,1,57.8599050504333,1.0
29,187018,2,49.09337665447401,0.8484869895946426
29,187018,3,24.504664611236404,0.4235171936400005
29,187018,4,21.91462533659827,0.3787532198246177
29,187018,5,12.447419425116513,0.21513031198835847
29,187018,6,2.323202065617537,0.04015219284567663
29,187018,7,1.0034175011804498,0.017342190594779337
30,187019,1,58.16509115191156,1.0
30,187019,2,48.60647923240231,0.8356641117514158
30,187019,3,23.888046624842463,0.4106938741392722
30,187019,4,21.5246312262458,0.37006099019133754
30,187019,5,14.55525640853742,0.2502404125959849
30,187019,6,2.7131861250799556,0.04664629714056226
30,187019,7,1.0329370144143768,0.01775871049039747
31,187020,1,59.60327968016515,1.0
31,187020,2,48.3129898720066,0.8105760309039546
31,187020,3,23.30961265633473,0.39107936310578106
31,187020,4,20.123260109635552,0.33762001382504786
31,187020,5,12.338638971843613,0.2070127522856713
31,187020,6,3.4049900502482946,0.057127561914708046
31,187020,7,1.0883255244624117,0.018259490590155997
32,187021,1,58.17309347772077,1.0
32,187021,2,48.893832497841274,0.8404887822678145
32,187021,3,24.780080167911144,0.4259715048057649
32,187021,4,20.451032657543678,0.3515548415072004
32,187021,5,13.576823450987765,0.23338665075783602
32,187021,6,2.746499325334871,0.0472125369503812
32,187021,7,1.0553840315406915,0.01814213356119499
33,187022,1,60.46925842726574,1.0
33,187022,2,48.33951137785697,0.7994063865691556
33,187022,3,23.174011533181815,0.3832362449269362
33,187022,4,17.125704703732527,0.2832134070956376
33,187022,5,12.907899667747635,0.2134621790223151
33,187022,6,2.86525359507572,0.04738364037525173
33,187022,7,1.2697641002800344,0.020998506237799246
34,187024,1,60.68633969465505,1.0
34,187024,2,45.865459027126,0.7557789653800063
34,187024,3,24.145723800352993,0.3978774123112854
34,187024,4,21.273257555426575,0.3505444167907233
34,187024,5,12.545123038725567,0.20672070686495003
34,187024,6,4.3646011800630315,0.07192065301719695
34,187024,7,1.237142803295619,0.02038585305227398
35,189646,1,59.263882954108055,1.0
35,189646,2,44.10303316401228,0.7441806200610274
35,189646,3,30.225610323409157,0.5100173801776513
35,189646,4,20.48760628096299,0.3457013826925228
35,189646,5,14.267215876558232,0.2407404841766153
35,189646,6,1.7378258149883596,0.02932352266445439
35,189646,7,1.6767900756869643,0.028293624921360852
36,189647,1,56.1775639284683,1.0
