realization_index,shot,feature_1,feature_2,correlation,abs_correlation
4,160719,d[pcdiamag3]/d[betan],d[li]/d[betan],0.7150366342010872,0.7150366342010872
4,160719,d[kappa]/d[betan],d[betan]/d[t],-0.779610143304334,0.779610143304334
4,160719,d[kappa]/d[betan],d[li]/d[betan],0.7454918347958224,0.7454918347958224
4,160719,d[betan]/d[t],d[li]/d[betan],-0.7949351676792922,0.7949351676792922
5,160720,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.6432166152954886,0.6432166152954886
5,160720,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.09473574465566048,0.09473574465566048
5,160720,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],0.6833217446799554,0.6833217446799554
5,160720,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],-0.06709427915733054,0.06709427915733054
5,160720,d[pcdiamag3]/d[kappa],d[betan]/d[t],-0.5154819046820922,0.5154819046820922
5,160720,d[pcdiamag3]/d[kappa],d[li]/d[betan],0.46314218845560823,0.46314218845560823
5,160720,d[kappa]/d[t],r[q95]/r[kappa],0.26657879572086784,0.26657879572086784
5,160720,d[kappa]/d[t],d[pcdiamag3]/d[betan],0.027387569644923133,0.027387569644923133
5,160720,d[kappa]/d[t],d[kappa]/d[betan],0.7147355897828898,0.7147355897828898
5,160720,d[kappa]/d[t],d[betan]/d[t],-0.07292299291445545,0.07292299291445545
5,160720,d[kappa]/d[t],d[li]/d[betan],0.06576057060047417,0.06576057060047417
5,160720,r[q95]/r[kappa],d[pcdiamag3]/d[betan],0.045073009494300924,0.045073009494300924
5,160720,r[q95]/r[kappa],d[kappa]/d[betan],0.19354282540668713,0.19354282540668713
5,160720,r[q95]/r[kappa],d[betan]/d[t],-0.032731376001589776,0.032731376001589776
5,160720,r[q95]/r[kappa],d[li]/d[betan],0.23724940448763068,0.23724940448763068
5,160720,d[pcdiamag3]/d[betan],d[kappa]/d[betan],0.6717183742814169,0.6717183742814169
5,160720,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.9271097614483556,0.9271097614483556
5,160720,d[pcdiamag3]/d[betan],d[li]/d[betan],0.8117400228927498,0.8117400228927498
5,160720,d[kappa]/d[betan],d[betan]/d[t],-0.7443817195649203,0.7443817195649203
5,160720,d[kappa]/d[betan],d[li]/d[betan],0.6342826413238479,0.6342826413238479
5,160720,d[betan]/d[t],d[li]/d[betan],-0.8366484973517739,0.8366484973517739
6,160721,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.5905180949918744,0.5905180949918744
6,160721,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.11085962446841036,0.11085962446841036
6,160721,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],0.6049011259044162,0.6049011259044162
6,160721,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],-0.10625607045553316,0.10625607045553316
6,160721,d[pcdiamag3]/d[kappa],d[betan]/d[t],-0.4304795043932624,0.4304795043932624
