realization_index,shot,feature,feature_order,canonical_estimate,bootstrap_mean,bootstrap_median,bootstrap_standard_deviation,bootstrap_variance,q025,q05,q25,q75,q95,q975,fraction_positive,fraction_negative,sign_stability,relative_bootstrap_sd,interval_contains_zero,primary_block_length
1,159310,d[kappa]/d[betan],source_matrix_order,-0.06864124912441179,-0.13665212028508875,-0.08183368949379055,0.11362915836851623,0.012911585631537341,-0.3867851975278211,-0.3727729104040576,-0.19753296260566336,-0.05685357128818373,-0.0350459254011866,-0.027647056135691038,0.004,0.996,0.996,1.6554063310031335,False,35
1,159310,d[betan]/d[t],source_matrix_order,0.8079141971887019,0.6907591108880097,0.7381154084659209,0.17018970430695632,0.028964535452089227,0.1730896201477554,0.30339491498279286,0.6422577628078023,0.8047408667788143,0.8758903012993283,0.8906537592129533,1.0,0.0,1.0,0.21065319176116104,False,35
1,159310,d[li]/d[betan],source_matrix_order,0.00965822338883017,0.008912524796802811,0.008413020457785837,0.0048000224932166526,2.304021593538581e-05,0.0013455562200859258,0.0019796257448446686,0.005182289133231514,0.012095979044434659,0.01742551132057432,0.01929017157819035,0.993,0.007,0.993,0.49698814160453453,False,35
2,160715,d[pcdiamag3]/d[kappa],source_matrix_order,0.46764991348936813,0.5006568492069884,0.4880264871437555,0.2009798262244397,0.04039289054920597,0.14783142602379915,0.18980596054606957,0.35867628799024276,0.6219881700099821,0.8593431016530785,0.9534973578990337,1.0,0.0,1.0,0.4297655584384246,False,63
2,160715,d[kappa]/d[t],source_matrix_order,1.0561295773182957,1.0722229816711424,1.0487923052958705,0.07529044932531856,0.005668651759608362,0.9722854750795046,0.9850156705728492,1.0200985149112576,1.1135993563078301,1.2153417816818535,1.2678721199318477,1.0,0.0,1.0,0.07128902640573193,False,63
2,160715,r[q95]/r[kappa],source_matrix_order,-0.0036094075302998685,0.015320502939270465,0.00019303246556774678,0.04947813459645334,0.0024480858031447525,-0.03591876027892857,-0.023981804484533974,-0.008328356268850349,0.009488858978784192,0.1400907086552698,0.16144659888156637,0.511,0.489,0.511,13.708104219622161,True,63
2,160715,d[pcdiamag3]/d[betan],source_matrix_order,1.1047516146989054,1.077778698180618,1.080856535707084,0.29132070655745423,0.08486775406913435,0.4522724057275075,0.5823909680712481,0.8926414161200997,1.2905202157963591,1.5455830764952392,1.6131848263288047,1.0,0.0,1.0,0.2636979232991227,False,63
2,160715,d[kappa]/d[betan],source_matrix_order,-1.1208812821514549,-1.097895656669889,-1.0877893531652587,0.3273098444150483,0.10713173425100311,-1.7443307513280961,-1.6397205826854189,-1.3368868591821046,-0.8797601990255429,-0.5556268670747266,-0.44403687331795944,0.0,1.0,1.0,0.29201116088476303,False,63
2,160715,d[betan]/d[t],source_matrix_order,-0.17445151223005165,-0.1615285629998886,-0.16461337718698504,0.06923870375076077,0.004793998097085614,-0.29876995509480997,-0.2762472073725708,-0.20319864934817192,-0.11481517656423362,-0.04102809755859902,-0.019972096226008464,0.004,0.996,0.996,0.39689368619203674,False,63
2,160715,d[li]/d[betan],source_matrix_order,-0.009574447972184125,-0.005273892378096858,-0.004820853866418264,0.016302281214828445,0.0002657643728073484,-0.03934056469195973,-0.03222372101489384,-0.015616268026503916,0.00550957031679253,0.02124168235833398,0.02583956163022983,0.37,0.63,0.63,1.7026862814637933,True,63
3,160717,d[pcdiamag3]/d[kappa],source_matrix_order,0.332302970327353,0.4267472337179686,0.36020713319939446,0.20551468096705738,0.04223628409299138,0.2409116196426877,0.2531193642527989,0.30110530871845,0.469132602253568,0.8619683327569051,1.0458291677008928,1.0,0.0,1.0,0.6184557446615762,False,60
3,160717,d[kappa]/d[t],source_matrix_order,1.2535586744969163,1.2258218191355064,1.2266246226272444,0.0936847292088512,0.008776828486935777,1.0182233059920158,1.0748549017709683,1.1794544511370333,1.2772726940057784,1.3759196556087308,1.4037035540005776,1.0,0.0,1.0,0.07473501728704408,False,60
3,160717,r[q95]/r[kappa],source_matrix_order,0.01945218960913757,0.024563576912177042,0.018022698419797617,0.029078917963116686,0.0008455834699056703,-0.007725787510176048,0.0026188636476209893,0.013018606024493524,0.02359112132086079,0.09255690032215058,0.12064070120745167,0.962,0.038,0.962,1.4948917601263518,True,60
3,160717,d[pcdiamag3]/d[betan],source_matrix_order,1.3228490485203555,1.1996989938946747,1.284589392750677,0.30372618634166426,0.09224959626965136,0.3183541883806521,0.5546686297234632,1.1280491490600415,1.3833498518024345,1.4951553465554062,1.52026008245816,0.989,0.011,0.989,0.229600033867349,False,60
3,160717,d[kappa]/d[betan],source_matrix_order,-1.5329324791786494,-1.3760193707414254,-1.4607062329186782,0.35076518018460084,0.1230362116299355,-1.7592044331047445,-1.7222262327584659,-1.5733514460032356,-1.3182953220388014,-0.6614299333329028,-0.33318572745617425,0.015,0.985,0.985,0.2288197196868983,False,60
3,160717,d[betan]/d[t],source_matrix_order,-0.4141848533263781,-0.360858419935363,-0.3728038016355588,0.11762272800362712,0.013835106143015249,-0.5714491904616115,-0.5337732718034721,-0.4372163664212363,-0.2902762843673577,-0.1791751192223525,-0.10387574758203345,0.016,0.984,0.984,0.2839860681987325,False,60
3,160717,d[li]/d[betan],source_matrix_order,-0.055774295623463144,-0.04480944697256693,-0.045468766868775344,0.02243357344043032,0.0005032652173071806,-0.08676577889350756,-0.08140984914400642,-0.06034586383480128,-0.027461293208460906,-0.009096604698328403,-0.004453572958759975,0.009,0.991,0.991,0.40222065002632784,False,60
