realization_index,shot,feature,vif
32,187021,d[pcdiamag3]/d[betan],206.56028285701618
32,187021,d[kappa]/d[betan],502.6731870338236
32,187021,d[betan]/d[t],87.28903790122
32,187021,d[li]/d[betan],3.4424685197000318
33,187022,d[pcdiamag3]/d[kappa],72.65923260279216
33,187022,d[kappa]/d[t],89.29939474217241
33,187022,r[q95]/r[kappa],2.763390733380831
33,187022,d[pcdiamag3]/d[betan],155.04391658778746
33,187022,d[kappa]/d[betan],359.35258098066083
33,187022,d[betan]/d[t],70.74913666330701
33,187022,d[li]/d[betan],4.14644505838785
34,187024,d[pcdiamag3]/d[kappa],114.36177835757036
34,187024,d[kappa]/d[t],30.22912356593143
34,187024,r[q95]/r[kappa],2.0148152369186243
34,187024,d[pcdiamag3]/d[betan],227.52310917258572
34,187024,d[kappa]/d[betan],315.9504747981061
34,187024,d[betan]/d[t],22.78030653127826
34,187024,d[li]/d[betan],4.032110726962253
35,189646,d[pcdiamag3]/d[kappa],111.15703165635867
35,189646,d[kappa]/d[t],98.65935663350028
35,189646,r[q95]/r[kappa],2.279126874280802
35,189646,d[pcdiamag3]/d[betan],139.1904817696026
35,189646,d[kappa]/d[betan],225.00119008281362
35,189646,d[betan]/d[t],112.89402837347481
35,189646,d[li]/d[betan],6.795152623771527
36,189647,d[pcdiamag3]/d[kappa],55.98921013370324
36,189647,d[kappa]/d[t],111.22911552867714
36,189647,r[q95]/r[kappa],3.392364486966312
36,189647,d[pcdiamag3]/d[betan],78.97328889130515
36,189647,d[kappa]/d[betan],316.79724247178626
36,189647,d[betan]/d[t],111.79151748173872
36,189647,d[li]/d[betan],3.757903912702925
37,189649,d[pcdiamag3]/d[kappa],107.68496555204467
37,189649,d[kappa]/d[t],59.499903065176916
37,189649,r[q95]/r[kappa],2.8147003780229993
37,189649,d[pcdiamag3]/d[betan],149.36439088893744
37,189649,d[kappa]/d[betan],243.17170043698576
37,189649,d[betan]/d[t],67.64300086135651
37,189649,d[li]/d[betan],2.6720594859502835
38,189650,d[pcdiamag3]/d[kappa],81.36582401593299
38,189650,d[kappa]/d[t],75.25307552036432
38,189650,r[q95]/r[kappa],2.3948836709787233
38,189650,d[pcdiamag3]/d[betan],133.15462262076375
38,189650,d[kappa]/d[betan],282.65668546060857
38,189650,d[betan]/d[t],89.40156429625884
38,189650,d[li]/d[betan],3.019413123536987
39,189651,d[pcdiamag3]/d[kappa],32.72087458681934
39,189651,d[kappa]/d[t],54.22508758720933
39,189651,r[q95]/r[kappa],2.693920525769475
39,189651,d[pcdiamag3]/d[betan],49.1836002242135
39,189651,d[kappa]/d[betan],121.98584691590693
39,189651,d[betan]/d[t],53.47705499300836
39,189651,d[li]/d[betan],4.016417540587681
40,189652,d[pcdiamag3]/d[kappa],70.2701810862511
40,189652,d[kappa]/d[t],106.0998715977887
40,189652,r[q95]/r[kappa],3.8453435272903302
40,189652,d[pcdiamag3]/d[betan],103.12922863316712
40,189652,d[kappa]/d[betan],270.52403351324597
40,189652,d[betan]/d[t],102.95552422607098
40,189652,d[li]/d[betan],4.309481277097549
41,195261,d[pcdiamag3]/d[kappa],280.61889974206133
41,195261,d[kappa]/d[t],339.80356630534266
41,195261,r[q95]/r[kappa],5.321599873891167
41,195261,d[pcdiamag3]/d[betan],29.180919868857966
41,195261,d[kappa]/d[betan],390.7192851171915
41,195261,d[betan]/d[t],368.16498212441456
41,195261,d[li]/d[betan],3.810244482344602
42,195264,d[pcdiamag3]/d[kappa],119.82187695610762
42,195264,d[kappa]/d[t],151.6955491166882
42,195264,r[q95]/r[kappa],2.743650056740223
42,195264,d[pcdiamag3]/d[betan],21.333416687500005
42,195264,d[kappa]/d[betan],193.96273432420364
42,195264,d[betan]/d[t],154.28737103741204
42,195264,d[li]/d[betan],4.055840356124493
43,195265,d[pcdiamag3]/d[kappa],318.3749121422234
43,195265,d[kappa]/d[t],235.55194442799788
43,195265,r[q95]/r[kappa],4.997439344147805
43,195265,d[pcdiamag3]/d[betan],69.99015941938293
43,195265,d[kappa]/d[betan],181.39507810261114
43,195265,d[betan]/d[t],245.57274485030734
43,195265,d[li]/d[betan],3.640072620751277
44,195266,d[pcdiamag3]/d[kappa],122.63066104465251
44,195266,d[kappa]/d[t],156.54789679528963
44,195266,r[q95]/r[kappa],3.563670712281386
44,195266,d[pcdiamag3]/d[betan],32.58285084459276
44,195266,d[kappa]/d[betan],265.5340496308809
44,195266,d[betan]/d[t],178.84469306661893
44,195266,d[li]/d[betan],4.635627117016098
45,195267,d[pcdiamag3]/d[kappa],111.2549591153815
45,195267,d[kappa]/d[t],155.74091756436493
45,195267,r[q95]/r[kappa],4.202202478493891
45,195267,d[pcdiamag3]/d[betan],46.65069355797636
45,195267,d[kappa]/d[betan],301.3725402625471
45,195267,d[betan]/d[t],167.20880111020813
45,195267,d[li]/d[betan],5.2954238693111515
46,195268,d[pcdiamag3]/d[kappa],184.82072270700297
46,195268,d[kappa]/d[t],143.38483664979975
46,195268,r[q95]/r[kappa],5.2573483164817585
46,195268,d[pcdiamag3]/d[betan],56.28905577358287
46,195268,d[kappa]/d[betan],175.16070898409356
46,195268,d[betan]/d[t],149.24725473204592
46,195268,d[li]/d[betan],6.155260559147535
47,195269,d[pcdiamag3]/d[kappa],98.09615264345581
47,195269,d[kappa]/d[t],68.88739522769487
47,195269,r[q95]/r[kappa],1.3403047677376903
47,195269,d[pcdiamag3]/d[betan],49.44840518040594
47,195269,d[kappa]/d[betan],112.21421817164354
47,195269,d[betan]/d[t],76.98455343495745
47,195269,d[li]/d[betan],4.544392680258147
48,195273,d[pcdiamag3]/d[kappa],70.3854151674158
48,195273,d[kappa]/d[t],60.132831766482354
48,195273,r[q95]/r[kappa],1.5666265166335276
48,195273,d[pcdiamag3]/d[betan],23.833130603894446
48,195273,d[kappa]/d[betan],81.41356137485899
48,195273,d[betan]/d[t],65.90046311404423
48,195273,d[li]/d[betan],5.021224913105046
49,195274,d[pcdiamag3]/d[kappa],167.7337621915992
49,195274,d[kappa]/d[t],217.89887251461604
49,195274,r[q95]/r[kappa],7.537171161896909
49,195274,d[pcdiamag3]/d[betan],58.10125726395459
