canonical_run_id,realization_index,shot,n_samples,n_features,feature_order,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,normalized_sigma_7,condition_number,log10_condition_number,rank_1e-12,rank_1e-10,rank_1e-8,rank_1e-6,effective_rank,stable_rank,correlation_matrix_min_eigenvalue,correlation_matrix_determinant,rmse,max_vif
D3D-SIR-62-ALIGNED-V1,31,187020,1000,7,source_matrix_order,59.60327968016515,48.3129898720066,23.30961265633473,20.123260109635552,12.338638971843613,3.4049900502482946,1.0883255244624117,0.018259490590155997,54.76604043593183,1.7385113427365655,7,7,7,7,3.2188356169505736,1.9704150907942788,0.0011844524471956465,3.8143345156455166e-06,0.06682150702583198,455.7078425241382
D3D-SIR-62-ALIGNED-V1,32,187021,1000,7,source_matrix_order,58.17309347772077,48.893832497841274,24.780080167911144,20.451032657543678,13.576823450987765,2.746499325334871,1.0553840315406915,0.01814213356119499,55.1203085693815,1.7413116401333242,7,7,7,7,3.3355638136557704,2.068491412019076,0.0011138354540299945,3.217842248089813e-06,0.055227180367877445,502.6731870338236
D3D-SIR-62-ALIGNED-V1,33,187022,1000,7,source_matrix_order,60.46925842726574,48.33951137785697,23.174011533181815,17.125704703732527,12.907899667747635,2.86525359507572,1.2697641002800344,0.020998506237799246,47.62243507587734,1.6778115983972632,7,7,7,7,3.1086654835267318,1.914382672784358,0.0016123008703592923,2.967949590457086e-06,0.04272735858051121,359.35258098066083
D3D-SIR-62-ALIGNED-V1,34,187024,1000,7,source_matrix_order,60.68633969465505,45.865459027126,24.145723800352993,21.273257555426575,12.545123038725567,4.3646011800630315,1.237142803295619,0.02038585305227398,49.053625444850006,1.690671110645775,7,7,7,7,3.275580795074607,1.900711281863379,0.0015305223157459438,9.379517052353437e-06,0.0850633023450298,315.9504747981061
D3D-SIR-62-ALIGNED-V1,35,189646,1000,7,source_matrix_order,59.263882954108055,44.10303316401228,30.225610323409157,20.48760628096299,14.267215876558232,1.7378258149883596,1.6767900756869643,0.028293624921360852,35.3436508322774,1.5483114080575704,7,7,7,7,3.4754790192801983,1.993048348267448,0.0028116249579220763,4.527912900974999e-06,0.025880577363215345,225.00119008281362
D3D-SIR-62-ALIGNED-V1,36,189647,1000,7,source_matrix_order,56.1775639284683,48.49082372970175,27.654295751267384,24.258232562012306,11.394983670689799,2.7946807025292775,1.3577597218336155,0.02416907439351536,41.37518813166892,1.6167399815115076,7,7,7,7,3.5232281391477103,2.218054611019612,0.0018435114622327364,6.24347093366473e-06,0.05801812033468424,316.79724247178626
D3D-SIR-62-ALIGNED-V1,37,189649,1000,7,source_matrix_order,56.0818424174119,47.229060091647604,29.769659803955996,19.90941432694272,18.271845026918836,2.3479992471364577,1.5006628837546732,0.026758444784773294,37.37137969128322,1.5725391315999797,7,7,7,7,3.6747480636135315,2.225632704813576,0.0022519890906781527,1.021538781832648e-05,0.05298007315149543,243.17170043698576
D3D-SIR-62-ALIGNED-V1,38,189650,1000,7,source_matrix_order,56.13984273779952,47.690871913372405,30.02047662420267,19.804582411507564,16.50580681557525,2.443980511372385,1.4260409902569995,0.025401585054616333,39.36762205389486,1.5951391826322066,7,7,7,7,3.6135130952984698,2.2210362998019044,0.002033592905893406,8.385181443351238e-06,0.060767129692792715,282.65668546060857
D3D-SIR-62-ALIGNED-V1,39,189651,1000,7,source_matrix_order,55.87230568421153,46.640523131355586,31.911732793740132,23.7629814322258,10.24152128247783,3.1925318323782097,2.197285924940762,0.03932692410010339,25.427872199071146,1.4053100199922695,7,7,7,7,3.6121981782386907,2.2423574945009004,0.004828065435942564,2.0155575737802928e-05,0.05100837249810603,121.98584691590693
D3D-SIR-62-ALIGNED-V1,40,189652,1000,7,source_matrix_order,58.20241857707973,47.712943312596046,25.61670328110254,23.74969293241589,10.41438525981245,2.235498422730979,1.4944019919271212,0.02567594317318663,38.94696265897252,1.5904735941810446,7,7,7,7,3.365936734860047,2.066407531784723,0.0022332373134758333,3.4551574574116683e-06,0.04430297024977573,270.52403351324597
D3D-SIR-62-ALIGNED-V1,41,195261,1000,7,source_matrix_order,64.85317721012618,37.54937598259429,30.920759185493775,14.913882911320314,14.13102556715074,2.2538148555301425,0.9093690050803593,0.014021965371626702,71.31667876056015,1.8531911097480211,7,7,7,7,3.0590919716569553,1.6643149918624722,0.0008269519874004027,1.05782506128357e-06,0.020820509838516296,390.7192851171915
D3D-SIR-62-ALIGNED-V1,42,195264,1000,7,source_matrix_order,63.43094024166823,37.17732598644684,31.843904148326107,18.879903945149305,14.588027388557526,3.0295326585766134,1.3742768828899954,0.02166571830173224,46.15586642793408,1.6642269078616696,7,7,7,7,3.2779466541831814,1.739785640240981,0.0018886369508470282,7.4148722577320995e-06,0.040068112464124284,193.96273432420364
D3D-SIR-62-ALIGNED-V1,43,195265,1000,7,source_matrix_order,62.7024769993594,40.522777060190045,30.65084185337805,16.64698498685869,14.268667282047097,2.2206304284958724,1.08703104634895,0.017336333401311337,57.68232398693712,1.7610427495333314,7,7,7,7,3.2251629047557224,1.7804453384934424,0.001181636495726966,1.9940088308501517e-06,0.03457109509179019,318.3749121422234
D3D-SIR-62-ALIGNED-V1,44,195266,1000,7,source_matrix_order,62.03805867948456,41.53242160004326,31.87374536249297,15.60324452558489,12.640152931858227,2.3245369459838283,1.3279344881605382,0.02140515864658535,46.71771027305722,1.6694815489984987,7,7,7,7,3.2055476208150178,1.8187861631635462,0.0017634100048453225,2.4998721415841415e-06,0.03088485517755886,265.5340496308809
D3D-SIR-62-ALIGNED-V1,45,195267,1000,7,source_matrix_order,61.959958247305735,42.632402407653856,30.631440673060744,16.095147509061178,11.8133221641996,2.1896908956622774,1.3242285016592086,0.02137232721128877,46.789476415642945,1.6701481853702238,7,7,7,7,3.177349986569537,1.8233742072823067,0.001753581124607785,1.9900417978184302e-06,0.03289941562086146,301.3725402625471
D3D-SIR-62-ALIGNED-V1,46,195268,1000,7,source_matrix_order,63.4931874046999,40.72345636626269,30.72192744185773,15.503603639466258,10.922766106307435,2.162799986895093,1.4255455194065998,0.022451944494773904,44.53957207282283,1.648746040104744,7,7,7,7,3.0696012398871546,1.736376026104756,0.002032180027899743,1.7201484039380422e-06,0.03626132207837081,184.82072270700297
D3D-SIR-62-ALIGNED-V1,47,195269,1000,7,source_matrix_order,60.70049128040169,39.284979295356415,30.029304284611847,26.297394118084025,12.969748603351645,2.576241119487429,1.9943193630332658,0.032855077792050255,30.43669554914169,1.4833975001788937,7,7,7,7,3.5405135545888315,1.8998251294571413,0.003977309721769451,1.5746316785428576e-05,0.04243564267351767,112.21421817164354
D3D-SIR-62-ALIGNED-V1,48,195273,1000,7,source_matrix_order,61.31339853539896,37.223903076829416,31.566653772373694,26.451290335477722,11.950089938826522,3.3691559690960236,2.1835630239029884,0.03561314616481943,28.079518596081062,1.4483896578431759,7,7,7,7,3.51479938126427,1.862032519598144,0.0047679474793561214,2.806864565630983e-05,0.049358414769711666,81.41356137485899
D3D-SIR-62-ALIGNED-V1,49,195274,1000,7,source_matrix_order,62.50593566627001,41.650434268957994,30.468412269591894,15.64522265124332,13.380402439808943,2.161796427578363,1.2015242024195292,0.019222561659338635,52.02220274914211,1.7161887373551221,7,7,7,7,3.179677347873106,1.791659673635709,0.0014436604089988368,1.860277442766252e-06,0.03297914087582524,243.5030790154492
D3D-SIR-62-ALIGNED-V1,50,195626,1000,7,source_matrix_order,60.76555547503077,44.44058793858263,31.015512030120686,15.867471020158666,10.343586093022115,3.1912024741592764,1.2919914562741905,0.021261904810614032,47.032474696283835,1.6723978305144211,7,7,7,7,3.1967577378028045,1.8957588648264438,0.0016692419230852071,3.2123151443272038e-06,0.06936839729210426,365.8170624717268
D3D-SIR-62-ALIGNED-V1,51,195638,1000,7,source_matrix_order,59.651611369590086,45.8666721879765,28.71553528556428,17.699212425067167,13.759619487406916,2.9240973289912318,1.4873071573532213,0.02493322683503297,40.10712318210366,1.6032215118708277,7,7,7,7,3.335437062642989,1.9672233946313675,0.0022120825803153316,6.924339774591792e-06,0.06015365209659995,271.0843818453285
